gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.15645786;0.099952824;-0.72418076;8.94;13.5;-44.46;-0.36391866;2.0278888;10.932224;
0.72563154;-0.2934444;-1.4205672;9.0;12.599999;-44.04;3.040636;3.691859;12.730269;
1.2332605;-0.17799085;-2.562885;7.9199996;11.34;-45.84;2.1619642;5.8421516;15.962741;
3.3896148;-0.81939936;-2.6032023;7.3199997;8.639999;-45.96;0.04070143;7.305009;16.139912;
3.1660383;-0.7772497;-1.498147;3.72;2.46;-47.28;-8.123826;8.506898;15.819089;
3.3016503;-1.1419362;0.4859433;3.8999999;-6.06;-46.02;-8.435072;9.917083;16.391304;
3.761021;-0.7063893;0.5635232;0.48;-13.62;-45.18;-8.296208;9.694422;17.131111;
4.1434226;-0.28244883;0.8164214;-0.78;-20.22;-42.54;-11.159674;8.004115;15.742475;
4.3431754;0.21540636;1.0100657;-3.24;-28.74;-38.579998;-12.636896;6.6777277;15.096041;
4.2710934;1.0767263;1.4333953;-3.9599998;-37.32;-30.599998;-12.493244;3.4979286;11.2315;
4.0072;1.3131312;1.9538525;-5.7599998;-42.239998;-22.98;-8.478168;1.6543933;10.149321;
3.5337791;1.9288833;1.3930782;-8.7;-45.899998;-14.04;-4.343082;-0.7015011;5.8900356;
3.0609694;2.3925302;1.0803152;-12.0;-45.42;-6.18;-2.5378537;-1.5777789;4.1180267;
2.3987916;2.8445704;0.7266242;-13.5;-46.14;0.48;-0.34476504;-1.3383588;0.7589619;
1.7610482;3.2660675;0.15974127;-16.14;-44.76;4.3199997;0.37110126;-0.7254431;2.1092918;
1.4696654;3.597767;0.20616703;-18.3;-44.04;5.52;1.4580688;-0.48123455;1.9680338;
0.94737566;3.9441278;-0.016187929;-20.58;-43.02;5.4;2.420538;-0.30406362;1.0151415;
0.016417004;3.8775434;-0.07360926;-20.46;-42.48;1.8;4.4963107;1.1803415;2.3630772;
-0.5968917;3.4273357;-0.056505036;-22.02;-41.82;-2.1;6.428731;2.2840683;4.333505;
0.16668986;4.2691083;-1.430341;-20.34;-41.94;-7.2;8.159739;4.003105;4.72376;
-1.5767195;4.0785184;-1.9446895;-15.42;-42.3;-10.5;5.650615;2.492364;-0.019153614;
-1.7135534;3.2385786;-2.0674734;-6.48;-43.559998;-16.859999;6.6513915;4.450821;5.4135895;
-2.5034022;2.11703;-2.3985624;-0.84;-40.739998;-20.82;5.59076;3.3901896;6.7016697;
-3.133815;1.6735417;-2.839607;6.96;-37.5;-25.859999;3.454833;4.201824;12.5147915;
-2.4985151;0.31436652;-2.5977044;14.46;-31.56;-29.519999;4.5681367;4.0198646;14.9068985;
-2.3690119;-0.09735665;-3.7931678;20.52;-25.98;-32.399998;0.7469909;3.205836;12.7135105;
-1.9890536;-1.0900127;-3.4675765;24.9;-17.76;-35.28;-0.8690952;4.096479;17.516579;
-1.1918745;-1.4980706;-4.6337185;25.26;-9.179999;-38.219997;-2.741361;2.3008277;14.969148;
-1.556561;-1.9837085;-4.4156394;23.939999;0.59999996;-40.079998;-9.44303;2.4013844;14.43973;
-0.6304893;-1.8804723;-3.2085698;20.4;6.8399997;-42.12;-10.197205;2.693477;15.383345;
-0.46738827;-1.093067;-2.4040601;13.74;11.099999;-42.36;-10.427048;3.6727054;12.869133;
-0.0019089539;-0.49380818;-1.7938058;9.78;12.54;-42.78;-8.444649;3.406949;11.166856;
-0.13141239;-0.29100093;-0.79381937;8.22;13.259999;-43.5;-4.9371433;3.9456444;10.877157;
0.2467132;0.08895725;-1.1713341;7.08;13.98;-44.219997;-3.0262709;3.107674;9.663298;
0.2326633;0.17142406;-0.97158116;5.94;14.219999;-44.76;-2.873042;2.1404164;9.392753;
0.2906955;0.08590292;-0.58551437;6.3599997;13.259999;-44.04;-2.8491;1.6927006;9.316138;
0.19601138;0.1427134;-0.5012149;5.3399997;12.3;-44.46;-1.8794483;1.7741034;9.933842;
0.1727985;0.104228884;-0.37843102;6.0;12.599999;-44.04;-2.4827871;1.2114661;9.024046;
0.12270755;0.07735081;-0.06505715;5.7;12.48;-44.76;-2.384625;1.1994951;9.380781;
-0.0061850105;0.08407033;0.058337633;5.7;13.0199995;-43.079998;-2.3439236;1.2354081;8.921095;
0.0035888334;0.07246389;0.14508049;6.06;11.58;-43.559998;-1.8363527;1.460463;9.761459;
0.0182496;0.13110696;0.08032878;6.2999997;12.179999;-43.739998;-1.7477672;1.4221559;9.534011;
0.002977968;0.12683089;-0.129198;9.059999;10.74;-43.92;-1.7190368;1.4628572;9.601048;
0.053068917;0.13110696;-0.16218472;7.62;11.28;-43.739998;-1.8148049;1.3982137;9.134179;
0.012751812;0.0687987;-0.1518;9.0;10.32;-43.44;-2.1308396;1.5753847;9.725547;
0.056123246;0.10056369;-0.15118915;8.88;10.08;-43.86;-2.1045034;1.7166426;9.802161;
-0.05138904;0.041309763;-0.060170226;9.599999;10.74;-43.5;-2.255338;1.4293385;8.973767;
0.04512767;0.013820826;0.053450707;9.12;11.34;-44.7;-1.7597382;1.5945383;9.421483;
-0.19433151;0.020540344;-0.109650314;9.48;10.559999;-43.68;-2.0614076;1.484405;9.411906;
0.01947133;-0.059483003;-0.0125227375;7.98;11.82;-44.16;-1.9393034;1.5059528;9.464579;
