gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-1.2682326;-0.19020817;-0.5519168;-48.719997;8.34;-15.96;8.736741;1.4149733;1.2785037;
-1.3922383;-0.6709591;-0.48655418;-48.3;7.74;-15.299999;9.761459;1.3599066;3.0119057;
-0.704404;-0.51702106;-0.301462;-49.739998;8.5199995;-14.28;9.562741;1.8219875;4.292804;
-0.8962157;-0.6495788;-0.6441574;-49.559998;8.04;-13.5;12.782942;5.245995;-2.4779987;
-2.2016346;-1.0093784;-0.9056077;-50.28;7.3199997;-11.34;16.211739;9.119814;-1.1013328;
-1.874211;-1.4797447;-1.9990565;-50.76;5.52;-8.04;16.927605;10.891522;0.59136784;
-1.4447727;-1.7002671;-3.044247;-51.84;1.74;-4.92;19.946693;11.332056;4.84347;
-1.6536885;-1.8493181;-4.0796638;-51.66;-5.52;-0.84;20.080769;8.9402485;9.292196;
-0.9273698;-0.92141384;-4.653266;-48.42;-14.759999;3.1799998;16.860567;4.8338933;14.279318;
0.42019892;0.07185303;-4.433965;-43.379997;-24.84;3.4199998;15.65389;3.4284968;14.569016;
0.9345475;1.2581533;-4.3924265;-37.559998;-31.679998;5.58;13.901034;2.6048915;11.760618;
0.9779189;2.1451297;-4.131587;-31.26;-39.6;4.3199997;9.639356;-0.10534488;9.735124;
1.8129717;2.511038;-3.4174857;-23.16;-43.98;4.5;7.666533;-0.36391866;6.0336876;
1.9351448;2.438345;-2.6691756;-15.299999;-46.68;5.52;3.9480386;0.095768064;2.717419;
0.78488547;2.4921012;-2.2305744;-10.26;-48.36;8.7;2.3391352;1.3383588;2.480393;
0.56375223;2.9001591;-1.5909985;-4.2599998;-50.039997;10.62;2.0638018;1.8387469;2.0111294;
-0.27924177;4.005214;-1.4963144;-1.1999999;-49.26;12.9;1.8938135;1.3144168;0.58418524;
0.19295706;3.9111412;-1.0308352;0.06;-48.719997;13.62;1.3335704;1.0845734;-2.693477;
-0.2945134;3.902589;0.15485434;-0.65999997;-47.7;14.7;0.4261679;1.4149733;-3.028665;
-1.2804499;3.652745;0.15424347;-4.08;-47.64;13.92;3.5913026;4.2664676;-7.1230493;
-2.2669973;4.022929;0.7870999;-7.02;-47.76;10.44;0.7733272;2.753332;-2.111686;
-1.4857006;3.6215909;1.2318097;-10.5;-48.539997;2.8799999;5.1167083;5.123891;-3.311181;
-0.89193964;2.4792728;1.5519031;-14.219999;-46.92;-3.48;4.2425256;4.685453;-1.5394717;
-0.99517584;2.2679136;1.7644843;-16.38;-45.539997;-6.6;6.7711015;5.9834094;-4.146757;
-1.4899766;1.477454;1.9611828;-19.14;-43.02;-10.38;7.2930374;6.332963;-1.328782;
-1.7239381;0.88674724;1.9428569;-22.439999;-40.32;-16.8;8.760683;6.3401456;-1.6304513;
-1.6304756;0.51656294;2.2739458;-25.92;-36.36;-20.34;9.802161;6.395212;1.2090719;
-2.5925884;0.040698897;2.1218405;-28.38;-32.28;-24.48;11.609783;6.7830725;1.5394717;
-2.7972283;-0.42111522;2.0491474;-32.04;-26.519999;-27.84;11.085453;7.522881;5.705682;
-1.4081208;-1.0258719;1.3979651;-34.02;-19.02;-31.32;12.893075;7.156568;5.2148705;
-2.2529473;-0.76503235;1.4999796;-36.36;-14.5199995;-31.019999;11.226711;5.779902;4.7165775;
-2.3531294;-0.84933174;0.65209866;-39.12;-9.3;-30.3;13.680768;6.4933743;4.7405195;
-2.7819567;-1.1217777;0.1731803;-40.92;-3.8999999;-29.64;10.597036;4.048595;4.31914;
-2.589534;-1.1278863;0.15485434;-42.059998;0.53999996;-27.06;11.114183;3.157952;6.3976064;
-1.0739775;-2.1034381;0.20799962;-43.739998;3.72;-23.22;10.403106;4.345476;5.988198;
-2.045864;-0.99960464;-0.05955936;-46.62;5.8199997;-21.84;10.09186;3.9264908;5.3010616;
-1.9181932;-0.9531789;-0.34483343;-46.5;7.62;-18.24;10.647314;2.8443117;6.9458785;
-1.2810608;-0.8615491;-0.22571471;-46.2;8.7;-15.66;8.5476;1.3670892;6.2587423;
-1.0770317;-0.43516514;-0.16890424;-47.82;7.9199996;-13.86;9.490914;2.0638018;5.75596;
-0.67874765;-0.3038291;-0.30207285;-47.94;7.62;-13.259999;9.021651;2.7222073;4.357447;
-0.53824866;0.14943291;-0.2312125;-48.66;8.639999;-12.12;8.885181;2.7006595;4.4915223;
-0.40935606;0.40905064;-0.2489276;-48.899998;8.76;-10.5;9.438242;2.8921957;3.7349546;
-0.2926808;0.18791743;-0.39614612;-48.539997;7.44;-11.82;9.299378;2.348712;2.956839;
-0.42218423;0.47930014;-0.3839288;-49.02;6.66;-12.3;9.304167;2.0925324;3.028665;
-0.31589368;0.28565586;-0.33017266;-48.0;6.48;-12.36;8.945037;1.6759412;2.954445;
-0.20288362;0.36140314;-0.2312125;-48.6;7.2599998;-13.38;9.064747;1.5370775;2.8395233;
-0.022067508;0.24594963;-0.15057829;-48.719997;5.8199997;-13.86;8.966584;1.721431;2.7461493;
-0.10514518;-0.145615;0.03573562;-47.76;5.22;-14.94;8.808567;1.9009962;3.1914709;
-0.15829046;-0.0613156;0.051618114;-48.239998;5.1;-14.82;9.105449;2.1643584;3.0885203;
-0.083764896;-0.10407617;0.005192355;-48.36;4.74;-13.799999;9.179668;2.1763294;3.289633;
