gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.1202641;0.24167356;-0.109650314;3.36;30.599998;-38.16;-1.7764976;-3.1747115;8.803779;
-0.11308643;0.085292056;-0.16279559;3.06;30.359999;-38.82;-2.0374656;-3.2369606;8.77026;
0.07811439;0.061468314;-0.14813483;3.6;29.16;-39.3;0.045489833;-2.1523874;10.321703;
0.5448154;0.9490555;-1.68385;4.38;29.88;-39.18;1.6711528;-1.412579;11.358392;
0.22655465;0.3742313;-1.2886202;4.14;28.859999;-39.96;1.6472107;0.4333505;17.983448;
1.1831696;-0.32520938;-1.1646146;2.52;27.84;-40.14;0.7110779;0.61530983;18.692131;
2.0487657;-0.1755474;-1.5323554;0.65999997;25.26;-41.76;0.61291564;0.22505496;21.41434;
2.4079545;-0.20792326;-1.534799;-2.58;20.58;-44.879997;-4.086902;-2.2768857;23.104645;
3.4189365;-0.08697194;-1.1914927;-5.2799997;15.179999;-46.739998;-7.9921446;-3.3901896;20.07598;
3.247894;-0.29405525;-0.39187005;-5.3399997;7.44;-47.76;-9.05517;-4.6591167;18.785505;
3.3596826;0.62712955;-0.038179077;-5.46;0.29999998;-48.84;-9.739912;-6.289867;17.356167;
4.0230823;1.3210725;0.4896085;-4.98;-6.72;-49.62;-11.75583;-7.934684;14.365509;
3.6278524;1.3626113;1.8225164;-2.7;-14.58;-48.84;-10.266636;-8.5739355;7.5540056;
2.836171;2.7486646;1.9672915;0.0;-21.48;-45.36;-7.7096286;-7.9538374;4.675876;
1.9577467;2.1787271;3.0460796;3.48;-28.56;-39.899998;-5.528511;-6.464644;2.719813;
1.7989218;2.6216044;3.0332513;3.36;-33.78;-36.54;-3.8546648;-4.982633;2.731784;
1.2638038;3.312493;3.270267;2.58;-38.34;-31.74;-1.6208745;-5.3106384;1.5610195;
0.53809595;3.7730856;3.1352658;-0.12;-40.559998;-28.619999;1.745373;-3.6583402;2.2864625;
0.29497156;3.7639225;2.9165761;-3.6;-40.62;-28.199999;5.418378;-2.2170308;2.7820623;
-0.19799669;4.0534725;1.7363845;-3.3;-38.1;-30.119999;3.9121256;-1.1731589;2.2026656;
-1.3225996;3.9258018;1.5909985;-1.1999999;-36.48;-30.96;5.18614;-0.36631286;5.0257287;
-1.2309698;3.875711;0.86345804;2.6399999;-34.26;-33.0;3.8666358;-0.30406362;7.3600755;
-1.6995034;3.2752304;0.5213735;8.639999;-33.36;-34.62;2.72939;-0.06464344;8.267478;
-2.2669973;2.579455;0.23365596;14.639999;-28.26;-36.18;3.0119057;-0.7422025;9.028834;
-2.7514133;2.297235;-0.41996986;19.32;-24.66;-36.84;2.9712043;-0.62009823;10.182839;
-2.5345562;2.1830034;-1.6148223;24.359999;-18.24;-36.239998;1.8650831;-2.456451;10.999262;
-2.7514133;1.4811192;-2.1627684;29.039999;-11.759999;-36.3;2.2026656;-4.6351743;13.108554;
-2.5681539;1.159804;-3.4272594;33.12;-3.9599998;-33.96;1.1683705;-6.5819597;13.422194;
-2.590145;0.48540878;-3.678936;34.5;3.8999999;-32.34;-2.1619642;-8.722376;14.892533;
-1.7593683;0.4096615;-4.067446;34.14;15.48;-29.64;-4.146757;-9.380781;17.150265;
-0.8290205;0.67844224;-4.3576074;30.179998;24.72;-27.96;-7.7455416;-10.297761;13.589788;
-0.65797824;0.41577014;-3.8457022;24.66;31.439999;-26.279999;-10.383952;-8.521263;16.020203;
0.031077769;0.9179014;-3.6172385;19.199999;35.46;-25.26;-10.106225;-6.6873045;12.605771;
0.65538204;0.6491207;-2.5659394;14.58;37.68;-24.359999;-12.091018;-6.2108583;10.070312;
0.46906814;0.36323574;-1.5897768;11.82;37.8;-25.5;-9.285013;-4.259285;9.706393;
0.59246296;0.86903214;-1.2024882;8.5199995;37.2;-26.519999;-7.3935943;-4.3119574;8.842086;
0.6969209;0.75357866;-0.5006041;7.5;36.66;-26.76;-5.7631426;-3.9264908;9.021651;
0.41958806;0.996703;-0.441961;7.3799996;36.059998;-28.199999;-4.661511;-4.3047748;8.085519;
0.4611269;0.5092325;0.16646078;7.74;35.7;-29.16;-3.3279405;-4.197036;8.480561;
0.17035505;0.104228884;0.3747658;8.099999;35.46;-30.3;-2.621651;-4.2999864;6.320992;
0.010308351;-0.1437824;0.4175264;9.3;35.16;-29.88;-0.9648633;-4.0054994;9.742306;
0.15630515;0.1793653;-0.19456059;9.179999;35.28;-30.119999;-1.4652514;-4.1036615;8.099884;
0.1202641;0.2764929;-0.2275473;9.059999;35.399998;-29.519999;-2.6120741;-4.4244847;8.499715;
0.028023442;-0.008781188;0.04550946;9.12;34.92;-30.119999;-2.5450363;-4.3837833;8.578724;
0.009697486;-0.11018482;0.11759156;8.94;35.04;-30.539999;-1.946486;-4.1946416;8.712799;
0.13675746;-0.057039544;0.033292156;8.82;35.76;-30.84;-1.7142484;-3.904943;8.897153;
0.117820635;-0.02649628;-0.24587326;9.42;35.219997;-30.06;-1.6112977;-3.9001546;8.638579;
0.043295074;0.24594963;-0.40103304;9.0;34.92;-30.42;-2.7724855;-4.0294414;8.521263;
0.010308351;0.14760031;-0.040011674;7.3799996;34.739998;-31.439999;-3.5865142;-4.0078936;9.014469;
0.22350033;0.088346384;-0.061391957;8.16;34.62;-31.92;-2.1284454;-3.9240966;8.731953;
