gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.5596289;-0.16088663;-0.21044308;-25.26;20.88;-35.46;6.1629744;0.7517793;8.229171;
-0.5370269;-0.068645984;-0.5842926;-24.66;20.039999;-35.7;7.568371;1.4269443;8.109461;
-0.78931427;0.12560916;-1.5054774;-24.96;20.22;-35.34;11.906664;3.7014358;6.4095774;
-2.2260692;0.65828365;-3.492011;-25.98;20.22;-35.04;13.968072;4.146757;5.320215;
-1.2517393;-0.2354122;-3.5976908;-27.359999;18.779999;-34.02;13.558663;4.1515455;8.858846;
-0.49182287;-1.1101712;-3.850589;-29.939999;15.48;-33.719997;15.009849;5.4949923;10.597036;
-0.14240795;-1.5200619;-4.1303654;-32.76;10.0199995;-32.46;14.391846;4.283227;15.122376;
0.97547543;-1.4565318;-3.7943895;-35.34;2.82;-28.26;12.78773;4.3239284;19.13506;
2.2436316;-1.5866461;-3.72414;-34.62;-6.8399997;-26.16;12.170027;4.2305546;21.660942;
2.3273203;-0.81939936;-4.1969495;-32.82;-16.32;-21.42;10.752659;3.940856;20.202873;
2.845334;-1.0173197;-4.626999;-27.779999;-29.16;-16.619999;9.416695;1.532289;19.321806;
2.9772809;0.08773552;-4.4241915;-22.02;-36.96;-11.88;7.58513;-0.17477672;17.88289;
1.9559141;2.3803127;-4.3753223;-10.0199995;-44.399998;-4.98;6.4742208;0.29688102;11.006445;
1.5338063;2.3735933;-4.4748936;0.65999997;-46.2;-2.34;4.8362875;-1.5251064;9.663298;
0.71280336;3.9038107;-3.8487566;11.5199995;-43.92;1.9799999;2.5617957;-3.2944214;7.439084;
1.4049137;4.4273224;-2.776077;19.08;-38.82;6.12;0.9504981;-3.1004913;5.2005053;
1.9046015;4.7797914;-2.5103507;22.74;-35.64;9.96;4.0581717;-2.4372973;2.767697;
1.698129;4.8384347;-1.9886718;24.84;-34.26;19.56;1.8866309;-3.8259344;-3.4356794;
0.5460372;4.024762;-0.50854534;22.74;-32.1;30.779999;0.110133275;-2.6791117;-6.6729393;
-0.19677497;4.624021;-0.91904676;15.179999;-29.88;35.28;4.0557775;0.7733272;-8.061577;
-0.9487501;4.0046034;-0.3680463;6.72;-30.06;36.48;5.7870846;2.585738;-3.3614593;
-2.2083542;4.537278;-1.0369438;0.29999998;-31.679998;33.54;4.606444;2.96881;-7.1757216;
-1.7569247;3.675958;-0.3680463;-6.06;-35.7;28.56;7.415142;4.5298295;-3.7181952;
-3.7532325;3.8060722;-0.9257663;-12.9;-38.28;20.699999;5.0616417;4.94672;-5.0688243;
-2.295708;3.6826775;-0.17256944;-12.3;-41.34;11.099999;8.3824;5.1933227;-1.1899183;
-4.081267;2.5171466;-0.8542951;-12.719999;-42.3;1.8;5.1526213;4.355053;-4.381389;
-4.2425356;1.7297413;0.46822822;-11.4;-41.28;-7.98;4.5992613;2.2984335;5.1071315;
-2.8821385;1.0119747;1.9220876;-11.04;-38.28;-18.0;10.032004;4.9299607;8.767866;
-2.8375454;0.8128326;2.1560488;-13.2;-33.78;-25.56;12.596194;6.320992;7.0392523;
-1.8198439;-0.022220224;1.8701639;-15.48;-28.439999;-30.119999;15.586852;7.190087;2.2601264;
-4.4190755;-0.6043748;0.35338554;-18.96;-20.699999;-33.84;15.366585;3.0597897;4.7860093;
-4.513149;-1.0845149;0.28313604;-20.939999;-12.96;-38.879997;12.751818;0.062249243;7.58513;
-3.9468768;-2.0924425;0.41263947;-23.46;-5.4;-39.54;13.467684;0.34237084;7.970597;
-3.836921;-1.8041141;0.032070424;-27.06;2.82;-38.7;14.4493065;1.6112977;12.459725;
-3.755065;-1.079628;-0.77671516;-30.06;9.3;-35.52;11.8300495;2.6120741;13.819632;
-3.2810335;-0.5793293;-1.5012014;-31.679998;14.28;-30.66;9.565135;1.7166426;12.079047;
-2.8351018;-0.42355868;-1.9960022;-33.18;15.599999;-27.72;9.478944;1.9919758;9.888352;
-2.9139035;0.51534116;-2.3283129;-36.36;16.56;-24.3;5.861305;0.7086837;9.883564;
-1.6408604;0.38217255;-2.028378;-37.62;16.38;-23.58;5.0568533;1.1133038;10.477325;
-0.83451825;0.7841219;-1.3100005;-39.42;13.679999;-22.8;4.910807;0.3184288;9.31135;
-0.15645786;0.68821603;-0.7742717;-39.6;12.66;-24.06;5.600337;1.0223241;8.277055;
-0.40630174;1.0950524;-0.6966918;-38.399998;12.48;-25.32;6.6777277;1.0773908;6.6657567;
-0.21143574;0.60758185;-0.46517387;-37.26;11.94;-27.539999;6.938696;1.4820108;5.906795;
-0.3311653;0.4695263;-0.3472769;-36.54;11.88;-27.48;7.1134725;1.5155296;5.1071315;
-0.25480717;0.31253394;-0.10903945;-35.94;9.36;-28.92;7.3241625;1.484405;5.9498906;
-0.14118622;0.28443414;0.04184427;-34.68;10.32;-29.88;7.6018896;2.0111294;5.514146;
-0.16745344;0.13355042;0.11881329;-35.1;10.44;-30.539999;7.4821796;1.8818425;6.5221047;
-0.072158456;0.20502165;0.09987647;-34.14;10.5;-30.48;7.3217683;1.8914193;6.8501105;
-0.0819323;0.14882204;0.17256944;-33.719997;11.759999;-31.32;7.633014;1.5801731;6.787861;
-0.10086913;0.13110696;-0.014966198;-34.38;13.799999;-31.26;6.9458785;1.8267759;6.9075713;
