gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.07994699;0.4114941;-0.872621;12.719999;21.18;-41.579998;-0.94810385;-0.260968;9.012074;
0.43730316;0.09201158;-0.8671232;13.08;21.119999;-42.239998;-2.2242134;-0.6727707;9.636961;
0.1782963;-0.10529789;-0.47983465;12.179999;20.64;-42.54;-2.018312;-0.038307227;9.785401;
0.3132975;-0.09980011;-0.8176431;12.599999;20.1;-43.739998;0.51235914;2.2457612;11.695974;
0.61995184;-0.2653446;-1.212873;11.759999;19.439999;-43.26;1.2785037;4.0318356;16.499043;
1.1807262;-0.435776;-1.4401149;9.599999;18.9;-44.04;0.5770026;4.867412;18.629883;
2.083585;-1.0368674;-0.9416488;7.08;16.74;-45.18;-1.2473791;5.329792;20.289064;
2.6755135;-1.1144472;-1.1224649;4.8599997;11.58;-47.579998;-3.1962593;4.3957543;21.347301;
3.302261;-1.53289;-0.4804455;1.14;5.4;-48.18;-11.423036;2.1140802;20.535667;
3.2167401;-1.0722976;0.21105394;-2.3999999;-1.74;-49.26;-9.62499;3.25372;17.480665;
4.260709;-0.18043432;0.2855795;-4.5;-9.48;-47.46;-11.502045;1.1994951;18.258781;
4.414036;1.087722;0.59528816;-5.7;-18.18;-44.82;-12.627319;-1.2449849;13.472472;
4.162359;1.726687;1.4865406;-4.2;-27.0;-41.94;-9.869199;-2.669535;10.848427;
3.5582137;2.1139755;1.9453003;-2.1599998;-34.38;-36.48;-5.822998;-2.4037786;8.447042;
2.9937742;2.5024858;1.8524488;-3.12;-40.739998;-28.619999;-3.9240966;-2.6743233;3.3614593;
2.1782691;2.3424392;2.233018;-4.56;-45.18;-21.84;-2.7748797;-2.171541;3.6128504;
1.8893298;2.8995483;2.0937407;-7.3199997;-45.18;-17.34;-1.0510546;-2.2002714;4.0653543;
1.566793;3.8696022;1.7479908;-11.58;-46.02;-14.34;0.49320555;-2.9233203;3.5649664;
1.1636219;3.675347;1.9428569;-14.04;-44.46;-14.639999;3.3638535;-2.8562827;2.4349031;
0.20334177;4.523839;1.2061534;-15.839999;-41.64;-16.56;5.135862;-1.4532804;4.3646297;
0.5778022;4.261778;0.37110063;-15.12;-40.379997;-19.439999;7.331345;-1.2258313;4.6950297;
-0.76549053;4.0644684;-0.17195857;-11.219999;-39.3;-23.34;4.76925;0.31603462;5.5955486;
-1.1637746;3.575776;0.036957346;-5.58;-38.28;-26.46;7.814974;1.7022774;8.071154;
-1.6188693;3.1829898;-0.6270532;0.42;-37.32;-30.24;7.0871363;2.0039468;8.521263;
-2.059303;3.3289864;-1.7443258;5.7599998;-33.0;-33.36;5.3393693;1.6543933;10.611402;
-2.2486713;2.588007;-2.3515258;14.04;-30.119999;-35.76;3.9025488;0.46926352;11.729493;
-2.1735349;2.5189793;-3.3545666;22.32;-24.66;-35.52;1.316811;-0.4285621;13.096582;
-2.7782915;0.76762855;-3.026532;29.82;-17.94;-36.66;-0.4429273;-0.79487497;15.108011;
-1.7361554;0.6320165;-3.7278051;32.64;-8.58;-35.7;-1.8866309;-0.7278373;17.097593;
-1.4673747;-1.1162798;-3.4290922;36.059998;-0.65999997;-36.059998;-7.415142;-4.3861775;12.361563;
-1.4539356;-0.42783475;-3.0815098;34.2;7.56;-37.02;-5.990592;-3.0430303;15.491083;
-1.5260178;-0.2616794;-3.878078;31.32;14.82;-37.68;-7.5994954;-2.2361844;16.027384;
0.32734743;0.12255484;-3.4914002;27.119999;21.119999;-36.18;-8.609849;-1.9153614;14.547469;
0.20578523;0.07918341;-3.1187725;21.9;25.56;-36.78;-8.638579;-1.0103531;12.797307;
0.80687666;0.29176453;-2.5421157;17.88;28.019999;-37.26;-8.387188;-1.3479356;9.32332;
0.4189772;-0.2567925;-1.6490307;16.68;27.72;-37.68;-8.054394;-1.1492168;8.88997;
0.4537965;-0.61964643;-0.65148777;13.0199995;26.279999;-38.94;-6.8237743;-0.18914193;9.641749;
0.8245917;0.5483279;-1.108415;11.46;26.58;-40.5;-4.2425256;-0.07182605;10.640132;
0.6810384;0.82016295;-0.7669413;10.98;25.619999;-40.62;-3.4739866;-1.2138603;9.471761;
0.7946593;0.4182136;-0.14202617;11.4;23.58;-41.82;-1.5969325;-1.448492;9.091084;
0.3664428;0.40416372;-0.17806722;11.4;23.699999;-42.3;-0.9600749;-1.532289;7.8460984;
0.070173144;0.23984097;-0.2733622;11.88;23.039999;-41.579998;-0.9504981;-1.2425907;9.086295;
0.021303926;0.09750936;-0.30085114;11.5199995;23.039999;-42.3;-1.7238252;-1.0821792;9.833285;
-0.011682798;0.10361802;-0.2782491;13.62;22.26;-42.719997;-2.336741;-1.115698;9.208399;
0.04085161;-0.0332158;-0.093767814;14.099999;22.56;-41.52;-2.4061728;-0.60573304;10.307338;
0.13920091;0.09323331;-0.23182335;12.96;22.98;-42.059998;-2.8562827;-0.6560113;9.86441;
0.23205243;0.20624338;-0.27580565;13.38;22.439999;-42.96;-2.741361;-0.7158663;9.225159;
0.1746311;0.14210252;-0.11026118;13.92;21.84;-42.3;-2.4540567;-0.59376204;9.134179;
0.18440494;0.15859589;-0.17989981;12.3;22.619999;-42.12;-2.3008277;-0.62488663;9.19164;
0.12576188;0.06207918;-0.15607607;11.7;21.96;-42.719997;-2.5929205;-0.45010993;9.605837;
