gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.57474786;0.2777146;-0.945314;13.38;22.199999;-41.64;-1.1755531;0.33518824;10.661679;
0.7549531;0.070631295;-1.38025;13.38;20.64;-42.96;0.8355764;2.0757728;13.029545;
0.97547543;0.1109484;-2.0289888;13.0199995;20.22;-43.14;0.9935937;4.2521024;14.530709;
1.6003906;-0.9220247;-0.73639804;11.34;18.779999;-44.28;-2.7485435;6.241983;18.641853;
2.1214585;-1.1211668;-0.6630942;7.5;15.66;-45.18;-3.107674;6.3640876;19.194914;
2.9229138;-1.184086;-0.33200526;3.84;10.08;-46.44;-7.79582;4.9371433;21.220407;
3.4647512;-1.0466412;0.11453723;1.92;2.9399998;-47.7;-9.735124;3.335123;18.356943;
3.7659078;-0.18409951;0.27885997;0.06;-4.98;-47.399998;-12.433389;2.0566192;17.040133;
3.9528327;0.24594963;1.07665;-0.06;-12.84;-45.66;-12.644078;0.7278373;14.583382;
3.8941896;1.2019538;1.452943;0.17999999;-20.46;-43.079998;-11.40867;-0.6344634;12.205939;
3.8581486;1.5867988;2.0137172;-0.9;-28.38;-39.239998;-8.990526;-2.5139117;7.853281;
3.293709;1.8965075;2.1395555;0.06;-35.52;-33.42;-4.6255975;-2.4827871;5.4111953;
2.4690409;2.2605832;1.8774943;-2.22;-40.68;-25.859999;-3.0262709;-1.7118542;1.8219875;
1.6370425;2.542803;1.8219056;-3.9599998;-43.32;-20.64;-2.6647465;-1.3431472;2.7868507;
1.6064992;3.1328988;1.7663169;-6.8999996;-45.539997;-16.98;-1.0103531;-1.6639702;2.837129;
1.181337;3.5250742;1.6111571;-8.94;-44.7;-15.66;2.7461493;-2.231396;1.8435353;
0.86613053;3.6331973;1.3020593;-10.62;-43.739998;-15.96;2.1164744;-2.243367;1.6927006;
-0.15523612;3.8769326;0.93859446;-10.38;-42.84;-17.34;4.8386817;-0.557849;3.5458126;
-0.072158456;4.472526;-0.28863382;-10.38;-41.28;-20.4;4.5154643;0.41180268;4.4364557;
-1.3232105;4.0540833;-0.16340645;-5.7599998;-40.739998;-23.1;2.5929205;1.3383588;6.5580177;
-1.1368966;3.1420617;-0.046731193;-0.24;-38.64;-27.72;6.038476;2.930503;9.608231;
-1.39346;3.3607514;-1.529912;3.48;-36.42;-29.88;7.8484926;3.9264908;10.951378;
-1.8705457;3.2929454;-2.6984973;11.94;-33.6;-31.619999;2.6551697;2.801216;9.890746;
-1.9859992;1.78533;-2.377793;20.939999;-28.32;-32.82;1.4987702;2.6839;13.32882;
-2.5284476;1.1060479;-2.5647178;27.3;-23.519999;-32.52;-0.260968;2.0111294;15.127165;
-1.7703638;0.4450917;-2.8365529;31.439999;-16.26;-33.36;-1.4173675;1.4748282;15.421652;
-1.3952925;0.10667235;-3.578754;34.68;-8.88;-33.84;-3.809175;0.25378537;14.214675;
-0.849179;-0.37102428;-3.4822373;36.6;-1.02;-34.02;-5.255572;0.37828386;13.529933;
-0.3311653;-0.6990589;-3.769344;35.82;5.4;-34.86;-3.6487634;-0.22266077;14.291289;
0.17157678;-0.5090798;-4.692972;33.6;12.12;-35.88;-6.4837976;-2.3199813;13.290513;
0.2680935;-1.3685672;-4.104709;28.859999;17.64;-37.559998;-10.364799;-3.4237084;10.233117;
-0.19372064;-1.1407145;-2.9538388;21.96;22.199999;-39.12;-11.320085;-2.2361844;11.791742;
-0.091095276;-0.60193133;-2.0992384;17.279999;24.779999;-39.96;-9.383176;-1.9321208;11.116578;
0.26992607;-0.38751763;-1.0467176;13.32;26.4;-39.719997;-8.775048;-0.2753332;10.872369;
0.3224605;0.03153592;-0.80909103;10.679999;25.68;-40.379997;-4.6232033;-0.60573304;9.198822;
0.12270755;-0.06925685;-0.79381937;9.96;26.279999;-40.559998;-5.267543;0.06943185;8.085519;
0.21433735;0.29848403;-0.72418076;8.639999;25.14;-40.92;-4.5418005;0.4261679;10.723928;
0.6004042;0.9343948;-0.50915617;7.8599997;24.66;-41.219997;-4.4963107;-0.9768343;9.787796;
0.24915667;0.32414037;0.23243423;9.54;23.519999;-41.94;-1.9393034;-1.733402;8.013692;
0.077503525;0.25450173;0.2855795;10.98;23.34;-42.6;-1.7429788;-1.400608;9.993697;
0.04512767;0.18852828;-0.003970624;11.88;23.76;-42.36;-1.3072342;-1.1061212;9.253889;
0.21067216;0.2270128;-0.14630222;11.88;23.699999;-42.48;-2.0614076;-0.93373865;9.799767;
0.17157678;0.17081319;-0.12675454;12.599999;22.8;-41.7;-2.4947581;-1.1683705;9.02644;
0.109268524;0.13782647;-0.09010262;12.66;22.56;-42.18;-2.6288335;-1.115698;8.8923645;
-0.11614075;0.08651379;-0.03390302;12.719999;22.5;-41.64;-2.7581203;-1.1587936;9.296985;
0.028023442;0.09506591;-0.0693332;13.679999;22.02;-42.78;-2.3535004;-0.91458505;9.165303;
0.08116872;0.1372156;-0.12980886;13.139999;22.8;-42.48;-2.942474;-0.91697925;9.766248;
0.046960264;0.037644573;-0.04428773;12.78;22.56;-42.42;-3.1124623;-0.6679823;9.610625;
-0.028787024;0.049861874;-0.01863139;13.0199995;23.16;-41.7;-2.882619;-0.6775591;9.629779;
0.03352123;0.033368513;0.06566802;13.679999;22.92;-41.64;-2.9831753;-0.7781156;9.308955;
