gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.12759447;-0.14317155;0.04734206;27.96;1.74;-40.02;-3.2824504;2.255338;6.8046207;
0.010919216;0.21723895;-0.7199047;28.68;1.68;-40.739998;-1.7645266;2.96881;8.6936455;
0.35972327;-0.1511128;-1.0797043;28.26;1.8;-40.5;2.6001031;5.6889224;12.567464;
2.0408244;-0.53168184;-3.396716;29.34;3.06;-41.1;5.018546;8.710405;18.368914;
2.9864438;-1.4614187;-3.1401527;27.3;2.82;-41.219997;-3.7852328;12.56507;21.72319;
3.2607224;-2.843196;-0.29229903;24.18;-0.06;-42.239998;-14.085388;15.809512;20.746357;
3.335248;-2.892065;1.3552046;15.78;-8.46;-44.399998;-19.111116;14.868591;19.62587;
4.5795803;-1.9519435;1.5775595;11.28;-15.12;-45.239998;-25.302822;11.02081;22.994513;
5.4720545;-0.49564078;2.4645357;4.5;-26.099998;-38.34;-28.070518;4.1491513;16.228498;
5.1904454;0.55138224;3.4413095;-0.84;-35.219997;-30.72;-21.354483;1.1899183;14.528316;
5.4861045;1.7547867;2.8273897;-7.7999997;-40.98;-19.74;-17.068863;-4.074931;12.06947;
4.97481;2.4951553;2.8835895;-12.9;-43.32;-7.5;-10.771812;-7.63062;10.218752;
3.8410442;2.7730992;2.5793786;-18.72;-41.1;3.06;-6.5436525;-10.051158;4.8099513;
2.872212;3.5855498;2.0247128;-25.5;-36.12;8.28;-0.30885202;-8.157345;4.793192;
2.5441773;4.6344056;0.02107485;-32.04;-32.46;8.28;3.9097314;-5.296273;5.432743;
2.3297637;5.374774;-1.425454;-34.98;-30.42;3.6;3.7732618;-4.1060557;5.2483892;
1.5680147;5.112102;-1.3460416;-32.16;-31.199999;-2.76;5.4830213;-1.8076223;8.708011;
1.2601386;6.0064087;-3.3368514;-28.74;-33.6;-9.0;5.8373632;-1.496376;6.716035;
-0.2138792;4.975879;-3.274543;-19.38;-37.739998;-14.4;4.247314;0.7134721;7.680898;
-0.49915326;4.66556;-4.816367;-5.04;-40.2;-18.9;3.083732;0.08140286;5.466262;
-2.7990608;2.7309494;-3.6599991;8.16;-39.3;-20.88;-1.8914193;-0.033518825;13.010391;
-2.8320477;2.4646122;-5.1615057;19.5;-35.16;-24.18;-2.6431987;-1.8219875;15.148713;
-3.0684526;-0.6288094;-3.30753;27.84;-28.08;-25.68;-0.7757214;2.8993783;27.953203;
-0.11980595;0.9722684;-5.8798833;34.079998;-19.08;-28.38;0.92416185;2.432509;24.028807;
2.1684952;-0.80351686;-8.0863285;39.3;-8.94;-26.699999;-17.281946;-0.62728083;24.414274;
2.7237718;-2.7424033;-3.778507;39.239998;4.38;-28.019999;-25.745749;5.281908;6.646603;
1.6761379;-2.5683064;-2.2256875;35.04;8.04;-32.04;-15.663466;4.675876;4.213795;
0.60956717;-1.8768071;-1.4706581;30.66;8.22;-36.899998;-12.471696;4.5633483;3.8738184;
0.92599535;-0.9611201;-1.4798211;26.099998;8.5199995;-39.36;-7.4223247;4.709395;7.7694836;
0.94737566;-0.6159812;-0.9819659;23.16;8.34;-40.02;-6.3497224;3.4955344;9.826103;
0.95776033;-0.029550606;-1.3301591;23.22;6.7799997;-41.879997;-7.295432;2.8323407;6.869264;
0.57291526;0.014431692;-0.5696318;22.199999;5.7599998;-42.36;-6.440702;3.2202013;6.9578495;
0.30230194;0.003436117;-0.10354166;22.5;5.16;-42.48;-5.372888;3.9863458;7.290643;
0.19540052;-0.04054618;-0.0076358155;23.16;4.5;-42.12;-4.146757;4.050989;7.642591;
0.06650795;-0.0026725354;-0.07666359;22.5;3.8999999;-42.36;-3.8139634;4.072537;8.140585;
0.112322845;0.23434319;-0.16768251;22.8;4.2599998;-42.78;-4.5441947;3.6894648;8.444649;
0.15263996;0.32230777;-0.14385876;23.58;3.36;-42.42;-4.5298295;3.3327289;7.9059534;
-0.07765625;0.081016004;0.20861048;22.98;2.58;-41.46;-4.2305546;3.2393548;7.6138606;
0.090331696;0.08040514;-0.0571159;23.1;3.9599998;-41.16;-3.6966474;3.3159695;7.738359;
0.0066431593;0.013209961;-0.13225232;22.92;3.78;-41.579998;-4.247314;3.4452562;7.9538374;
0.05673411;0.010155635;-0.1731803;23.22;3.3;-41.16;-4.1156325;3.4524388;7.58513;
0.04268421;-0.020387627;-0.112704635;22.98;4.5;-41.52;-4.6902413;3.6224272;7.946655;
-0.040393464;0.038255434;-0.13103059;22.74;4.62;-41.399998;-4.606444;3.6032736;8.097489;
0.01947133;-0.0613156;-0.008857546;23.76;4.38;-41.04;-4.8698063;3.6966474;8.099884;
0.104992464;0.0028252518;-0.20433442;22.32;4.62;-41.879997;-4.3382936;3.5889084;8.427889;
0.15997034;0.13049608;-0.25992316;23.34;4.98;-41.46;-5.372888;3.1052797;7.261913;
0.011530082;-0.014278975;0.21777347;24.72;3.54;-42.0;-4.7046065;3.2752678;7.580342;
-0.07704538;0.056581393;0.011301007;24.539999;3.54;-41.52;-4.2401314;3.4356794;7.877223;
-0.023900103;0.029092457;-0.08399397;24.119999;4.2599998;-41.82;-4.537012;3.383007;7.752724;
0.074449204;0.037033707;-0.09254608;25.14;3.12;-41.579998;-4.7979803;3.383007;7.853281;
