gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.69585186;-0.34109187;-1.0051788;-48.84;5.7;-13.559999;11.296143;4.4340615;-1.151611;
-2.4148266;-0.6453028;-0.50854534;-49.14;4.44;-14.219999;10.446201;4.944326;-4.027047;
-0.83879435;-1.4156039;0.023518313;-49.98;4.08;-11.04;18.174984;10.266636;1.8459295;
0.2448806;-1.5286139;-0.52626044;-50.82;5.7;-7.98;16.501436;9.641749;-0.89782566;
-1.1387292;-2.0386865;-1.9263636;-51.0;4.2;-5.16;20.152594;8.779837;-0.6560113;
-2.272495;-2.2060635;-2.9678888;-51.719997;0.9;-0.06;20.248362;5.5237226;6.8979945;
-0.9915106;-1.8847483;-4.2030582;-49.86;-7.02;5.58;18.218079;4.759673;8.36564;
-0.24686591;-1.3526847;-4.1340303;-45.96;-18.359999;9.12;16.40088;4.367024;9.198822;
-0.23037256;0.2654973;-4.553695;-40.14;-26.099998;11.34;14.047081;2.7629087;9.375993;
0.6162867;0.815276;-4.2623124;-34.739998;-36.18;9.9;8.997709;0.8834604;7.472603;
1.3597096;1.6246725;-3.4132094;-28.08;-41.94;9.9;7.355287;1.0271125;5.6194906;
1.7671568;1.5079973;-3.143818;-21.119999;-46.02;10.8;4.6591167;1.271321;3.0621839;
1.2216542;1.9545397;-2.8542678;-14.759999;-47.7;13.44;2.4756045;1.484405;1.5921441;
0.62361705;2.4560602;-2.7889054;-8.5199995;-48.66;16.92;3.5434184;3.0454245;2.408567;
0.46662468;3.2208633;-3.1377094;-2.82;-48.96;17.1;2.504335;0.9600749;2.3056161;
1.3047318;4.233067;-2.4113905;1.68;-47.039997;20.939999;1.9440918;-0.6488287;-1.5658079;
1.2735777;3.3686926;-1.7974709;2.1599998;-43.92;25.74;0.8475474;-0.37110126;-5.80145;
-0.7734318;4.6985464;-1.0112875;0.12;-41.82;28.859999;1.1755531;1.3958195;-8.688857;
-0.4472297;4.1078396;-0.7309003;-4.8599997;-42.239998;27.119999;2.0566192;1.6663644;-5.1191025;
-0.9334785;4.1884737;-0.2574797;-8.34;-42.18;25.019999;4.292804;3.3303347;-8.12622;
-1.737988;4.1805325;-0.16462818;-12.78;-43.32;21.359999;5.0472765;3.7780502;-6.890812;
-2.7837894;3.7333794;-0.27458394;-15.48;-45.18;14.7;4.733337;4.232949;-5.3537345;
-1.5602262;2.7065148;0.6844745;-17.279999;-45.66;6.0;4.7884035;3.9504328;-3.1555579;
-2.8131108;1.9093357;0.8927795;-18.6;-44.7;-0.84;5.2507834;4.8147397;-4.7620673;
-2.4337635;1.1084913;2.0491474;-20.58;-42.54;-7.3199997;8.056788;4.6782703;-2.7724855;
-2.7685177;0.048640147;2.1713204;-23.279999;-40.5;-14.34;11.24347;5.502175;-0.93373865;
-2.295097;-0.28672487;2.4572055;-27.599998;-35.04;-19.92;13.580212;5.5931544;-0.107739076;
-3.4716237;-1.4119387;2.0723603;-32.579998;-29.099998;-25.14;13.268965;4.003105;-0.6823475;
-3.547371;-1.5530485;2.572659;-36.6;-21.539999;-26.88;14.683938;3.3997664;4.3766007;
-3.0776155;-2.2427154;2.1927009;-39.239998;-13.62;-27.0;16.527773;4.6399627;4.283227;
-4.0653844;-1.4620296;1.3381003;-44.7;-4.44;-24.66;15.318701;3.5769374;6.632238;
-3.86441;-1.1394928;0.9550878;-47.1;2.34;-20.4;15.084069;4.2640734;10.1660795;
-2.6432903;-0.8139016;0.03023783;-47.82;7.44;-17.1;10.055946;3.086126;5.909189;
-2.871754;-0.37835467;0.19150625;-47.46;10.74;-13.5;11.068694;3.311181;9.428665;
-1.919415;-0.024663685;-0.691194;-47.94;12.9;-10.38;10.185233;2.0709844;6.2707133;
-1.2279155;0.285045;-0.6814202;-49.68;12.48;-9.24;10.417471;1.4413095;5.8876414;
-0.65797824;0.6191883;-0.4633413;-48.48;11.88;-9.96;8.324939;0.20829555;4.2999864;
-0.060552016;0.51961726;-0.17256944;-49.559998;11.88;-10.5;9.263466;0.91219085;2.2409728;
-0.41668645;0.052305337;-0.15241088;-48.899998;12.12;-10.5;9.059958;1.3120226;2.4540567;
-0.5571855;0.32658383;-0.15668693;-49.44;12.24;-10.92;8.78702;0.9840169;2.813187;
-0.13874277;0.17753272;-0.11575896;-48.6;12.48;-11.219999;9.390358;0.9864111;3.4284968;
-0.07399105;0.1549307;-0.160963;-49.379997;12.96;-11.5199995;9.213187;0.81163436;2.5905263;
-0.21326832;0.21968241;-0.122478485;-48.899998;12.179999;-11.34;9.426271;1.055843;2.7940333;
-0.51503575;0.8073348;-0.24648413;-49.2;11.58;-12.48;9.677663;1.3575124;3.265691;
-0.33483052;0.9301187;-0.3484986;-48.239998;13.259999;-13.86;7.7215996;1.6017209;3.1603463;
-0.13935363;0.18852828;-0.10170906;-46.98;13.74;-13.62;9.052776;1.553837;4.6351743;
-0.14668402;0.21235204;-0.09621128;-47.82;13.799999;-14.639999;8.813355;1.3024458;4.1012673;
-0.047112983;-0.032604933;-0.13347405;-46.86;13.32;-15.179999;9.098266;1.5275006;3.6966474;
-0.26580274;0.052305337;-0.1255328;-47.52;13.559999;-14.58;8.487744;1.1659763;3.7325604;
-0.1277472;0.042531494;0.06872234;-47.219997;13.86;-14.34;8.90673;1.2401965;4.6351743;
