gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-1.0648144;0.0016035213;-0.5653558;-48.66;5.22;-14.759999;10.015245;3.2106245;1.5370775;
-1.2609022;-0.5200754;-0.4841107;-49.02;3.24;-15.12;11.832444;4.8338933;0.34237084;
-0.32383493;-1.2036337;-0.63194007;-48.78;3.72;-12.599999;14.315231;8.712799;0.5267244;
-0.7740426;-1.6104698;-1.5323554;-49.68;2.76;-10.5;17.439964;11.846809;-0.5793968;
-1.2156982;-2.0441842;-2.6477954;-49.98;-1.14;-6.12;18.914791;10.8508215;2.885013;
-1.3097714;-1.7766252;-3.520722;-49.62;-7.2;-1.56;17.753605;8.602666;9.7447;
-0.121638544;-1.0002155;-3.7772853;-48.059998;-15.599999;1.14;16.273987;7.424719;15.074492;
1.2534192;-0.20670153;-4.1431937;-43.739998;-23.88;4.2;17.071257;7.621043;12.89547;
0.5368742;0.34368807;-4.8469105;-37.98;-31.14;5.7;14.523527;4.331111;10.245089;
0.39820778;1.8464166;-4.6508226;-31.199999;-40.079998;6.48;10.405499;0.02633622;9.893141;
1.7708219;2.2416463;-3.5506542;-22.8;-47.879997;3.36;8.087913;-0.38307226;5.454291;
1.6474272;2.5550203;-2.8151724;-16.199999;-50.34;5.04;5.916372;1.0151415;2.3558946;
1.1593459;2.4664447;-2.7546968;-9.48;-52.98;7.5;3.6224272;1.2210429;0.80684596;
1.3743705;2.5440247;-2.3527474;-3.6599998;-52.079998;10.8;2.779668;0.91937345;0.0;
0.69020134;3.0620384;-2.191479;1.92;-51.96;14.759999;2.552219;1.3910311;-1.6065093;
0.29497156;3.45849;-1.7718146;3.12;-50.1;17.88;1.4197617;0.89064306;-2.054225;
0.7861072;3.2575152;-1.3637567;4.08;-48.18;19.14;2.6408045;0.9648633;-3.6894648;
-0.20105103;3.4255033;-0.9428705;2.58;-47.34;21.3;0.7445967;0.35913026;-6.476615;
-1.0318278;3.597767;-0.21838433;0.9;-47.039997;21.48;3.0478187;2.6551697;-6.878841;
-1.855885;3.9807796;-0.19700404;-3.0;-47.219997;17.64;3.3327289;3.3734303;-7.290643;
-2.1387155;3.50797;0.45234573;-7.3199997;-48.66;13.5;3.1387985;3.560178;-5.245995;
-2.0629683;3.0040061;0.745561;-10.559999;-50.219997;5.7599998;4.156334;4.4436383;-5.308244;
-2.2749386;2.4578927;1.5732834;-14.16;-48.66;0.29999998;5.4399257;5.0592475;-4.4196963;
-2.0360901;1.781054;2.1071796;-17.34;-47.46;-7.08;8.061577;7.0679827;-3.6990416;
-2.2382867;0.80244786;2.295937;-21.24;-44.16;-13.259999;10.446201;7.771878;-3.1914709;
-2.422157;0.42310053;2.19209;-25.38;-41.34;-18.72;11.78456;8.521263;-0.9720459;
-3.147254;-0.74609554;1.7809776;-28.98;-35.94;-23.88;11.056723;7.6737156;-0.6967127;
-2.3048708;-1.0875692;2.0308216;-32.76;-30.24;-27.84;11.889905;7.2930374;3.857059;
-2.9511664;-1.2182944;1.4676038;-35.76;-25.439999;-29.279999;12.435782;7.903559;0.3184288;
-3.0305789;-1.3093133;1.2177598;-39.36;-17.46;-29.82;10.4845085;6.016928;5.930737;
-3.066009;-1.3539065;0.53786683;-41.76;-11.94;-29.16;12.06947;6.1533976;5.4135895;
-2.9975922;-1.2366203;-0.26175576;-44.76;-6.6;-26.76;8.911518;3.7972038;5.8660936;
-2.3195317;-1.2995394;0.032070424;-45.059998;-3.1799998;-24.48;11.63612;3.2273839;7.776666;
-1.7886899;-1.0643563;0.29657507;-46.98;-0.42;-21.119999;11.35121;3.9504328;7.6832924;
-1.3372604;-0.36919168;-0.129198;-48.239998;0.42;-18.48;9.62499;2.8060043;5.3680997;
-0.32383493;-0.41256312;0.1908954;-47.399998;1.0799999;-17.82;9.435848;2.621651;4.72376;
-0.41179952;-0.34903312;0.16646078;-49.02;2.22;-15.9;8.57633;3.1172507;1.958457;
-1.0055605;-0.26106852;-0.11575896;-49.2;3.0;-14.28;9.569923;2.873042;3.383007;
-1.1723268;-0.029550606;-0.2556471;-49.559998;4.14;-13.62;8.753501;1.9057846;3.9743748;
-0.56940275;0.1549307;-0.13408493;-49.44;3.84;-12.719999;9.404723;2.207454;4.663905;
-0.13507758;0.31497738;-0.22388211;-49.86;3.4199998;-12.78;8.803779;2.372654;3.1627405;
-0.11675162;0.19952387;0.022296581;-48.719997;3.6599998;-12.3;9.426271;2.3247697;3.0023289;
-0.43989933;0.41760275;-0.30757064;-48.48;4.3199997;-14.46;9.639356;2.432509;2.5450363;
-0.32505667;-0.0026725354;-0.28313604;-48.42;4.2599998;-15.0;8.968979;1.8555063;3.3877954;
-0.23220515;0.18425223;-0.20799962;-49.5;3.12;-15.42;8.978556;1.9991584;3.040636;
-0.030619621;0.05841399;-0.09254608;-49.8;3.9599998;-14.82;8.791808;2.3343468;2.621651;
-0.10881037;-0.024663685;-0.03390302;-48.84;2.7;-15.599999;8.997709;2.255338;2.9903579;
-0.17417295;0.16959146;0.03634648;-49.02;3.4199998;-15.78;9.352051;2.7006595;3.2585084;
0.1868484;-0.20792326;-0.13164146;-48.719997;3.3;-15.179999;9.352051;2.5833437;2.908955;
-0.34093916;0.11217013;-0.13836098;-48.539997;2.1599998;-15.42;8.909123;2.1763294;3.289633;
