gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.48433977;-0.28244883;1.5225816;-23.34;3.36;-42.78;-2.6527755;-0.9696517;9.857227;
0.2222786;-0.95989835;1.2843442;-23.519999;3.1799998;-43.32;-0.4141969;-0.12689269;11.772589;
0.61995184;-0.38385245;2.3576343;-24.66;3.8999999;-42.899998;-0.7062895;-1.733402;15.330672;
0.86613053;0.5599344;2.86282;-24.779999;4.56;-41.46;-0.7062895;-1.5490485;15.52939;
2.68712;0.7242571;2.5879307;-23.519999;5.64;-43.92;7.1852984;1.7477672;18.335396;
3.0279827;2.0828214;1.1395692;-19.439999;2.8799999;-45.3;8.8684225;5.693711;14.789582;
1.1055897;2.6454284;0.9117164;-15.059999;-1.38;-47.7;5.4159837;4.3143516;15.227721;
3.4647512;2.570292;0.63621616;-7.9199996;-6.7799997;-49.62;9.110237;3.442862;16.278776;
3.6186893;1.9411007;-0.17562376;-2.46;-13.5;-50.7;9.586683;6.5173163;10.927436;
2.6113725;1.7914387;-0.97219205;3.0;-22.02;-48.66;8.782231;6.2994437;10.338462;
3.5014033;0.9282861;-1.3063353;7.98;-28.019999;-45.059998;8.2315645;6.3640876;6.86687;
3.2423964;0.028481591;-1.0656544;10.679999;-33.239998;-40.92;7.166145;7.7982144;3.8642416;
3.1996357;-0.7570911;-2.0711386;12.54;-39.78;-37.32;5.269937;7.913136;1.3263878;
3.529503;-1.1889728;-2.2403483;15.42;-43.02;-31.32;3.9671922;7.8245506;-1.3072342;
2.3529766;-2.638556;-2.2574525;18.539999;-45.899998;-26.22;2.1547816;6.799832;-1.9249382;
1.8459585;-2.366721;-1.7192802;22.32;-46.739998;-22.74;1.9608512;5.346552;1.1611878;
2.3676374;-3.0117948;-1.5225816;23.46;-47.1;-21.84;1.2617443;5.267543;0.7062895;
2.3774111;-2.7228556;-1.4309518;25.92;-47.46;-21.0;-0.7134721;4.060566;1.103727;
2.2228622;-2.9604821;-0.8414669;25.619999;-47.28;-19.74;-1.5753847;3.7134068;0.59376204;
1.7970892;-3.3337207;-0.72234815;26.76;-47.1;-18.48;-1.3263878;3.6272156;0.830788;
1.8178586;-2.9342148;-0.17379116;25.38;-47.1;-18.66;-3.3542767;3.157952;2.1045034;
1.9143753;-3.794924;0.45478916;23.88;-47.82;-17.34;-1.3239936;3.8762126;1.1444284;
1.5661821;-3.6501489;0.87689704;19.02;-49.379997;-18.24;-2.0853498;1.6591818;3.0909145;
1.8685604;-3.8657844;1.2910637;13.5;-50.7;-17.88;-0.7062895;1.8459295;1.2521675;
0.13492486;-3.2653039;1.9019289;8.82;-51.42;-15.059999;-0.9888053;0.92176765;4.8602295;
0.3328452;-2.765005;2.482251;2.1;-51.96;-14.7;0.22984336;2.6839;5.406407;
-0.24869852;-2.6281714;2.7650816;-5.22;-51.78;-14.04;3.4572272;3.4261026;6.0696006;
-0.4014148;-2.5457046;2.930626;-12.24;-50.7;-13.259999;7.5037274;3.0310593;8.870816;
-0.53580517;-1.8542051;3.3276885;-19.14;-47.76;-11.88;7.702446;-2.3654714;10.913071;
1.1941652;-1.8535942;4.672203;-27.539999;-44.579998;-10.86;9.557953;-1.0606314;10.563518;
0.1043816;-0.45837802;5.173723;-36.18;-36.12;-6.12;14.097359;4.5633483;9.524434;
0.478842;0.90690583;4.5188756;-42.66;-27.18;-5.8199997;21.866842;12.105383;12.366351;
0.45318565;1.2575425;3.4914002;-47.219997;-17.94;-6.6;18.538902;10.558729;12.634501;
0.93821263;1.7902169;2.9196305;-47.879997;-8.82;-9.78;18.570026;9.206005;7.319374;
1.7732655;1.7908279;2.5292876;-47.7;-3.0;-14.639999;16.903662;6.2036757;7.5061216;
1.4574481;1.908114;1.7962493;-44.94;1.86;-18.119999;12.68478;2.0518308;3.6535518;
1.8893298;1.8048778;1.9086485;-42.66;5.16;-22.98;13.735834;1.2234371;2.7341783;
0.4366923;1.7071393;0.9147707;-40.2;7.62;-27.18;10.108619;0.5722142;1.6017209;
1.3658184;2.080378;1.2208142;-36.42;9.54;-31.92;10.47972;1.460463;5.0017867;
1.4696654;1.6417767;0.93370754;-32.76;12.36;-34.559998;8.052;1.5897499;3.739743;
0.8795696;1.5800793;0.84940815;-29.22;12.78;-38.04;5.904401;1.6831238;5.4399257;
-0.20044015;0.9948704;0.41080686;-26.939999;13.2;-39.18;5.990592;2.0685902;5.645827;
-0.45333838;0.32780555;0.109650314;-25.38;14.7;-39.36;5.9498906;0.91937345;8.729559;
0.20822869;0.49823695;0.35827246;-23.939999;15.719999;-39.12;4.5753193;1.0271125;7.6258316;
0.098883815;-0.08269588;-0.1151481;-22.92;15.299999;-39.48;5.2866964;1.1228806;8.224382;
-0.16928603;0.18058704;-0.19883664;-23.64;15.42;-38.82;4.1946416;0.61770403;8.250718;
-0.20105103;-0.1755474;-0.13530666;-23.039999;16.68;-40.2;4.177882;0.51954174;9.481338;
0.2851977;0.14515686;-0.18661933;-23.22;16.02;-40.8;4.003105;0.4429273;9.225159;
0.026190847;-0.015500706;0.016187929;-22.74;15.36;-39.36;4.209007;1.0390835;8.8923645;
0.27114782;0.2392301;-0.25503623;-22.02;14.099999;-41.219997;4.4580035;1.0462662;8.959402;
