gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.5271003;-0.3111595;0.11575896;-50.82;8.88;-12.059999;6.658574;0.6943185;5.8541226;
1.458059;-1.3496304;0.2134974;-51.18;8.639999;-12.0;6.0696006;0.9648633;5.4471083;
1.013349;-2.6055694;-0.05955936;-50.64;8.28;-8.46;6.586748;1.1994951;8.296208;
2.4000132;-2.5597544;-1.1585059;-51.6;8.94;-4.14;10.482115;0.29448682;10.561123;
2.17888;0.2746603;-1.0595458;-49.98;8.4;-0.06;18.158224;2.432509;7.9801736;
5.266193;0.87147564;-0.7583892;-47.82;7.02;-1.14;17.629107;0.062249243;7.142203;
4.7316856;1.5568664;-2.6526823;-48.84;3.9599998;-2.46;20.260334;5.832575;0.4213795;
3.211853;1.9979111;-3.2684345;-48.539997;-3.24;-5.64;20.93071;8.159739;-4.2640734;
2.0481548;1.3332897;-4.277584;-44.579998;-11.82;-8.639999;19.72882;6.464644;-8.363246;
1.7769307;-0.94218326;-5.485875;-40.32;-22.619999;-8.7;12.912229;5.0736127;-12.122143;
0.6792058;-1.564655;-4.5830164;-32.94;-33.84;-6.72;6.1653686;4.256891;-12.816461;
-0.04772385;-1.9128481;-4.114483;-24.0;-43.02;-3.8999999;3.9983168;5.138256;-12.51958;
0.65904725;-2.965369;-4.358218;-14.219999;-49.02;-2.3999999;-0.9792285;3.6655228;-10.74787;
0.5075527;-2.7033079;-2.5659394;-3.0;-51.059998;0.84;-2.6767175;3.6104562;-11.382334;
0.17585284;-3.8725038;-1.461495;4.62;-50.219997;4.44;-3.1172507;3.1387985;-10.316915;
0.156916;-4.4137306;-0.65026605;9.54;-50.34;3.06;-1.3670892;2.8778305;-7.867646;
0.4910593;-4.972672;-0.70096785;12.3;-49.44;0.53999996;-0.107739076;3.3087866;-6.2108583;
0.98402756;-5.5212293;-0.786489;15.54;-50.1;-0.9;-0.9959879;3.904943;-5.9714384;
1.3529902;-4.9360204;-0.1414153;17.039999;-49.739998;-3.84;-0.6967127;3.6487634;-4.934749;
0.7940485;-4.4809256;0.24587326;17.279999;-51.12;-5.3399997;0.58418524;3.2872388;-3.3159695;
1.153848;-4.32882;0.5384777;15.059999;-50.399998;-6.18;1.1779473;2.6671407;-2.2625206;
1.340162;-3.5059848;1.01312;11.88;-49.98;-6.24;3.6367924;2.4037786;-1.376666;
1.7402787;-2.1889594;2.0295997;8.16;-49.68;-3.6;5.102343;3.3542767;-1.3335704;
0.9583712;-2.925052;1.217149;2.58;-50.34;-1.02;5.7511716;2.8443117;0.7445967;
1.4482851;-2.325793;1.2250903;-0.29999998;-48.96;0.42;6.440702;2.908955;0.36152446;
1.9937878;-2.0191388;1.5335772;-1.74;-49.44;4.68;7.472603;3.7469256;-0.15083471;
2.5942683;-1.6257415;1.666135;-5.16;-48.059998;10.0199995;9.548376;4.0414124;-1.9393034;
3.0695214;-1.1572078;1.9391917;-7.8599997;-45.36;15.719999;11.241076;6.383241;-4.673482;
2.877099;-0.38751763;2.1065688;-10.38;-42.0;21.66;12.768577;7.508516;-4.0438066;
3.5435529;-0.0753655;2.4657576;-13.559999;-36.96;28.32;14.820707;7.278672;-5.514146;
3.69688;0.22273675;1.217149;-16.98;-29.699999;33.84;16.245256;8.3273325;-9.749489;
3.3914475;1.0339658;0.85062987;-19.619999;-21.539999;38.28;13.757382;8.004115;-9.198822;
3.2277355;1.7285196;0.41386122;-22.5;-14.34;39.18;13.89864;8.88997;-11.669639;
2.8489993;1.7670041;-0.20738874;-26.46;-6.6;39.0;10.88434;7.328951;-11.284172;
2.3291528;1.9013945;-0.37293324;-28.98;-0.9;36.78;10.283396;6.074389;-12.057499;
2.3456461;1.9520962;-0.87689704;-33.239998;3.24;33.18;9.081507;4.0653543;-10.518027;
1.7366135;2.174451;-0.7779369;-36.3;5.7599998;30.84;7.120655;3.0071173;-11.298537;
0.6755406;1.5941292;-0.09010262;-39.54;6.7799997;25.56;5.8253922;1.4149733;-8.133403;
1.1275809;1.3473396;0.14630222;-41.64;9.179999;22.98;8.561965;3.2010477;-9.888352;
0.62728226;-0.023441954;-0.17379116;-42.96;9.54;20.34;5.59076;1.6879122;-6.8979945;
-0.13507758;0.31253394;0.7510588;-42.78;9.54;19.38;8.059182;1.2354081;-5.2364182;
-0.3946953;0.1408808;0.35705075;-43.68;12.12;19.26;9.457396;0.82599956;-3.7541082;
-0.00496328;-0.19326249;-0.1853976;-42.78;11.5199995;19.32;8.5499935;0.12689269;-2.3750482;
0.14347698;0.10606148;0.15241088;-43.2;12.66;19.92;9.02644;0.89064306;-4.367024;
-0.06604981;-0.13156511;-0.03268129;-43.079998;13.08;20.34;9.675268;1.1659763;-3.9983168;
0.034132097;0.1091158;0.06261369;-43.8;12.0;20.16;9.888352;1.3192052;-4.8338933;
-0.27130052;0.123165704;-3.0543262E-4;-43.02;12.54;20.039999;9.119814;0.6703765;-3.6774938;
-0.14668402;0.030314188;0.0021380284;-43.379997;11.94;19.92;9.165303;0.4141969;-3.1244333;
-0.11308643;0.047418416;-0.067500606;-43.079998;12.059999;19.02;8.949825;0.33039984;-3.265691;
-0.13935363;0.23373231;0.08155051;-42.36;12.0;19.199999;9.280225;0.41180268;-3.4045548;
