gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.15630515;-0.055817813;0.13775012;4.74;-2.82;-50.16;-3.7086184;3.6128504;8.830115;
0.018860465;-0.09002627;0.30634892;4.14;-3.8999999;-50.64;-3.5098996;3.1244333;7.8006086;
-0.025121834;-0.11446088;0.8127562;4.02;-3.6599998;-51.84;-4.3502645;1.7405846;7.010522;
-0.93042415;0.49335003;1.149343;4.44;-4.56;-51.6;-5.3010616;0.5650316;5.430349;
-1.5370133;0.30031663;1.7009543;5.16;-1.8;-50.52;-8.286632;-0.50038815;6.3066263;
-1.6127607;0.6301839;2.4480424;5.8199997;1.3199999;-50.28;-8.48535;1.1659763;9.229947;
-0.94752836;1.3345115;2.4065037;7.98;3.54;-50.46;-11.506833;2.80361;12.416629;
0.00786489;1.1139891;4.6801443;11.88;2.6399999;-49.8;-12.823644;4.9251723;14.533104;
0.9113346;2.2465334;4.8866167;14.46;-0.42;-50.16;-8.499715;7.190087;14.823101;
1.0164034;2.9923997;4.829806;20.699999;-8.22;-48.899998;-9.462184;9.325715;17.320253;
2.4452171;2.410856;5.4070735;24.72;-16.74;-43.68;-5.916372;9.821315;19.783888;
3.4226017;1.9331595;4.6954155;24.06;-27.66;-37.38;-1.6998832;8.030452;17.708115;
3.5679874;0.70959634;4.381431;20.88;-37.62;-31.08;1.460463;6.4957685;17.85895;
3.3914475;-0.2738967;3.624569;11.94;-45.36;-24.539999;4.501099;5.159804;13.314455;
2.7335455;-1.1291081;2.8951957;4.92;-51.12;-17.34;5.8397574;4.378995;11.11179;
1.902158;-2.5658631;2.4572055;-2.04;-52.02;-11.88;7.9083476;3.6511576;7.3935943;
1.4653894;-2.829757;1.7211128;-7.8599997;-52.559998;-6.2999997;7.3026147;2.5785553;5.71047;
0.60834545;-3.5310302;0.90377516;-11.46;-52.86;-2.1599998;6.634632;2.2768857;2.6001031;
0.027412578;-4.089361;0.4334089;-12.0;-52.14;2.46;5.5117517;2.4349031;4.572925;
0.2766456;-3.826689;-0.040011674;-10.86;-52.739998;5.16;3.122039;2.2936451;2.6431987;
-0.041615196;-3.7943132;0.058948494;-9.12;-52.98;8.5199995;1.2880806;2.3558946;1.0271125;
-0.08437576;-4.017279;0.7272351;-4.98;-53.399998;10.44;0.92895025;2.731784;0.78769237;
0.17768542;-3.794924;0.7706065;-1.8;-52.26;10.679999;-0.0047884034;2.8754363;-1.520318;
-0.7777078;-3.0728812;0.6728681;0.53999996;-52.02;11.82;-0.25617957;3.8019924;-2.4349031;
-1.1845441;-3.2341497;0.91904676;3.06;-52.559998;8.7;0.08619126;5.0353055;0.9935937;
-1.094136;-2.6324475;0.23854288;2.9399998;-52.379997;4.92;-2.5234885;4.158728;-0.6895301;
-1.4423292;-2.9073367;-0.08155051;2.8799999;-51.6;2.34;-2.6743233;3.277662;1.946486;
-1.0819187;-3.2158237;-0.124311075;3.9599998;-50.7;-1.56;-4.8362875;3.454833;0.10534488;
-1.5278504;-2.9891927;-0.0021380284;4.98;-50.64;-6.2999997;-5.004181;5.3561287;2.597709;
-2.2016346;-2.335567;-0.27397305;4.14;-49.98;-9.3;-6.0815716;4.331111;0.63206923;
-2.9132926;-2.1407008;-0.66675943;4.3199997;-49.68;-15.24;-6.9817915;5.9379196;8.53084;
-3.1197653;-1.9476675;0.20066923;3.84;-47.34;-22.56;-10.673651;5.794267;7.2834606;
-3.084335;-1.1559861;0.59712076;2.46;-43.32;-29.22;-7.7575126;7.036858;9.531616;
-3.6072357;-0.3386484;0.72418076;-1.74;-40.079998;-36.719997;-9.232341;6.9363017;9.780613;
-3.5131624;-0.03504839;1.1859949;-3.24;-33.66;-41.76;-7.4079595;8.169315;13.759776;
-3.1258738;1.2190579;1.2177598;-6.24;-28.019999;-47.82;-7.759907;9.507674;13.247417;
-2.6200774;1.4450781;1.2709051;-4.08;-20.699999;-50.879997;-7.1757216;8.78702;13.561058;
-2.0916789;1.7578411;1.7718146;-1.56;-14.099999;-52.62;-4.3263226;8.013692;14.0590515;
-2.1924717;2.8018098;0.7498371;1.5;-9.54;-53.64;-3.8905778;6.9913683;13.027151;
-2.5064564;2.83724;1.1224649;8.82;-3.3;-52.98;-3.8043866;4.2640734;13.022363;
-1.053819;1.2538773;2.1566598;15.12;0.65999997;-50.399998;-2.6839;5.006575;11.643302;
-0.52053356;1.5867988;0.59223384;18.0;0.24;-49.26;0.3878607;5.5189342;11.135732;
0.12698361;1.3149638;-0.17989981;22.74;1.3199999;-46.62;-2.4516625;3.169923;8.24593;
-0.65736735;0.48113275;0.5036584;24.66;1.38;-43.86;-4.5441947;2.9233203;8.03524;
-0.18333593;0.5678756;0.021685716;26.22;2.3999999;-44.7;-4.453215;1.9488802;8.408735;
-0.25480717;0.1109484;-0.31673363;26.76;2.34;-43.559998;-6.2635307;2.8083985;7.783849;
0.19356793;-0.44677156;0.12675454;28.14;5.8799996;-40.559998;-6.3616934;1.5586253;7.120655;
-0.04772385;-0.16577356;0.0076358155;27.72;5.46;-41.76;-6.452673;1.8674773;6.146215;
-0.24869852;-0.27511844;0.3387248;27.0;4.7999997;-42.48;-6.799832;2.195483;6.718429;
-0.35682166;-0.47731483;0.4156938;25.859999;6.0;-42.48;-6.514922;2.6001031;7.4319015;
