gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.036575556;-0.79007787;0.055283304;2.04;11.04;-43.8;-2.1691468;1.7166426;9.62499;
-0.32750013;-2.2830324;-0.1255328;1.8;10.559999;-44.34;-2.2888567;1.6519991;7.501333;
-0.27924177;-3.9629118;0.08093964;-3.6;11.219999;-43.14;-1.6424223;1.4053963;9.160515;
0.12820534;-3.305621;0.99296147;-11.639999;12.12;-41.879997;-0.6967127;0.19153613;6.5532293;
-0.6341545;-0.5090798;1.3381003;-18.96;10.86;-38.76;-2.7246015;-2.5091233;11.509227;
-0.15523612;-1.047863;3.234226;-20.699999;15.179999;-36.54;-1.7669208;-2.0494366;15.749658;
1.7683785;-0.5573382;3.0039299;-21.18;15.36;-36.6;-3.1627405;-3.9001546;17.442358;
4.5844674;-0.6746243;3.1187725;-19.92;13.74;-37.32;5.4255605;-3.3135753;20.641012;
3.4781904;2.1096995;2.7076602;-18.539999;9.36;-40.98;9.948207;0.92416185;18.01936;
4.79094;2.1292472;1.9874501;-12.24;4.08;-43.8;13.221081;2.8634653;14.367904;
4.5148287;1.5214362;0.3924809;-9.24;-4.38;-44.52;13.628096;4.6279917;8.552388;
3.7585776;0.95944023;-0.11759156;-6.0;-13.98;-43.68;10.688016;4.898836;9.17488;
3.7634645;0.5984189;-0.7089091;-3.06;-22.32;-40.44;11.813291;4.9539027;6.5939307;
3.148934;0.12988523;-1.6667458;-1.5;-29.82;-36.6;12.335226;4.9634795;3.5218706;
3.4739144;-0.58910316;-1.0974194;2.34;-34.86;-31.199999;4.733337;4.687847;1.5945383;
4.249102;-2.620841;-1.1945469;3.3;-40.379997;-25.08;8.9641905;7.288249;-3.0310593;
2.0444896;-2.1852942;-0.93859446;4.2;-43.98;-15.96;6.2156467;8.01848;-4.0078936;
1.6352099;-2.8138745;-1.5592335;4.2;-46.62;-10.38;9.656115;7.984962;-2.5306711;
1.2686907;-3.1309135;-1.312444;7.56;-47.82;-7.2;4.3837833;6.7471595;0.49559975;
1.3878095;-3.3428836;-1.6013832;10.44;-48.6;-4.3199997;3.2249897;6.500557;-1.8363527;
1.8563432;-3.4577265;-0.5665775;14.28;-49.14;-2.04;2.0254946;6.253954;0.11731588;
1.1642329;-3.6342664;-0.43768495;17.76;-48.6;0.24;2.2266076;6.1390324;-1.7741034;
0.6071237;-3.2903492;-0.3998113;18.72;-47.82;0.48;2.2601264;5.2268414;1.4437037;
0.69569916;-3.1144202;-0.31978795;20.46;-48.84;-0.65999997;-0.90740246;3.7229836;2.4588451;
1.0109056;-3.1632893;0.24281894;20.76;-46.92;-1.9799999;-2.3247697;2.801216;2.2625206;
0.8264243;-3.0368402;0.8005389;20.4;-46.86;-1.8;-1.8315643;2.1763294;1.7142484;
1.2790755;-3.7020724;-0.17195857;17.4;-45.36;-3.72;1.4652514;1.7549498;3.3997664;
0.4721225;-2.2830324;-0.2837469;17.58;-44.94;-2.58;-10.312126;2.6839;2.765303;
-0.1698969;-3.1626785;1.992337;16.199999;-45.059998;-3.36;-0.9528923;3.892972;5.135862;
-0.3488804;-2.1504748;1.8848248;12.24;-45.48;-3.9599998;-3.0933087;5.4135895;5.844546;
-1.1588877;-1.6471218;1.9654589;6.66;-45.239998;-5.52;0.35434186;6.143821;6.802226;
-1.5351807;-1.7088192;2.2146919;1.02;-45.0;-9.12;-1.0031705;5.090372;6.8165917;
-1.1753811;-2.2744803;2.3484714;-5.16;-44.7;-12.36;1.9009962;5.2005053;7.8460984;
-1.6451365;-2.131538;2.9428434;-11.34;-42.3;-13.98;4.6136265;4.4723687;7.0057335;
-2.4862978;-1.6727781;3.4003813;-19.439999;-38.34;-15.36;4.6519337;4.9539027;12.629713;
0.38843393;-1.7088192;3.2592716;-27.72;-31.56;-18.119999;10.283396;9.486126;16.01302;
-0.17661642;-0.789467;2.7094927;-35.04;-24.9;-14.4;12.23467;9.514857;8.717587;
-0.65858907;-0.1877647;2.7027733;-37.2;-20.22;-12.66;10.527604;8.827721;14.777612;
0.63278;1.1115457;2.790127;-39.899998;-14.099999;-13.5;9.7447;8.782231;13.714287;
1.7708219;1.9966894;2.748588;-43.02;-8.22;-15.9;11.478103;8.32015;9.028834;
1.8349628;2.4010823;2.4284947;-42.18;-3.24;-18.779999;11.159674;7.898771;5.5692124;
0.5405394;2.0339522;1.5244142;-41.04;0.06;-22.859999;11.724705;5.942708;3.5410242;
0.31085405;2.121306;1.7198911;-39.54;3.24;-26.699999;7.249942;3.3135753;8.075942;
1.4873805;1.8549687;1.6624697;-36.36;6.3599997;-30.06;9.766248;3.265691;5.930737;
0.8691849;1.0596222;0.98746365;-34.62;6.2999997;-32.7;7.1158667;2.7581203;4.369418;
2.6406941;0.20318905;-0.59650993;-31.98;6.48;-35.16;6.392818;3.0909145;9.603442;
2.5179102;-0.6898959;0.5726862;-31.619999;0.65999997;-35.399998;5.0448823;3.442862;4.5657425;
0.58757603;0.6662249;0.122478485;-34.26;-4.8599997;-34.2;4.6782703;4.84347;2.2720973;
-0.60666555;0.479911;0.50793445;-32.76;-5.1;-35.1;4.8219223;4.9395375;4.9610853;
-0.3543782;0.3216969;0.16646078;-32.28;-4.08;-35.52;5.514146;4.9275665;5.813421;
