gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.28092167;0.056581393;-0.4804455;-54.84;-4.74;-4.3199997;8.736741;2.528277;3.7948096;
1.1624002;-0.5866597;-0.27397305;-54.66;-5.3399997;-5.46;8.099884;2.360683;3.727772;
0.809931;-0.8658251;-0.63255095;-54.12;-7.44;-3.72;8.2315645;3.7445314;1.352724;
0.6877579;-2.1321487;-0.9447031;-53.82;-8.88;-0.59999996;8.660127;3.6727054;1.7621324;
-1.0006737;-3.3740377;-3.388164;-51.66;-10.86;4.98;9.335292;1.7429788;4.0342298;
1.181337;-2.2677608;-2.9709432;-44.1;-17.039999;11.28;9.285013;1.436521;3.2992098;
2.106798;-0.9892199;-1.9886718;-39.84;-21.119999;16.92;10.374375;2.5187001;-0.32321724;
1.122694;-0.33987015;-2.3405302;-36.3;-21.66;21.539999;12.167632;4.5992613;0.6368576;
2.8966467;1.9844722;-1.8457294;-34.32;-23.46;23.939999;14.355932;7.807791;-0.2633622;
2.156278;3.3644166;-1.9624046;-34.2;-24.18;23.279999;12.54831;9.404723;-5.1909285;
1.9956204;4.5568256;-2.617863;-36.899998;-23.1;20.52;14.815919;13.309667;-6.2132525;
0.68042755;4.558658;-2.196366;-38.579998;-25.56;13.92;7.7335706;14.552258;-8.308179;
-0.51503575;3.916028;-1.5830573;-39.42;-28.619999;6.66;9.493309;15.275605;-6.61069;
-0.89316136;3.680234;-2.3087652;-38.52;-31.26;-0.84;9.900323;13.98962;-7.010522;
-0.95791304;3.1836007;-3.4278703;-34.14;-36.18;-8.16;8.684069;15.828666;-10.589853;
-1.2370784;2.7388906;-3.3399057;-26.939999;-40.86;-16.68;4.5274353;13.726257;-8.983344;
-1.2670109;1.6552157;-3.7180314;-18.359999;-42.36;-21.24;2.3511062;13.532328;-8.413524;
-1.2102004;0.5135086;-3.8817432;-10.26;-43.92;-24.119999;0.24420857;12.986449;-9.194034;
-0.9957867;-0.6874525;-2.5647178;2.6399999;-43.739998;-28.5;-0.5770026;8.77026;-5.576395;
-0.45944703;-1.5090662;-3.356399;6.3599997;-43.32;-31.26;-0.2705448;6.914754;-4.7022123;
0.4873941;-2.1523073;-3.6575556;11.34;-40.92;-31.98;-1.6783354;4.1922474;-1.5849615;
1.4189636;-2.9024498;-3.7449093;15.9;-40.02;-33.48;-2.1883004;3.5913026;-0.21787235;
2.0915263;-3.4308484;-3.4675765;20.16;-38.16;-33.48;-3.0502129;5.2651486;-1.6998832;
2.0505984;-3.6562576;-3.3686163;22.26;-38.28;-33.059998;-0.557849;5.7272296;-0.24899697;
2.2100341;-3.5133152;-3.4620788;23.939999;-37.079998;-34.5;-1.055843;4.855441;1.0773908;
2.092137;-3.5530214;-2.5195136;23.46;-36.0;-34.8;-1.3551182;4.3526587;1.42455;
2.1452823;-3.1351895;-2.2715025;21.84;-37.2;-35.04;0.9504981;3.857059;2.9783869;
1.7659351;-2.8004353;-1.3356569;19.02;-36.66;-34.559998;-2.1523874;2.44448;3.4380736;
2.409787;-2.6422212;-0.9966267;16.619999;-36.719997;-32.88;1.067814;3.4165258;3.2609026;
2.3389266;-2.6318367;-1.0186177;15.48;-38.34;-29.76;0.18435353;2.4899697;3.095703;
2.6577983;-2.1755202;-0.160963;14.58;-39.96;-26.699999;3.083732;4.1371803;2.753332;
2.8746555;-1.9366719;-0.083383106;13.5;-41.1;-22.56;4.474763;4.345476;2.96881;
2.464154;-1.4889077;0.3753767;12.059999;-43.2;-16.56;4.5561657;5.918766;1.4413095;
3.021874;-0.79007787;0.33505958;10.559999;-45.12;-11.94;6.488586;5.882853;1.8483237;
3.2411747;-0.50358206;-0.10170906;10.2;-45.0;-5.52;4.525041;7.628226;-0.49081135;
2.9387963;-0.14072809;0.45356745;9.84;-44.76;1.5;3.964798;9.112631;-1.8291701;
3.0414217;0.20868684;1.3973542;10.2;-44.28;9.96;5.291485;11.90427;-5.9498906;
2.5515077;0.62651867;1.3411547;6.0;-41.879997;15.599999;8.858846;10.8747635;-5.6554036;
2.5753314;0.78839797;0.91904676;2.28;-39.6;21.359999;7.628226;10.814908;-5.016152;
2.5038602;1.1824061;0.51893;-0.78;-35.579998;27.3;6.620267;12.287342;-7.3624697;
2.2161427;1.8195385;0.73761976;-3.8999999;-32.219997;31.859999;7.5899186;12.016798;-7.927501;
2.0646482;2.143908;0.7870999;-9.54;-26.46;36.3;8.210017;13.094189;-8.052;
1.2974014;2.2288182;0.46639562;-13.74;-22.56;37.14;6.763919;11.633725;-9.684845;
1.0964267;2.5055401;0.3277292;-20.16;-19.98;37.86;7.3097973;10.834062;-8.260295;
0.5753587;1.9979111;0.8872818;-23.939999;-18.72;35.52;4.7764325;9.067142;-8.698434;
-0.022067508;2.0333414;1.9110919;-28.439999;-17.34;33.78;8.612243;8.497321;-8.08073;
0.7366271;1.7883843;0.9465357;-33.899998;-13.98;30.359999;6.4454904;5.3537345;-5.624279;
2.5759423;2.9160416;0.59040123;-37.92;-10.5;28.38;8.5476;8.772655;-3.0238767;
2.89909;0.26122126;-4.7638326;-42.42;-7.08;25.26;4.2066126;6.7136407;-8.947431;
1.0530553;0.5471062;-1.4114041;-40.68;-10.139999;25.08;1.115698;4.3981485;-7.18051;
