gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.38858664;-0.1175152;0.6826419;11.639999;8.04;-43.8;-6.428731;0.023942016;6.3090205;
-0.54985505;-0.23602305;0.96974856;11.759999;7.98;-44.46;-7.0631943;-0.830788;2.719813;
-2.707431;-0.05215262;1.1572843;11.5199995;7.56;-44.64;-10.326491;-1.7190368;2.360683;
-2.6591728;-0.31665727;3.4498615;11.46;12.719999;-42.78;-21.474194;-5.9738326;8.128614;
-2.3067036;-0.06803512;6.0332108;14.16;14.88;-42.059998;-15.543756;-4.3861775;14.090177;
-1.0843621;1.9954677;5.881716;20.279999;13.32;-39.0;-13.0894;-0.521936;20.94268;
0.51305044;1.6900351;6.447988;26.16;9.48;-36.3;-8.607454;2.0590134;23.059155;
1.7671568;1.413924;5.3661456;31.439999;-3.36;-33.48;-2.882619;3.7325604;19.384056;
2.4036784;0.23678663;5.0326133;32.1;-13.98;-30.599998;-2.408567;2.255338;21.031267;
3.0927343;-0.8627708;4.2018366;27.539999;-26.58;-27.599998;0.8810662;2.7030537;16.601994;
2.2222514;-1.587257;3.3234124;20.82;-34.559998;-25.14;1.0965444;2.8682537;13.130101;
1.8899407;-3.2445345;3.2947018;12.48;-41.28;-22.5;5.758354;2.2242134;11.375152;
1.8807777;-2.9146671;1.1743884;2.82;-46.02;-20.699999;5.526117;1.982399;10.051158;
1.3114513;-3.691077;0.49388456;-2.8799999;-48.0;-15.839999;5.765537;1.982399;6.2012815;
0.6834819;-3.4626133;-0.52198434;-6.2999997;-50.46;-13.2;5.3800707;1.8602947;5.126285;
0.19356793;-3.4174092;-1.1334605;-6.6;-51.48;-10.0199995;2.219425;1.6184803;5.296273;
0.96447986;-3.513926;-1.0241156;-5.22;-52.8;-9.54;-0.5626374;1.9656396;4.465186;
0.4556291;-3.472387;-0.73884153;-1.56;-54.899998;-5.7599998;-1.2880806;2.789245;1.400608;
0.1727985;-3.4882696;-0.48166725;0.35999998;-54.0;-3.36;-1.6352397;3.4620156;0.1364695;
-0.14790575;-3.1822262;-0.39858958;2.1;-54.059998;-3.78;-2.633622;4.10845;-0.34955344;
-0.45883617;-2.9403236;-0.13591751;3.36;-53.039997;-4.68;-2.030283;4.6830587;-0.4429273;
-0.681802;-2.557311;-0.20799962;3.54;-51.239998;-6.0;-1.9321208;4.570531;-0.011971008;
-0.59261566;-2.865798;-0.0290161;3.24;-50.76;-8.22;-2.6431987;4.584896;0.15322891;
-0.6622543;-2.6709318;-0.0021380284;1.92;-49.44;-9.12;-1.2761095;5.2028995;0.088585466;
-0.82291186;-3.1620677;-0.36377025;1.1999999;-48.84;-11.88;-2.5378537;4.8147397;0.8858546;
-1.2309698;-1.9549979;-1.0662653;-1.5;-48.3;-13.2;-2.1140802;5.195717;0.10534488;
-1.8583285;-1.3050373;-1.4162911;-0.17999999;-46.14;-16.8;-6.2826843;4.9898157;3.016694;
-1.7752508;-2.0032563;-0.42241332;1.14;-45.48;-20.82;-8.664915;5.432743;3.4476504;
-2.462474;-1.1449906;-0.54336464;1.14;-43.68;-24.66;-7.295432;5.3250036;6.742371;
-2.52295;-0.93240947;-0.5726862;0.59999996;-39.96;-28.98;-8.202834;4.8123455;6.194099;
-3.1466432;-0.5200754;-0.3472769;0.17999999;-36.899998;-33.84;-8.703222;4.8626237;7.6138606;
-2.9902618;-0.23113614;-0.05467244;-1.0799999;-30.42;-39.12;-8.983344;5.052065;11.645697;
-2.9493337;0.38583776;-0.01863139;-1.38;-23.939999;-42.66;-8.684069;5.806238;9.79019;
-3.5174384;0.6857726;0.37720928;0.06;-18.6;-45.78;-8.506898;5.054459;13.810055;
-2.4826326;0.69676816;0.732122;1.02;-10.62;-48.36;-6.5675945;4.9251723;15.620371;
-2.2541692;0.8684213;1.1175779;3.0;-3.3;-48.18;-4.572925;4.721366;16.096817;
-1.8644371;1.5373187;0.7266242;5.04;0.96;-47.219997;-5.198111;2.837129;12.277765;
-1.5840499;0.56665385;2.0912971;7.9199996;5.22;-46.32;-2.6384103;2.7844565;14.224252;
-0.90660036;1.0125855;0.75777835;10.0199995;7.62;-43.92;-0.6560113;3.289633;10.989685;
-1.3812426;1.5611424;0.34055737;12.9;9.0;-43.68;-5.7008934;2.4013844;8.717587;
-1.2150873;-1.0338131;3.1597004;15.78;12.66;-41.1;-2.8419175;2.2816741;15.105618;
0.7060839;-0.93729633;1.7082846;16.14;12.42;-40.68;0.80924016;2.7222073;9.419088;
-0.10942124;0.6515641;-0.42546764;15.179999;9.12;-42.18;-4.3598413;1.1707647;7.6473794;
0.2851977;0.1286635;0.03756821;16.08;9.78;-42.719997;-5.734412;0.37588966;8.425495;
-0.063606344;-0.12118039;0.4792238;17.22;9.78;-42.059998;-4.807557;0.46447513;7.403171;
-0.13324498;-0.2897792;0.5549711;16.68;9.84;-42.3;-3.8115692;1.0726024;9.383176;
-0.18700112;-0.13584116;0.38453966;18.18;7.7999997;-42.84;-4.3047748;1.8267759;8.233959;
-0.0538325;0.041309763;0.109650314;19.32;6.3599997;-41.879997;-4.1371803;1.8938135;9.004891;
-0.12347114;0.10239629;-0.03634648;18.0;7.3199997;-41.879997;-4.898836;1.6496049;7.5635824;
-0.12530373;-0.06253733;0.23304509;19.32;7.62;-41.46;-4.9132013;1.7310078;8.67928;
