gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.14187345;0.32291865;0.24213171;-17.76;-38.579998;-21.6;-1.2354081;9.079112;4.1252093;
-0.21059579;0.6033058;0.41256312;-18.359999;-38.04;-21.96;-2.5450363;9.462184;3.6104562;
0.111941054;1.1494193;0.07841983;-18.06;-37.32;-22.74;-3.157952;10.386346;4.7429137;
0.14004086;1.5648077;0.05215262;-16.56;-36.899998;-23.939999;-4.5322237;11.253047;5.243601;
0.66782844;2.1109211;-0.4414265;-16.26;-36.719997;-25.08;-4.1922474;11.537957;6.3497224;
1.2304354;2.0993147;-0.24717134;-11.88;-38.34;-25.92;-4.4963107;11.425429;5.3657055;
1.0257955;1.8818468;-0.18608482;-9.96;-39.6;-23.88;-2.8203697;11.090241;4.6016555;
1.0264063;2.1200843;-0.7761806;-7.56;-40.32;-24.24;-4.209007;8.497321;0.19393034;
0.6806566;-0.081474155;-0.051083606;-4.14;-41.94;-21.48;-3.2848446;8.260295;-1.2258313;
0.0954477;-0.23419046;0.017944166;-3.24;-42.84;-21.84;-1.4867992;7.534852;-0.89303726;
-0.9418015;-1.4449254;0.55428386;-3.9599998;-42.42;-21.06;1.8842367;5.0448823;-2.5617957;
0.42287147;-3.4339025;2.7625618;-6.06;-42.239998;-21.48;5.7032876;2.932897;1.7238252;
1.6476563;-2.4907267;4.057596;-16.26;-42.059998;-19.859999;14.619295;5.722441;3.9504328;
-1.2282972;-1.5897005;1.3398565;-24.72;-38.219997;-13.799999;14.233829;12.955325;-5.4997807;
-3.147025;0.34307718;-0.6491207;-27.119999;-36.48;-13.799999;4.9419317;8.049605;11.083059;
1.9304869;0.10728321;0.36247218;-25.56;-36.48;-18.96;5.5237226;6.7112465;1.8291701;
0.5224425;1.015029;-0.42126796;-27.42;-37.5;-16.199999;6.1270614;8.5739355;-1.6041151;
0.6733262;1.0070877;-0.67233354;-25.619999;-37.86;-15.54;7.501333;7.7096286;0.04309563;
0.31719178;1.4163674;-0.99731386;-24.66;-38.219997;-16.92;7.278672;6.8357453;1.541866;
-0.5728389;1.5483143;-1.4383585;-21.06;-39.899998;-17.52;8.808567;7.343316;0.23463176;
-0.4457789;1.5623642;-0.8641452;-18.3;-39.96;-19.32;6.6729393;7.305009;4.0342298;
-0.23197608;1.1243738;-0.92767525;-14.759999;-40.5;-22.56;3.9671922;7.934684;0.581791;
-0.63209283;0.9899835;-0.5049565;-11.639999;-40.86;-23.76;-0.04070143;7.618649;3.1124623;
0.67088276;-0.6837873;-0.21418463;-9.78;-40.079998;-23.519999;-1.3599066;8.849269;1.0582372;
-0.10369437;-1.5078444;-0.093844175;-10.44;-39.84;-22.859999;-3.655946;9.308955;-2.5115175;
-2.5905268;-2.171855;-0.7212028;-11.04;-40.86;-22.38;-0.770933;10.704775;2.1308396;
-1.6858354;-1.6623935;-0.974101;-11.82;-39.18;-24.3;-3.9504328;9.189245;9.83568;
-0.7890852;-1.5774832;-1.0076985;-13.08;-37.92;-26.82;-5.75596;9.182063;7.3337393;
-0.05665775;-0.5903249;-0.2673299;-12.54;-37.739998;-28.019999;-7.070377;9.306561;9.241918;
1.336115;-1.1590405;0.28733575;-13.5;-37.739998;-26.939999;-5.6314616;11.0495405;3.2369606;
0.30680707;0.28443414;-0.05719226;-14.5199995;-38.64;-23.16;-2.2290018;10.482115;3.5889084;
0.6543894;0.09628764;-0.21051943;-13.44;-39.12;-23.34;-1.8866309;8.834904;2.4756045;
0.43508878;-0.050320026;0.19753855;-12.84;-39.84;-21.119999;-0.11731588;8.674492;1.6663644;
0.019089539;-0.2512947;0.064369924;-13.139999;-40.079998;-20.279999;-0.06703765;8.609849;1.4317327;
0.004428773;-0.23052527;0.17249307;-13.74;-40.26;-20.4;0.35434186;9.007286;3.2345665;
-0.12751812;-0.45043677;0.2653446;-15.12;-40.559998;-19.859999;0.0047884034;9.273043;2.7940333;
-0.19776763;-0.37896553;0.28855747;-14.34;-40.14;-19.98;0.47644615;9.371204;3.9935284;
-0.0022907446;-0.28367054;0.096134916;-16.199999;-39.6;-20.22;0.51954174;9.478944;3.5482068;
-0.084146686;-0.20242546;0.02405282;-16.02;-40.079998;-20.58;0.29927522;9.364022;3.1316159;
-0.03283401;-0.077198096;-0.004046982;-15.839999;-40.079998;-19.98;0.4165911;9.277831;3.0502129;
-0.26190847;-0.22686008;-0.18486309;-18.3;-39.36;-19.14;0.5650316;9.268254;3.4596214;
-0.32055154;-0.11018482;0.06742425;-17.4;-39.48;-19.92;0.047884032;8.858846;4.249708;
0.019700404;-0.14317155;0.11446088;-18.9;-38.579998;-19.74;0.60094464;9.289802;3.9504328;
-0.13729197;0.07857254;0.13767375;-17.94;-37.92;-21.359999;0.6751649;9.249101;3.7924154;
-0.0096211275;-0.05459608;0.08575021;-18.6;-38.28;-20.82;1.0247183;9.244312;4.036624;
-0.094531395;0.15187638;0.057650406;-18.72;-38.34;-20.58;0.62728083;8.968979;3.8283286;
0.033750303;0.05963572;0.084528476;-18.6;-37.32;-21.96;0.7015011;8.808567;3.9145198;
-0.051159963;0.03397938;0.13217597;-18.6;-37.8;-21.24;1.103727;9.17488;3.6056678;
-0.04444045;-0.006337727;0.10529789;-19.02;-37.68;-21.0;1.0773908;9.20361;4.0773253;
-0.023060163;0.005879578;0.13706289;-19.32;-37.5;-22.02;0.85473;9.129391;3.5984852;
