gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.23564127;0.38217255;0.16821702;-18.66;-41.46;-17.279999;0.79248077;9.787796;2.5091233;
0.078343466;-0.06009387;0.231747;-19.14;-40.44;-18.359999;-0.031124622;9.517251;2.7269957;
-0.107359566;0.26305383;0.2671772;-18.779999;-40.379997;-17.76;-0.30406362;9.653721;2.5785553;
-0.36270124;0.8830821;0.015500706;-18.9;-39.899998;-18.42;-1.7956513;10.427048;3.550601;
-0.13057245;1.3381767;-0.04558582;-19.32;-40.02;-19.98;-4.333505;11.233893;5.674557;
1.2279918;1.5733598;-0.1512655;-18.359999;-39.96;-21.66;-4.9251723;13.929765;5.815815;
0.60246587;2.0101285;-0.96432716;-15.36;-40.68;-21.06;-4.7285485;14.159608;3.5529952;
0.5328272;2.048002;-0.53672147;-12.42;-42.0;-20.939999;-5.597943;10.12059;3.9576154;
1.7447839;1.0058659;-0.60636014;-10.08;-43.02;-21.18;-4.0054994;8.233959;-0.11492168;
-0.071318515;0.3449098;0.12789991;-8.34;-44.52;-18.66;-1.6759412;8.518868;-1.1180922;
0.21212296;-0.76930845;-0.07918341;-7.44;-45.059998;-18.42;0.18914193;7.0919247;-0.5410896;
0.09728029;-1.0387;0.5090798;-6.7799997;-44.879997;-17.88;2.408567;7.642591;2.8060043;
3.3782375;-2.1461987;1.4046082;-10.92;-45.239998;-16.32;3.6942532;5.56203;-1.8579005;
0.027030786;-1.9617174;3.1944435;-14.4;-46.02;-8.82;12.68478;7.0440407;-6.7256117;
-2.1745276;-1.4113278;1.8474855;-20.22;-44.16;-7.74;11.286566;5.96665;5.674557;
-1.4750868;-0.51946455;0.802906;-25.019999;-41.82;-9.24;7.5899186;12.119748;7.8341274;
1.2988522;0.5587126;-0.09628764;-25.26;-41.76;-12.0;4.8243165;7.412748;2.9400797;
0.86391616;0.5593235;-0.08712465;-25.8;-41.879997;-10.86;4.486734;7.5276694;-5.3561287;
0.26465738;0.6857726;-0.31742084;-25.74;-41.7;-9.66;5.3633113;8.289025;0.7302315;
1.0942124;0.76946115;-1.1200978;-24.9;-42.18;-9.84;7.448661;7.934684;-2.1930888;
-0.63514715;1.3180181;-1.3522266;-22.32;-43.86;-8.34;7.621043;7.889194;-2.5881321;
-1.3089315;1.3021356;-1.3736069;-18.359999;-45.3;-11.58;6.502951;6.526893;0.62009823;
-0.8361218;1.5018885;-0.6026949;-15.839999;-45.36;-14.7;5.9834094;7.838916;4.390966;
0.52366424;0.49335003;-0.25755605;-13.679999;-45.899998;-17.94;0.7517793;8.253113;0.92655605;
0.26648995;0.0846812;-0.41393757;-13.74;-45.6;-16.68;0.06703765;10.1660795;-0.58657944;
0.72524977;-0.9733374;0.14317155;-12.24;-45.239998;-15.9;-2.918532;10.168474;-0.17956513;
-0.9540188;-0.71188706;0.1596649;-13.38;-45.48;-14.4;-3.739743;11.018415;-0.56982;
-0.95096445;-0.79007787;-0.03520111;-13.32;-44.52;-15.96;-1.6591818;11.480496;2.4516625;
0.31230485;-1.1682035;0.18165605;-14.04;-43.8;-17.88;-3.0095115;9.931448;4.8147397;
0.5902485;-2.6764297;-0.18425223;-14.7;-44.16;-14.94;-2.585738;11.451766;0.8379706;
-1.1036807;-0.97517;0.011224649;-16.14;-44.16;-11.759999;-3.4165258;11.257835;0.6607997;
-0.45982882;-0.53351444;-0.26305383;-15.599999;-44.219997;-13.44;-3.5913026;9.239524;5.8373632;
0.59391373;-0.71433055;-0.18791743;-15.059999;-45.18;-12.42;-2.147599;9.883564;-0.7206547;
-0.4708244;-0.14500414;-0.26183212;-14.7;-44.64;-12.0;-2.540248;8.521263;0.29688102;
-0.15683965;-0.4638758;0.1297325;-14.94;-44.64;-11.34;-1.055843;9.356839;2.4037786;
-0.2967278;0.08590292;0.0735329;-15.299999;-44.7;-12.84;0.48841715;10.786178;2.9041667;
-0.09392053;-0.015500706;-0.011377365;-16.26;-44.76;-13.5;-0.19153613;9.998486;1.5442601;
0.07162395;-0.2018146;0.10713049;-15.66;-44.879997;-13.62;0.24660277;9.842862;1.0893618;
-0.24480425;-0.084528476;0.122402124;-16.68;-44.1;-13.2;0.08379706;9.730335;1.4149733;
-0.0035124752;-0.2671772;0.22686008;-16.08;-44.16;-13.92;0.062249243;9.490914;2.1092918;
-0.04810564;-0.14989106;0.1437824;-16.56;-44.46;-12.66;0.49320555;9.771036;1.6783354;
0.04046982;-0.083306745;0.15233453;-18.3;-43.92;-12.599999;0.2705448;9.498097;2.3056161;
0.09605856;-0.1614975;0.06375906;-17.94;-42.96;-12.96;0.93613285;9.845257;1.5131354;
-0.15012014;0.0016035213;0.053985216;-18.3;-44.52;-13.559999;0.35194764;9.476549;2.0159178;
0.018478673;-0.08819367;0.13461943;-17.699999;-43.86;-12.599999;0.8403648;9.830892;2.0805612;
0.12110403;-0.043600507;0.06253733;-18.42;-42.66;-12.3;0.7302315;9.615414;2.0685902;
0.013591751;0.082237735;0.08391761;-18.18;-43.2;-12.96;0.94092125;9.692028;1.3072342;
-0.023060163;-0.09002627;-0.030925052;-19.32;-42.899998;-12.36;1.0821792;9.636961;1.7286136;
-0.10308351;-0.028328875;-0.047418416;-18.48;-43.559998;-11.7;0.8834604;9.545981;1.9440918;
-0.00290161;-0.060704734;0.011835515;-17.76;-43.68;-12.36;0.8283938;9.543588;1.7238252;
