gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.44150287;0.66378146;0.08819367;25.019999;-26.939999;-36.42;-4.6782703;9.0839;1.0079589;
-0.55756724;0.85681486;0.72838044;24.9;-26.22;-35.76;-5.933131;9.615414;2.2984335;
-0.6571383;1.1854603;1.1407145;25.5;-26.519999;-35.52;-4.879383;10.230723;1.7022774;
-0.35414913;1.6790395;1.0515282;27.119999;-25.439999;-34.98;-4.3358994;11.12376;3.0430303;
-0.22159137;1.4304173;1.2256248;27.48;-26.4;-33.239998;-3.3638535;10.510845;0.581791;
-0.14889841;0.52816933;1.0863475;27.779999;-26.88;-33.239998;-3.0238767;10.798149;3.0214825;
0.13820826;0.7523569;0.72654784;27.539999;-28.56;-30.9;-2.1571758;10.620978;3.3614593;
0.5163339;0.17753272;0.15661058;28.019999;-30.3;-30.9;-1.8076223;9.847651;3.1986535;
0.6623306;0.8317694;-0.71631587;27.66;-30.3;-29.58;-1.9632454;9.033623;3.3662477;
0.7338019;-1.1950815;-0.13965906;29.34;-31.619999;-27.779999;-1.8339585;7.072771;2.4540567;
0.22250767;-0.5109124;-0.9551642;30.0;-32.1;-27.96;-2.0470424;7.290643;3.6104562;
0.07040222;-2.1681898;0.5964336;29.939999;-31.14;-27.9;-4.522647;4.5872903;5.150227;
-0.7829765;-2.5866325;0.8633817;27.0;-32.28;-31.26;-0.2657564;4.5394063;8.257901;
-1.9124664;-2.0148625;-0.30764702;22.26;-31.439999;-34.079998;-1.2306197;3.6152446;9.103054;
-0.9363037;-1.3160328;-0.910571;19.32;-28.26;-38.52;-3.2321723;5.492598;14.868591;
0.053297993;0.18486309;-1.9478202;18.24;-26.279999;-41.04;-3.347094;6.7327943;7.9322896;
0.09483683;0.17753272;-0.40416372;20.58;-24.9;-40.68;-5.672163;5.159804;7.4534492;
0.18952094;-0.12179126;1.1046734;20.58;-24.779999;-41.1;-2.8682537;5.626673;6.5077395;
0.29458976;0.4994587;1.2799917;19.8;-25.199999;-40.86;-1.2066777;6.5819597;9.557953;
0.7124216;0.84093237;1.079017;18.359999;-26.699999;-39.239998;0.6799533;5.693711;9.601048;
0.9787588;1.3558918;0.16027577;19.92;-29.58;-38.1;-0.7565677;5.004181;9.330503;
0.6207918;0.98326397;0.7558694;21.06;-30.779999;-35.7;-4.9754505;4.9634795;5.648221;
0.4992296;0.9930378;0.77908224;20.699999;-32.88;-34.079998;-0.50278234;7.328951;7.000945;
0.03436117;0.89041245;0.20853412;22.02;-33.54;-31.199999;-2.2337902;7.958626;4.378995;
0.2359467;0.5452736;0.18226692;22.02;-34.5;-30.599998;-2.0853498;8.463802;4.0462008;
-0.28023443;-0.19081903;0.41500658;22.32;-33.96;-30.24;-1.8962077;9.179668;1.328782;
0.001985312;-0.17676914;-0.0071013086;21.48;-34.739998;-30.599998;-1.5897499;9.577106;1.8818425;
-0.2771801;-0.25312728;-0.3748422;20.46;-34.2;-30.48;-1.1252748;10.620978;0.32561144;
0.22434026;-0.51702106;-1.3937654;21.66;-33.6;-31.859999;-1.4030021;10.877157;1.7022774;
0.012980887;-1.1266646;-0.6485098;22.02;-31.679998;-32.64;-2.3056161;11.159674;0.2801216;
0.302531;-1.2060771;-1.0522918;22.5;-31.08;-33.239998;-0.62728083;11.837233;1.5682021;
0.73991054;0.28382325;-1.7279087;21.72;-31.14;-33.48;-3.2800562;10.247482;-1.0055647;
0.17486018;-0.72960216;-0.019318614;23.58;-29.82;-32.399998;-3.6631286;9.514857;-1.1252748;
-0.013286319;-0.29772046;0.10102184;23.22;-30.06;-32.82;-1.9512744;10.419865;2.6072857;
0.1956296;0.07918341;-0.2551126;22.74;-31.32;-32.82;-2.528277;9.675268;2.72939;
0.056352317;-0.06253733;0.10163271;22.98;-30.42;-33.48;-3.7469256;8.8205385;3.6056678;
0.030695979;-0.08391761;0.12789991;22.8;-31.199999;-32.82;-3.5745432;8.432677;2.932897;
-0.07620544;-0.2653446;0.26656634;22.38;-30.9;-33.18;-3.0238767;8.6218195;3.691859;
0.03436117;-0.27023152;0.13400856;21.9;-31.32;-33.18;-2.717419;8.631396;2.8491;
0.030085113;0.042531494;-0.088346384;21.539999;-30.48;-33.96;-2.861071;8.90673;3.3925838;
0.016035212;-0.19081903;-0.019318614;22.32;-31.859999;-33.48;-2.6024973;8.978556;2.8538885;
-0.032223143;0.06574437;-0.1249983;20.939999;-31.14;-33.239998;-3.5529952;8.50211;4.1946416;
-0.0016798794;-0.10957395;0.07841983;22.02;-31.26;-33.239998;-2.8083985;8.286632;3.0789435;
-0.24419338;-0.14683673;0.045433104;21.3;-32.04;-34.26;-2.89459;8.528446;3.7301662;
-0.08536842;-0.091248;-0.088346384;20.4;-31.38;-33.78;-2.6288335;8.65055;3.3734303;
-0.1525636;-0.15233453;-0.05352707;20.46;-30.779999;-34.32;-3.2728736;8.552388;4.357447;
-0.10797043;-0.21219932;0.025274549;20.34;-30.779999;-35.1;-2.8514943;8.442254;3.371036;
-0.11102476;-0.088804536;-0.10056369;21.18;-31.859999;-34.5;-2.6384103;8.55957;4.220978;
-0.072540246;-0.122402124;-0.12927435;21.84;-30.66;-34.92;-2.8898015;8.2555065;3.7948096;
-0.23380867;0.0028252518;-0.1811979;21.3;-31.26;-35.28;-3.0933087;8.391976;3.739743;
