gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.056046885;-0.039935317;0.050320026;17.22;17.58;-42.239998;-2.7222073;0.7350199;9.466972;
-0.20631973;-0.1297325;0.41683918;17.58;17.88;-41.1;-3.5242648;1.8770541;9.838074;
-0.12018774;0.0028252518;0.7204392;18.0;17.88;-41.76;-4.086902;3.4332852;10.379164;
-0.076816306;-0.36735907;1.2329551;18.539999;16.56;-41.94;-3.691859;4.3358994;10.345645;
1.5271631E-4;-0.37530035;1.482799;18.6;16.08;-42.6;-3.1387985;5.3417635;11.162067;
0.20295998;-0.32582024;1.7338647;20.939999;14.88;-41.52;-1.958457;5.885247;10.197205;
0.11499538;-0.85360783;1.265331;20.16;13.139999;-42.6;-1.328782;6.3497224;10.364799;
0.26465738;-0.9629527;0.9696722;18.96;11.34;-43.739998;-2.0590134;5.576395;9.914688;
0.57925296;0.16775887;0.29772046;19.08;10.559999;-44.879997;1.7405846;4.1706996;7.5300636;
0.22861631;0.04802928;-0.6155231;19.02;9.059999;-45.36;-3.1627405;0.94570965;9.936236;
0.6598872;0.4554764;-0.50068045;19.38;7.08;-45.6;2.492364;-1.8028339;6.938696;
0.0795652;-0.35330918;-1.6472745;20.58;7.2599998;-45.12;0.7158663;-4.8219223;7.9418664;
-0.6785186;0.029703323;-1.517771;19.56;7.9199996;-46.14;-2.1284454;-8.8684225;7.154174;
-0.7884743;-0.16577356;-2.003409;19.38;10.2;-45.539997;-0.6392518;-5.7751136;12.976872;
0.22434026;0.17386752;-1.4805083;17.039999;13.2;-45.18;-2.5378537;-3.8642416;11.753435;
0.041691553;0.26488644;-0.9844857;17.279999;13.5;-45.239998;-0.8355764;-2.8874073;7.412748;
-0.8391761;-0.49441907;-0.1530981;16.619999;14.759999;-46.02;-3.9863458;-0.7781156;10.534787;
-0.009010263;0.15431984;0.2946661;14.7;15.48;-44.76;0.49081135;-0.4261679;11.006445;
0.37094793;0.12988523;0.6819547;16.26;15.78;-44.46;0.08619126;-1.0103531;11.564294;
0.27565295;-0.19081903;0.83589274;16.08;15.0;-44.82;-1.5921441;-2.7700913;10.733505;
0.72402805;0.5971971;0.9867765;16.5;12.96;-45.96;-2.0326772;-5.5189342;12.636896;
0.8162687;1.132926;1.2195162;18.24;10.44;-45.36;-1.1420342;-6.5891423;8.097489;
-0.047494773;0.05719226;1.2500594;21.18;8.82;-44.579998;-0.8858546;-3.6272156;9.44303;
-0.27229318;0.46708283;0.8462774;22.8;6.8399997;-45.84;-2.5306711;-2.3439236;6.799832;
-0.5911648;0.85559314;0.35697436;24.0;7.08;-44.1;-1.5682021;1.7238252;9.500492;
-0.49770245;-0.317879;0.36063957;25.14;7.62;-42.96;-1.2785037;2.930503;9.251494;
-0.2405282;-0.42478043;-0.7053203;23.76;8.639999;-43.14;-2.1811178;3.8498764;9.833285;
0.36117408;-0.6892851;-1.2306644;22.56;9.719999;-43.5;-3.5314474;4.0438066;9.1389675;
-0.14278975;-0.17249307;-1.4603497;21.66;9.96;-43.62;-4.5418005;4.5322237;8.442254;
-0.13607024;0.39683333;-1.3314571;19.5;11.16;-44.64;-4.1132383;5.918766;8.700829;
-0.07315111;-0.055206947;-0.9686032;18.359999;12.3;-43.62;-2.123657;7.9897504;10.881946;
0.6415612;0.6014732;-0.6906595;18.42;12.9;-43.26;-1.0295067;7.144597;10.429441;
0.1797471;0.085292056;-0.2813798;19.26;12.48;-44.46;-1.5586253;5.052065;8.731953;
0.18707748;0.19219348;0.0032834008;19.14;12.96;-42.78;-2.6384103;3.5051112;8.710405;
0.030085113;-0.45837802;0.014278975;19.08;11.94;-43.8;-3.5577838;1.5705963;8.626608;
-0.14340061;-0.11140655;0.2512947;18.6;11.94;-43.559998;-3.86903;1.1755531;10.350433;
-0.13118331;0.035811976;0.28916833;16.859999;12.84;-44.46;-2.633622;1.0462662;9.490914;
-0.057268616;0.04192063;0.34720054;17.88;13.86;-42.54;-2.1643584;0.7517793;9.4143;
-0.18005253;-0.07964156;0.17860173;17.1;13.86;-43.8;-1.5251064;1.043872;9.14615;
-0.12935072;-0.08391761;0.083306745;17.4;12.96;-43.739998;-2.3223755;0.51714754;9.316138;
-0.21975878;0.0687987;0.020387627;16.8;13.2;-44.46;-2.468422;0.8762778;9.651326;
-0.1928807;-0.12179126;0.011835515;17.16;13.5;-42.42;-2.27928;0.6464345;9.557953;
-0.0926988;-0.09552405;0.019776762;17.46;13.86;-42.719997;-2.396596;0.8451532;10.19481;
0.049021937;-0.10163271;0.023441954;18.06;14.219999;-42.899998;-2.1811178;0.5291186;9.447819;
0.052687127;-0.24824037;0.11018482;16.38;14.219999;-43.379997;-1.8842367;0.50517654;9.1150255;
-0.19165897;-0.15783231;-0.11522446;15.96;14.34;-43.86;-1.9249382;0.545878;9.150938;
-0.2087632;-0.0313832;-0.07307476;17.1;13.92;-43.26;-2.0757728;0.79966336;9.814132;
-0.1611157;0.0028252518;-0.10606148;16.38;14.639999;-43.559998;-1.6472107;0.5506664;9.435848;
-0.0016798794;-0.04054618;-0.021762075;15.9;15.36;-43.14;-2.1188686;0.545878;10.106225;
0.08689558;0.10789407;-0.11827879;15.839999;16.08;-43.559998;-2.1452048;0.6368576;10.154109;
