gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.060628377;0.3748422;0.32520938;-18.6;-38.1;-19.439999;0.033518825;8.810962;3.6583402;
0.038026363;0.5226716;0.27695104;-19.14;-37.68;-20.22;0.15562311;9.483732;4.2281604;
0.006872234;0.73158747;0.27267498;-20.52;-37.86;-20.4;-0.7182605;10.144532;3.5338416;
-0.33460143;1.0425179;-0.093844175;-20.699999;-36.54;-20.82;-3.13401;10.5323925;4.9251723;
0.28115073;1.3711634;-0.23373231;-18.96;-36.96;-23.699999;-4.8338933;11.164462;6.6370263;
1.267698;2.0608304;-0.3742313;-17.279999;-37.68;-23.519999;-3.5194764;12.033557;5.478233;
0.7484626;2.288683;-0.55260396;-14.58;-39.12;-23.699999;-4.8698063;11.248259;3.6152446;
0.29764408;1.6393332;0.06742425;-10.86;-39.78;-23.64;-3.833117;10.472537;3.2632968;
0.41431937;1.6692656;-0.25633433;-8.7;-40.079998;-24.359999;-2.2290018;10.683228;0.545878;
0.45952338;0.24228443;-0.22456934;-6.8399997;-40.86;-24.6;-3.6966474;7.237971;1.3599066;
0.32818735;-0.7760279;0.2580142;-5.7599998;-41.76;-23.64;0.33758244;6.787861;-1.9249382;
0.63300914;-1.8658116;0.6318637;-6.6;-42.36;-22.74;3.6822822;5.6314616;0.33758244;
1.6146696;-2.644054;2.1614704;-10.0199995;-42.66;-21.24;5.3561287;3.7253778;0.51235914;
0.7002043;-1.6422348;2.7631726;-16.8;-42.0;-16.08;17.526155;8.911518;0.8738836;
-0.122020334;-1.7332537;1.9171243;-22.92;-39.719997;-12.9;9.105449;7.975385;0.9552865;
-1.7053831;-0.55611646;0.23602305;-27.48;-37.2;-11.88;9.280225;11.554717;3.2680852;
-0.22159137;0.26794076;0.08636107;-27.42;-36.78;-14.4;4.1706996;7.9682026;6.0552354;
1.621389;0.53672147;-0.45975244;-28.08;-36.96;-15.12;6.318598;8.739136;0.02873042;
0.84497935;0.8989646;-0.67783135;-26.699999;-38.219997;-12.96;6.1150904;7.735965;-1.8315643;
0.46074513;1.3265703;-1.3125204;-25.5;-39.48;-12.48;7.913136;7.1469913;-1.3215994;
-0.2527455;1.105437;-0.98143137;-22.859999;-40.44;-13.2;8.973767;7.678504;-0.46926352;
-1.2643384;2.1292472;-1.3577243;-19.68;-42.18;-15.78;7.237971;6.5556235;2.3439236;
-0.30650163;1.0901654;-0.2111303;-15.42;-41.879997;-19.8;5.171775;7.7335706;3.1555579;
1.0435106;0.82199556;0.29405525;-14.34;-41.64;-20.82;0.61770403;8.861239;4.015076;
1.1082623;-1.074741;-0.6088036;-13.44;-41.16;-19.02;2.705448;11.1213665;-2.2385786;
-0.48548517;0.76579595;0.11995866;-13.259999;-42.66;-16.5;-5.7008934;9.387964;3.3423057;
0.592692;-1.9837085;-0.076739945;-13.559999;-42.48;-17.1;-3.3925838;11.195586;-4.663905;
-2.090839;-0.7796931;-0.39438987;-14.04;-43.079998;-16.02;-5.2507834;9.416695;-1.9081788;
-1.2454015;-1.7149278;0.11323915;-13.62;-41.52;-18.539999;-4.4580035;9.007286;5.0736127;
-0.123242065;-1.6611717;0.1437824;-15.299999;-40.32;-18.42;-3.799598;10.106225;3.1507695;
-0.43172902;-0.6514114;0.4198935;-17.039999;-39.899998;-18.24;-2.542642;10.676044;2.2960393;
-0.26984972;-1.0558043;-0.17264579;-17.039999;-39.719997;-17.58;-0.90261406;11.248259;0.9624691;
-1.0535898;0.07307476;-0.07185303;-17.46;-39.239998;-18.539999;-0.85473;10.403106;2.9831753;
0.3220787;-0.56650114;-0.22640193;-18.24;-38.219997;-19.38;1.0271125;10.733505;4.5920787;
0.5401576;-0.48647782;0.023441954;-18.779999;-38.52;-18.6;0.7182605;9.847651;2.3750482;
-0.13545936;-0.34842226;-0.06391177;-18.42;-39.84;-18.119999;1.0630256;9.493309;1.5993267;
-0.063988134;-0.4919756;0.08697194;-18.539999;-39.3;-16.199999;0.641646;8.822932;2.7820623;
-0.19165897;-0.4021784;0.020387627;-20.16;-39.18;-16.44;1.4389153;9.383176;2.3511062;
-0.25335637;-0.3111595;-0.10789407;-19.92;-39.84;-16.32;1.1707647;8.992921;3.0669725;
-0.02367103;-0.20670153;-0.04925101;-20.34;-38.82;-16.08;1.1300632;9.450213;2.873042;
-0.016340645;-0.34292448;-0.13782647;-20.22;-38.82;-16.44;1.2138603;9.502886;2.2984335;
-0.15989397;-0.38385245;-0.24594963;-20.16;-38.1;-16.38;1.2545617;9.488521;2.7102363;
-0.29123;-0.18287778;-0.1372156;-19.5;-39.719997;-16.08;0.81642276;9.354445;3.0334535;
-0.1366811;-0.068645984;-0.19097175;-18.96;-39.6;-16.74;1.2258313;9.522039;3.5649664;
0.09666943;-0.24274258;-0.08162687;-19.5;-40.02;-16.8;0.24181437;9.308955;3.157952;
0.019089539;-0.029550606;0.027718011;-18.9;-38.76;-16.38;0.9672575;9.584289;3.0550013;
-0.016340645;-0.05459608;-0.13782647;-18.9;-39.66;-15.96;0.7254431;9.306561;3.2465374;
-0.14095716;0.19646953;0.03443753;-17.34;-40.8;-16.619999;0.6991069;9.160515;3.1148565;
0.0062613687;0.016875152;0.008781188;-17.279999;-39.96;-16.08;0.7757214;8.988132;3.0573955;
0.027030786;0.077961676;0.1755474;-17.46;-40.44;-17.22;1.1707647;9.237129;3.004723;
