gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.11530081;-0.04298964;0.22869268;22.199999;-29.16;-34.02;-5.588366;8.672098;1.8938135;
-0.26007587;0.64056855;0.79862994;22.8;-30.0;-34.62;-5.18614;10.278607;-0.7206547;
-0.33215797;1.4658475;0.5921575;21.72;-29.58;-34.62;-3.6774938;14.157214;-2.0470424;
-0.84650654;2.9679651;-0.15554157;23.4;-30.42;-33.3;-5.1909285;13.956101;-5.657798;
-2.1146626;1.4756213;0.6202573;28.14;-28.26;-31.859999;-7.814974;10.786178;-3.7325604;
-1.3584116;1.8146516;1.1724795;30.779999;-27.119999;-32.28;-3.751714;9.79019;-1.8076223;
-2.0798435;-0.31604642;0.90430963;29.64;-26.699999;-32.94;-0.33997664;7.7072344;0.5770026;
-1.6302466;-0.27023152;-0.13538301;29.039999;-24.0;-35.34;-1.1587936;5.2986674;6.1988873;
-1.5654949;-2.085723;-0.05841399;27.9;-21.42;-38.46;1.3431472;1.3670892;7.865252;
-2.1714733;-1.4705818;-1.1775191;24.539999;-17.46;-41.28;0.17238252;-7.853281;10.144532;
-1.9478966;-1.6739999;-2.1762838;22.5;-12.12;-44.94;-7.048829;-6.7232175;23.633764;
1.2536482;1.7706692;-2.8091402;21.72;-6.6;-47.28;-9.601048;1.3455414;13.920188;
0.28298333;0.62468606;1.1920272;24.84;-6.8399997;-44.64;-6.4957685;-2.7030537;5.234024;
-0.07925977;-0.5817728;2.7692811;26.16;-9.0;-44.219997;-1.7669208;-1.3000516;10.946589;
0.57742035;1.3155746;1.6373479;24.18;-11.5199995;-44.04;-0.062249243;-0.2681506;14.030321;
1.0899363;2.1872795;0.43149993;26.099998;-14.7;-42.3;-2.243367;0.32800564;11.188404;
0.6403395;1.3687199;1.1028409;28.439999;-17.34;-40.079998;-5.8996124;2.0638018;8.5476;
0.63117653;0.87086475;1.1443797;30.24;-19.859999;-36.899998;-1.9177556;5.1095257;6.1869164;
0.41309762;0.48479792;0.18165605;30.66;-22.14;-34.5;-0.842759;7.501333;5.480627;
0.77472985;-0.16394097;-0.088346384;30.06;-23.279999;-33.84;-2.4301147;8.044817;3.2369606;
0.43875396;-0.53168184;-1.10055;30.72;-24.24;-33.66;-3.016694;10.367192;1.1252748;
0.88529646;-0.8829293;-2.3827562;31.199999;-22.68;-33.0;-4.4939165;12.210728;5.6314616;
1.8382462;-0.26106852;-2.0363955;31.679998;-22.56;-32.94;-5.988198;10.97532;-1.3503298;
1.3538301;-0.68073297;-1.8323667;34.38;-22.08;-31.859999;-4.292804;11.45416;-1.7908629;
0.86208355;-0.15538885;-1.0822241;34.8;-21.24;-30.84;-6.4622498;10.257059;-2.6288335;
0.22556199;-0.2567925;0.19387336;35.88;-20.22;-30.359999;-5.6434326;9.119814;-0.63206923;
-0.313832;-0.44860417;0.47303876;34.8;-20.88;-30.539999;-4.1132383;8.741529;1.7741034;
-0.15500705;0.35895967;-0.10361802;35.28;-21.06;-30.84;-6.016928;8.147768;5.0592475;
0.09605856;-0.07475463;0.46082148;34.5;-20.58;-31.14;-7.355287;6.5532293;4.0078936;
0.085673854;-0.08208502;0.44677156;34.2;-21.9;-31.199999;-4.3957543;7.3816233;3.0190883;
-0.008399397;0.032757647;0.09246973;34.26;-22.02;-31.619999;-5.372888;7.43669;4.3861775;
0.032528576;-0.0051159966;0.050320026;34.92;-22.68;-31.199999;-4.7740383;6.6609683;2.4277205;
-0.060322944;-0.42294782;0.15172365;34.079998;-23.039999;-31.5;-5.222053;7.0200987;4.185065;
-0.0786489;-0.0173333;-0.04008803;33.239998;-22.68;-32.219997;-5.624279;7.1948752;4.086902;
0.020922136;-0.12484559;-0.04925101;32.76;-22.56;-32.399998;-5.2172647;7.4702086;3.2130187;
-0.10430524;-0.40156755;0.2561816;32.52;-23.64;-32.579998;-5.741595;7.568371;4.3119574;
-0.04932737;-0.3826307;0.09674578;31.74;-23.1;-32.399998;-4.1299977;7.218817;3.6774938;
-0.07620544;-0.30871603;-0.18852828;31.619999;-23.039999;-33.42;-3.9743748;7.276278;3.7229836;
-0.10919216;-0.23968825;-0.33391422;31.08;-22.199999;-33.96;-5.329792;7.0655885;4.000711;
-0.16661349;-0.10407617;-0.09506591;30.66;-21.72;-34.38;-6.1031194;6.9817915;4.235343;
0.07651087;-0.3300963;0.3319289;29.88;-21.119999;-34.86;-5.0807953;7.2571244;3.9360676;
-0.0041233404;-0.62453336;0.35025486;29.82;-22.38;-34.98;-4.3023806;7.273884;4.331111;
0.00870483;-0.0045051314;-0.32108605;28.619999;-22.5;-35.76;-3.6631286;8.111855;5.11192;
0.10888673;0.34918585;-0.5257259;28.56;-21.9;-36.6;-5.4159837;7.285855;4.4340615;
-0.088422745;-0.122402124;0.019165898;30.06;-22.02;-36.12;-5.3992243;7.130232;3.9121256;
-0.23808473;-0.19265163;0.14805846;29.64;-21.359999;-36.059998;-4.9419317;7.594707;4.970662;
-0.007788532;0.030925052;-0.0016035213;27.9;-21.42;-35.88;-4.537012;7.5564;4.51307;
-0.01817324;-0.14194982;0.017944166;28.56;-21.24;-36.18;-4.920384;7.1637506;4.661511;
-0.060322944;-0.06803512;0.010002919;28.98;-21.539999;-35.88;-4.72376;7.1972694;4.5034933;
0.05024367;-0.027107146;0.03810272;29.16;-21.359999;-36.899998;-5.006575;7.1230493;4.7022123;
