gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.40882155;0.51839554;0.069867715;-20.279999;-39.12;-19.14;-0.50038815;9.172486;4.970662;
0.23472497;1.032744;0.42783475;-20.34;-38.16;-18.779999;-1.7764976;9.378387;3.5122938;
-0.08475755;1.2587641;0.2653446;-19.859999;-38.46;-19.56;-2.5019407;10.142138;3.8355112;
-0.10369437;1.9582049;0.058872137;-19.619999;-37.26;-21.72;-3.5865142;10.597036;5.526117;
0.86391616;1.9239964;-0.09812023;-17.88;-37.2;-23.699999;-4.477157;11.12376;4.745308;
0.551764;1.8299232;-0.13416128;-14.58;-38.1;-24.359999;-4.417302;11.7678;4.146757;
0.6525568;1.6026813;-0.15981762;-12.179999;-38.76;-24.9;-3.6056678;10.853215;4.120421;
0.19440787;1.6558266;-0.12377657;-10.679999;-39.96;-25.14;-2.755726;9.514857;0.50996494;
0.41493022;-0.0075594573;-0.03520111;-8.4;-40.379997;-25.68;-2.6024973;8.121431;1.7645266;
0.8926268;-0.7729736;0.26656634;-8.4;-40.559998;-25.08;0.58418524;7.5300636;0.51235914;
1.236544;-0.5811619;0.20975585;-9.24;-42.239998;-22.5;3.3039982;4.55856;-1.2425907;
0.86574876;-2.8859565;1.9940932;-10.62;-42.3;-19.199999;10.565911;6.9458785;1.6496049;
0.28909197;-1.3429109;2.3819926;-15.54;-41.52;-16.859999;9.486126;7.558794;4.673482;
-0.20326541;-1.5640441;1.5127314;-21.48;-40.32;-14.5199995;12.555493;12.222699;-1.532289;
-1.8629863;-0.34536794;-0.108504936;-25.56;-38.1;-12.96;7.1733274;9.873987;3.0933087;
0.25671613;-0.12789991;-0.118889645;-26.64;-36.18;-15.66;4.027047;7.597101;2.96881;
0.65194595;0.62041;-0.31497738;-25.56;-37.8;-15.299999;5.30585;8.516475;-0.10534488;
1.2890784;0.6356816;-0.47196975;-25.32;-37.98;-15.12;5.928343;7.889194;-0.28491;
0.5120578;0.76885027;-1.1359802;-23.22;-40.079998;-12.719999;7.4199305;8.14298;-0.60094464;
-0.09392053;1.3332897;-1.4695127;-20.58;-41.1;-13.139999;10.039187;9.122208;-0.22266077;
-2.4133759;1.73585;-1.3992631;-16.26;-41.7;-14.639999;7.9538374;8.6218195;2.3391352;
-1.4903585;2.1805599;-1.1824061;-12.54;-41.879997;-20.52;4.072537;8.585907;5.9858036;
0.8156578;1.9557614;-0.5293911;-7.74;-41.219997;-25.26;0.3854665;8.358458;5.578789;
0.92011577;1.032744;-0.28932106;-4.8599997;-41.64;-24.18;-3.0119057;8.00651;-1.9273324;
1.3153456;-0.05459608;0.29710957;-3.3;-42.239998;-22.08;-3.964798;9.603442;-1.2785037;
0.9934196;-1.4039974;0.30749428;-5.46;-43.92;-19.8;-4.027047;10.443807;-4.2281604;
-1.8147279;-0.92630076;-0.2496148;-5.46;-44.76;-16.74;-4.0174704;9.268254;-1.7310078;
-2.037083;-1.550605;-0.5837581;-5.7599998;-42.3;-20.22;-6.048053;7.082348;4.699818;
1.0581713;-2.2860868;0.630642;-6.66;-41.46;-24.0;-5.2747254;9.883564;4.3047748;
-0.14462234;-1.7827339;-0.27710375;-10.559999;-41.399998;-21.6;-1.733402;13.805266;-1.6184803;
-1.479363;-0.6471354;-1.1146;-10.86;-41.52;-21.48;-3.715801;10.594642;2.9113493;
0.6824892;-0.75098246;-0.45608726;-8.94;-42.36;-23.279999;-3.70383;9.057565;3.217807;
1.0838276;-0.8609382;0.16699529;-9.719999;-42.719997;-20.16;-1.484405;10.034399;0.9792285;
-0.060322944;-0.46631926;-0.28993192;-9.54;-42.96;-17.76;-0.34237084;9.830892;2.0566192;
-0.38591412;-0.2054798;-0.10361802;-8.76;-43.32;-17.82;-1.3790601;8.329727;3.7110126;
0.23167065;-0.42905647;0.12056953;-10.32;-43.2;-18.119999;-1.745373;8.403947;3.1507695;
0.4167628;-0.54023397;0.35941783;-9.84;-42.6;-18.18;-1.1133038;9.55077;1.8363527;
-0.07803804;-0.4302782;0.18165605;-12.36;-42.84;-16.199999;-1.2689269;9.960178;1.3024458;
-0.30955598;-0.36735907;0.043600507;-12.48;-42.48;-17.1;-0.521936;9.924265;2.8562827;
-0.13362677;-0.42050436;0.2512947;-12.719999;-42.48;-16.08;-0.8475474;9.14615;2.9903579;
-0.19960022;-0.2738967;0.16699529;-13.98;-42.18;-16.859999;-0.15801731;9.361628;2.1811178;
-0.39752057;-0.17066048;0.12423472;-13.92;-42.3;-17.279999;-0.3184288;9.050382;2.6431987;
-0.12568553;-0.096134916;0.22686008;-13.98;-42.059998;-18.18;0.10055647;9.380781;2.9137435;
-0.04932737;-0.16821702;0.13889548;-14.639999;-40.98;-18.24;0.19632454;9.703999;2.6144683;
-0.18310685;-0.036270123;0.06620252;-15.9;-40.86;-18.06;0.24420857;9.519646;2.8993783;
-0.18616119;-0.0051159966;0.0051159966;-16.14;-41.52;-16.92;0.45729253;9.462184;3.095703;
-0.1788308;0.14760031;0.13706289;-14.94;-41.64;-18.42;0.1340753;9.136573;3.5769374;
0.06856962;-0.16088663;0.049098294;-15.719999;-40.98;-18.539999;-0.093373865;9.296985;2.5474305;
-0.26068676;0.070631295;0.22869268;-15.48;-40.2;-19.74;0.35434186;9.198822;3.0550013;
0.071013086;-0.16271923;0.05642868;-15.0;-40.26;-18.539999;0.46686932;9.438242;2.8634653;
