gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.18272507;0.0022143866;-0.0015271631;6.8999996;20.58;-40.26;-4.5992613;-0.61052144;8.011298;
0.19540052;-0.27328584;0.786489;7.14;20.16;-40.079998;-5.1526213;-0.35194764;9.435848;
-0.11797335;-0.06925685;0.75777835;8.04;20.16;-40.62;-5.1645923;-0.050278235;8.401553;
-0.054443367;0.1427134;0.6747007;7.5;19.14;-41.04;-8.968979;0.44771573;7.307403;
0.18135062;0.38950294;1.3600914;7.56;19.56;-41.34;-11.514015;-0.93373865;6.1893106;
-1.6494125;1.0125855;2.047315;10.679999;20.16;-39.96;-15.701774;-4.697424;4.3239284;
-1.4148402;-0.21708624;3.800498;15.12;21.24;-38.94;-11.976096;-6.2156467;8.684069;
-1.4551574;0.7572438;3.7113118;18.84;21.06;-37.26;-9.359234;-8.490138;9.273043;
-1.2089787;0.59169936;4.3069053;25.439999;20.1;-34.32;-6.2108583;-10.585065;9.560347;
-1.0831405;1.2441034;3.8621955;29.82;16.44;-32.579998;-2.1619642;-11.348815;8.959402;
-1.6659058;0.5202281;3.212235;35.28;13.38;-30.0;2.8754363;-9.5052805;10.221147;
-1.0183887;0.6161339;1.7602082;37.26;10.2;-27.779999;6.9315133;-6.28029;12.29213;
-1.2670109;-0.46082148;1.0974194;38.579998;7.7999997;-25.98;7.996933;-3.6846764;12.349591;
-0.7935903;-0.7412086;0.18112154;40.02;8.28;-26.76;7.0153103;0.40462008;14.537892;
0.41653374;-0.38018724;-1.2727377;37.079998;9.3;-27.779999;-1.8746599;4.1539397;21.974583;
1.3926964;-1.0912344;-0.27885997;37.32;10.5;-27.18;-8.806173;4.594473;22.647352;
2.803795;-1.3636802;0.32711834;35.1;9.84;-29.58;-10.087071;2.7461493;23.497293;
2.7561476;-1.0564151;0.20861048;33.6;5.52;-32.52;-10.032004;-0.22744916;17.31786;
2.8709903;-1.5591571;0.71685034;30.539999;0.12;-34.8;-9.569923;-2.6264393;13.398252;
2.2619576;-1.4669166;0.38087448;27.9;-6.8399997;-37.5;-6.378453;-3.502717;7.1733274;
1.8086957;-1.3936127;0.30757064;24.9;-12.599999;-38.219997;-4.5441947;-3.6703112;4.807557;
0.9308823;-0.48647782;-0.12308934;22.68;-15.78;-39.12;-1.1444284;-3.5745432;-1.1372458;
0.12209669;-1.0313696;0.08460484;22.859999;-18.06;-39.36;1.2473791;-1.7310078;-3.0621839;
-0.67141724;-1.079628;-0.28130344;20.1;-17.94;-39.96;4.7046065;0.7589619;0.36391866;
-0.62193716;-1.7039323;-0.3381139;18.18;-17.16;-42.78;7.290643;2.0805612;5.6530094;
-0.53824866;-0.9770026;-1.1462886;15.299999;-16.08;-45.12;9.160515;2.5187001;8.08073;
-0.58711785;-1.1956923;-2.0857995;14.639999;-13.139999;-45.66;9.091084;1.7884687;10.249877;
-0.45333838;-1.8749745;-2.6728408;13.559999;-10.679999;-47.52;5.6530094;0.58657944;13.561058;
0.15813774;-0.8102364;-3.3954945;9.84;-8.88;-48.6;1.271321;-0.5793968;13.146861;
0.7018078;-1.0606911;-3.3356297;9.719999;-8.88;-47.82;-5.102343;-0.44532153;9.636961;
0.14530957;-1.4003322;-2.1456642;8.7;-8.46;-47.94;-12.1963625;1.1372458;6.5652003;
0.015195273;-0.9562332;-1.4883732;6.96;-8.16;-48.18;-14.394239;4.661511;8.037635;
0.4489096;-0.58788145;-0.3368922;4.38;-7.7999997;-47.28;-11.63612;5.734412;6.718429;
0.21067216;0.044364087;0.46944994;2.76;-10.0199995;-48.12;-5.0951605;4.19943;3.5170822;
-0.18761198;0.47868928;0.47983465;3.0;-9.719999;-47.46;-0.9648633;2.5905263;1.5466543;
-1.0098366;0.78839797;-0.20250183;3.84;-9.12;-47.16;0.7015011;0.04070143;-1.8914193;
-1.7520379;0.035811976;-0.036957346;5.46;-6.3599997;-47.94;-0.045489833;-1.4580688;-1.1085154;
-2.408107;0.07918341;-0.2574797;5.52;-3.12;-48.059998;0.47644615;-3.157952;3.5913026;
-2.8137217;0.6515641;-0.61483586;6.12;2.52;-47.34;-1.8052281;-4.6375685;3.9312792;
-3.0690634;0.3760639;-0.8384125;6.42;10.2;-45.719997;-4.3981485;-6.2371945;11.183616;
-1.8760436;1.313742;-1.0186177;7.14;17.4;-43.62;-3.205836;-4.0773253;19.20449;
-2.8179977;1.1872929;-1.6239853;8.639999;21.9;-40.8;-8.3033905;-5.478233;16.544533;
-2.0886247;0.87636256;-1.0332786;9.059999;27.9;-36.66;-6.9434843;-2.4899697;21.49574;
-1.3537537;0.5941428;-0.56046885;9.24;32.1;-32.16;-6.3640876;-1.0390835;19.503765;
-0.43806675;0.07246389;-0.043066;9.48;33.3;-30.179998;-5.779902;-1.685518;15.1535015;
-0.1643991;-0.019165898;0.21105394;9.9;34.079998;-29.58;-4.1371803;-1.910573;13.623307;
0.42691845;0.275882;-0.038179077;9.54;34.5;-29.76;-4.134786;-2.755726;10.740688;
0.071394876;-0.12912165;0.2648101;11.04;34.02;-30.84;-3.205836;-2.8514943;10.565911;
0.27420214;0.120111376;0.18967366;10.44;33.059998;-29.82;-3.0454245;-3.3877954;8.928277;
0.4525748;-0.26900977;0.30085114;11.34;33.3;-30.24;-2.7940333;-3.095703;9.775825;
