gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.4983897;0.03397938;0.25381452;-36.78;-6.06;-20.82;3.7469256;5.171775;6.2731075;
0.21250474;0.31497738;0.38637227;-35.7;-7.62;-22.02;3.301604;4.8267107;7.3576813;
0.37438405;0.25266913;0.5177083;-35.1;-7.2;-22.8;2.6024973;4.94672;9.481338;
-0.29756773;0.90751666;0.2519819;-35.1;-6.8399997;-22.5;-1.0295067;4.8817773;13.118131;
0.2680935;1.9331595;0.5653558;-34.44;-5.2799997;-24.24;-2.0278888;1.6496049;19.925144;
1.4666111;3.6790123;2.0839667;-31.98;-5.2799997;-26.64;-0.51475334;-1.8818425;18.400038;
1.9583576;4.2581124;2.8964176;-25.68;-4.14;-30.539999;7.573159;-0.59136784;16.379332;
2.4067328;4.0937896;3.0094275;-19.38;-4.74;-36.0;11.616966;-1.0845734;12.28016;
2.6571875;2.9832368;2.504853;-13.0199995;-7.2;-37.5;14.691121;1.2425907;6.318598;
1.3163383;2.5641832;1.4468343;-7.9199996;-11.04;-37.2;12.256218;3.0358477;0.35673606;
0.31574097;1.5043321;1.3979651;-3.8999999;-13.2;-36.0;10.49648;2.360683;1.2018893;
1.0212903;0.99975735;1.7015651;-3.06;-13.86;-35.88;11.861175;4.402937;-1.1420342;
1.2161564;-0.76747584;0.77488256;-3.4199998;-15.299999;-34.98;8.2794485;9.455002;-5.1574097;
-0.7770969;-1.5762614;0.22999077;-4.98;-17.94;-33.899998;7.1829042;17.432781;4.572925;
1.2662473;-1.5023468;-0.51343226;-8.76;-16.199999;-34.02;7.9538374;21.560385;14.887745;
3.2332335;-1.324585;-1.207986;-10.32;-19.98;-32.579998;7.3241625;20.538061;8.78702;
2.2918901;-1.3972778;-2.590374;-10.5;-26.22;-26.22;8.430284;16.403275;7.1254435;
0.9907471;-1.1889728;-3.0008755;-8.4;-30.66;-21.84;5.8900356;9.182063;9.34008;
0.64682996;0.49457178;-2.74981;-2.76;-33.899998;-20.52;2.8562827;4.5657425;9.885958;
1.8514562;0.52816933;-1.1047498;2.46;-36.239998;-18.48;-0.37588966;0.44771573;6.3640876;
3.035924;0.14454599;-0.25686884;4.74;-39.36;-14.5199995;3.6008794;0.320823;-1.8842367;
1.6663641;-0.09063713;-0.04184427;4.92;-41.82;-7.2599998;1.2306197;0.009576807;-5.68174;
1.0298425;-1.3844497;0.46578476;5.46;-43.32;-3.78;2.171541;1.8004397;-6.5292873;
1.1159744;-1.3404675;1.5360206;4.44;-44.219997;-1.4399999;3.6296098;4.0892963;-7.0392523;
0.8465829;-3.1199179;1.7571539;0.24;-44.879997;1.68;6.0456586;6.304232;-10.467749;
-0.55535287;-3.2982905;1.3093897;-4.2;-45.12;2.8799999;8.214806;7.0440407;-8.640973;
-1.2902237;-3.880445;0.8011498;-8.94;-45.84;2.22;7.6952634;7.0560117;-2.2481554;
-1.2150873;-4.3459244;0.6068946;-9.9;-44.1;0.84;4.4915223;7.735965;3.9097314;
-0.39713877;-3.9287035;0.80848014;-11.16;-43.379997;1.14;2.2002714;10.649709;9.885958;
-0.4844925;-2.4772875;0.49693888;-14.219999;-42.96;2.46;-2.0135236;10.786178;10.568306;
-0.055665094;-1.3532956;0.56596667;-15.12;-42.66;3.84;-3.8163576;8.183681;9.2107935;
-0.110032104;-0.021609358;0.9935723;-15.42;-41.64;4.38;-3.0597897;3.7972038;5.916372;
-0.34338263;0.42432228;1.2428054;-18.9;-40.02;4.2599998;-1.2066777;0.4165911;2.779668;
-0.863229;0.60636014;1.8371773;-20.4;-38.52;1.86;-1.8842367;-1.4341269;1.6472107;
-1.370858;0.55626917;2.477975;-26.46;-35.88;0.84;3.335123;0.5602432;-0.38067806;
-2.680553;0.824439;3.5824192;-30.599998;-31.74;-4.14;6.2850785;2.8682537;6.7304;
-0.4472297;0.004046982;3.5585954;-35.46;-23.88;-8.34;15.096041;10.58746;9.991303;
-1.6707928;1.2300535;2.4236078;-39.66;-16.98;-10.44;15.967529;14.535498;5.360917;
-2.8723648;0.7578547;0.84513205;-40.62;-11.5199995;-13.74;13.491626;13.608942;6.110302;
-2.0452533;0.4169919;0.6435465;-40.62;-6.42;-17.34;11.296143;12.225093;8.322544;
-0.9554696;0.082237735;0.5018258;-40.98;-2.34;-18.06;10.465355;11.578659;5.734412;
-0.80702937;0.016264288;-0.13469578;-39.78;-0.35999998;-18.539999;9.012074;9.718364;5.2603602;
-0.3580434;0.034590244;-0.10598512;-41.219997;0.42;-18.6;7.1110783;7.242759;6.479009;
-0.14973834;-0.0313832;-0.24404067;-40.86;0.78;-19.5;7.31698;6.2946553;5.4830213;
-0.21143574;-0.0032834008;-0.3173445;-40.26;0.29999998;-20.039999;6.7375827;5.1310735;5.806238;
-0.24075727;-0.1651627;-0.3295618;-40.559998;-0.78;-18.66;7.048829;4.7285485;5.9738326;
-0.20532708;-0.08575021;-0.47678033;-39.899998;-0.65999997;-18.66;6.6992755;4.1299977;5.868488;
-0.2682462;0.042531494;-0.36682457;-39.84;-1.14;-19.619999;6.2036757;3.608062;5.7128644;
-0.13752104;0.042531494;-0.2764165;-39.42;-1.02;-19.32;6.7591305;3.916914;5.147833;
-0.38492146;0.105450615;-0.34666604;-40.2;-1.62;-18.84;5.894824;3.6894648;5.0855837;
