gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.27740917;-0.1633301;-0.0571159;10.62;27.24;-35.46;-3.4979286;-2.4109612;8.217199;
0.083001316;0.19341521;0.0125227375;9.3;27.66;-35.94;-3.550601;-1.9656396;9.914688;
-0.025732698;-0.39729148;0.3136793;9.54;27.18;-35.64;-3.8857894;-2.0254946;8.509292;
-0.18639025;-0.13400856;0.16890424;9.48;27.48;-36.239998;-5.0089693;-1.496376;8.753501;
0.035353824;-0.3991241;0.45662177;9.3;27.599998;-35.7;-7.1517797;-0.8858546;8.8205385;
-0.15096007;0.38095084;0.32589662;9.48;27.96;-36.66;-10.089465;-0.30406362;7.994539;
0.09827295;0.11033753;1.0968086;10.559999;27.9;-36.54;-15.323489;-2.9520507;6.8860235;
-0.5761223;0.024816401;3.356399;12.9;27.0;-35.94;-17.16463;-6.7136407;2.3223755;
-0.89682657;-0.20609066;4.06317;17.16;25.08;-34.2;-9.366416;-7.130232;9.893141;
-0.5669593;0.42065707;3.9159517;22.619999;24.0;-32.7;-6.5077395;-8.825327;9.809343;
-0.5144249;0.62407523;3.6215146;26.82;20.279999;-32.64;-2.5067291;-10.788572;8.854057;
-1.4197272;0.8067239;2.9880474;31.38;15.96;-30.84;1.0414777;-9.93863;8.372823;
-1.1723268;-0.5976553;2.6966646;34.44;14.28;-29.279999;5.3992243;-6.9937625;10.482115;
-0.8693376;0.38889208;1.4156802;35.219997;11.7;-29.279999;6.0576296;-3.7349546;10.304943;
-0.876668;0.04558582;0.41386122;36.84;10.139999;-28.439999;4.771644;-1.328782;9.859622;
-0.3488804;-0.42111522;-0.17684549;37.8;10.26;-27.96;2.396596;3.2345665;16.738462;
0.28275424;-0.53840137;-0.6032294;36.48;11.639999;-27.24;-5.4878097;6.158186;22.211607;
1.6419294;-1.5683202;0.38637227;35.579998;11.34;-30.119999;-5.4973865;4.7548847;24.474129;
2.197206;-1.3361914;-0.054061573;33.239998;9.12;-34.92;-6.9458785;1.7741034;21.234774;
2.1465042;-2.5426502;0.4016439;31.679998;5.52;-37.739998;-6.917148;-1.5873557;17.339407;
2.1801016;-1.4925729;-0.4071417;25.98;3.06;-40.44;-7.290643;-4.944326;13.44853;
1.9479729;-0.9611201;-0.5519168;22.619999;1.02;-43.02;-5.51654;-5.054459;8.614637;
2.0426571;-0.90736395;-0.3155119;21.72;-3.6599998;-44.1;-4.522647;-5.0113635;2.8419175;
1.7983109;-0.92385733;-0.34116822;19.02;-6.8999996;-44.399998;-2.815581;-4.120421;-0.9600749;
0.72379893;-1.0423652;0.1255328;18.18;-10.8;-44.399998;-0.20111294;-1.9440918;-4.6926355;
-0.7734318;-0.78641266;-0.056505036;15.66;-11.94;-45.12;4.3766007;0.9624691;-0.9624691;
-0.9744064;-0.8151233;-0.31429017;15.54;-10.44;-46.68;7.714417;3.3542767;6.218041;
0.08483391;-0.98005694;-1.5366315;13.5;-8.28;-46.98;10.699986;3.4883518;9.105449;
0.12209669;-1.5536594;-2.1395555;10.559999;-7.2;-47.7;8.075942;1.9752164;10.132561;
-0.060552016;-0.9165269;-2.8420506;9.48;-7.5;-49.2;3.490746;0.4405331;9.435848;
0.070173144;-0.26962066;-3.1548135;9.179999;-5.94;-49.739998;-1.055843;0.36870706;9.373599;
0.09644035;-1.4485905;-2.7980683;8.88;-4.7999997;-48.48;-6.926725;0.8619126;7.803003;
1.2271519;-0.825508;-2.1365013;7.2;-3.9599998;-48.36;-11.839626;3.3423057;10.544364;
0.68164927;-0.24518603;-0.7058548;5.8799996;-6.24;-47.399998;-11.008839;3.0502129;2.7844565;
-0.28901562;-1.2115749;0.410196;5.58;-7.68;-47.28;-7.3026147;3.4596214;1.0534488;
-1.0642036;0.03642284;0.58123827;2.58;-6.7799997;-48.059998;-3.4931402;1.8914193;1.8842367;
-1.4740942;0.90996015;-0.052839845;1.56;-5.04;-48.059998;-1.1180922;-1.0486604;-1.3479356;
-2.0452533;0.47502407;0.61117065;3.6;-0.42;-47.82;-1.508347;-2.6360161;0.8283938;
-2.3567944;0.80794567;-0.46395215;4.74;5.22;-47.76;-1.745373;-4.9179897;1.9273324;
-3.3219616;0.08773552;0.14813483;6.2999997;10.92;-46.5;-2.3343468;-6.682516;6.6729393;
-4.28102;-0.35453093;-0.0015271631;5.94;18.24;-44.34;-2.1547816;-6.977003;12.447754;
-3.6701548;0.72853315;-0.63438356;5.46;26.279999;-40.2;-3.0023289;-6.332963;21.835718;
-2.526004;2.1860576;-1.1420126;5.58;33.18;-35.1;-6.136638;-7.3983827;23.109434;
-1.6799558;0.71265066;-0.5335908;7.14;37.86;-29.16;-6.095937;-5.23163;20.61707;
-0.7715992;0.60452753;-0.4156938;7.68;40.5;-27.539999;-2.873042;-3.229778;16.973095;
-0.43195808;0.525115;-0.21410827;9.66;41.219997;-24.6;-2.9257145;-3.5098996;13.953707;
-0.12652546;0.12988523;-0.071776666;8.5199995;41.94;-23.4;-3.8235402;-3.8833952;11.700763;
0.32001704;-0.31910074;0.29840767;9.3;42.12;-24.0;-2.885013;-3.7062242;11.40867;
0.7512879;0.1109484;-0.07360926;10.62;41.16;-23.46;-3.0358477;-4.4316673;10.106225;
0.92660624;0.60574925;-0.11575896;10.08;39.66;-24.84;-2.8658595;-4.9515085;8.782231;
