gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.06772968;0.26671904;-0.09987647;15.96;22.5;-40.379997;-4.096479;0.9624691;8.736741;
0.21555908;-0.04054618;0.24220806;15.42;22.859999;-40.68;-5.7008934;0.7493851;8.590695;
0.030466905;-0.21647537;0.45845437;17.1;21.539999;-39.66;-5.5572414;0.79966336;7.982568;
-0.04466952;-0.18532124;0.43401974;17.52;20.939999;-40.2;-7.4103537;1.9536686;8.569147;
0.13859005;0.15370896;0.1872302;17.16;20.939999;-41.52;-13.170803;2.4396915;7.1158667;
-0.021456642;1.4750105;1.2495248;16.8;20.46;-40.44;-21.85966;0.021547815;3.7373488;
-1.3586407;1.730963;4.0705004;20.34;20.039999;-40.5;-22.151752;-5.1765633;6.7711015;
-1.76059;1.880625;5.8878245;26.88;17.88;-36.48;-11.315296;-8.408735;11.47092;
-1.8888717;1.9117792;5.881105;33.48;13.0199995;-32.52;-6.3521166;-11.188404;12.7135105;
-1.4441618;0.7047094;5.578116;36.96;5.7599998;-29.58;-0.08140286;-9.091084;11.444583;
-1.2828934;1.5006669;3.1377094;37.44;-2.46;-28.8;3.6343982;-5.4495025;8.93546;
-0.7740426;0.49884784;1.9782871;37.44;-5.58;-26.46;5.1047373;-2.9831753;10.81012;
-0.56940275;0.0022143866;0.66614854;37.739998;-8.76;-26.76;7.0560117;-0.44771573;9.873987;
-1.1869875;-0.8774316;-0.43035457;36.84;-8.94;-26.4;10.611402;7.178116;19.43194;
1.5680147;-0.33498323;-2.1487186;36.48;-6.0;-29.279999;-1.8866309;9.773431;22.295404;
1.5002087;-3.1162527;0.5036584;35.94;-5.46;-30.06;-8.777443;11.621755;19.72882;
2.4256694;-3.0325642;0.7058548;31.38;-8.58;-32.94;-10.71914;9.668086;20.26991;
3.1116712;-2.697199;1.1010846;26.519999;-13.559999;-35.82;-11.54514;4.7141833;14.768035;
3.1471014;-2.2555435;0.7602218;20.22;-21.18;-35.1;-7.3481045;0.7326257;9.22037;
1.566793;-1.2634984;-0.48899764;15.78;-26.64;-33.54;-2.2457612;-2.6647465;3.311181;
0.38110355;-0.67706776;-0.34483343;14.639999;-29.279999;-32.219997;2.018312;-4.259285;-2.5378537;
-0.61888283;-4.1559453;1.1224649;13.92;-29.22;-32.88;5.4854155;-2.2744915;2.4636335;
-0.609109;-3.0960941;0.45356745;5.58;-28.859999;-34.2;10.175656;-1.1707647;2.8083985;
-1.3739123;-2.760729;-1.0363328;-1.0799999;-28.019999;-37.32;9.344869;-0.045489833;5.672163;
-1.1558334;-2.5829673;-1.9324722;-4.08;-26.279999;-38.28;7.5899186;1.8435353;7.1015015;
-0.79786634;-1.292209;-3.3582318;-6.2999997;-24.72;-39.42;1.9776106;3.6750996;9.447819;
-0.7147887;-1.2256248;-3.6667187;-3.48;-23.279999;-39.239998;-7.1637506;6.208464;10.340857;
0.06467536;-3.2048283;-0.54458636;-1.38;-22.92;-40.739998;-15.562909;8.480561;6.7351885;
-0.24442245;-2.0832796;0.29718593;-5.22;-22.92;-39.059998;-6.9003887;10.187628;4.9419317;
0.04085161;0.30825788;-0.45051312;-9.66;-22.859999;-38.82;-4.1036615;6.7088523;2.3774424;
-0.21265747;1.3314571;-0.45540005;-8.76;-23.82;-39.239998;-2.9879637;2.8802247;-0.8499416;
-1.1179597;0.78351104;0.12675454;-6.06;-23.1;-40.079998;-0.7541735;0.09816227;-3.2034419;
-2.3250294;0.76701766;-0.05589417;-3.78;-20.22;-41.879997;0.18914193;-1.0223241;0.8714894;
-2.2859342;1.1408672;-0.5012149;-2.7;-14.639999;-44.1;-0.581791;-2.2266076;4.3406878;
-3.8528035;1.2386056;-0.799928;1.3199999;-8.58;-46.2;-0.9720459;-3.2752678;5.245995;
-3.8075995;1.454852;-1.8457294;3.48;-0.48;-46.68;-3.2920272;-2.1428106;14.358327;
-3.5479817;1.735239;-2.1065688;7.3799996;9.179999;-46.379997;-3.3063924;0.34715924;21.27308;
-2.2144628;1.486617;-2.6184738;9.9;18.42;-43.62;-6.6992755;0.009576807;18.79987;
-2.0531945;1.2697598;-2.3979516;10.44;24.42;-41.04;-8.487744;-0.33518824;18.186954;
-1.8131244;0.3907247;-0.9459248;11.16;28.98;-38.82;-8.894758;2.1619642;19.958664;
-0.663476;-0.18165605;-0.14202617;10.38;32.399998;-36.18;-5.4830213;2.542642;16.848597;
0.10377073;0.5629887;-0.44012842;10.44;34.02;-34.8;-4.6662993;1.3335704;13.0558815;
0.16730072;-0.083306745;0.1554652;11.16;33.36;-35.219997;-4.757279;0.038307227;9.775825;
0.15508342;-0.1755474;0.34116822;11.099999;33.96;-34.739998;-3.9552212;-0.6871359;10.321703;
0.48983756;0.17447838;0.102319926;10.44;32.219997;-35.82;-4.247314;-1.4221559;9.732729;
0.6138432;-0.26290113;0.39003745;11.04;31.14;-36.48;-4.187459;-1.6927006;9.263466;
0.48861584;0.38950294;-0.003970624;10.86;30.24;-37.32;-3.3782187;-1.9369092;8.068759;
0.27786732;0.1390482;0.22632557;12.719999;30.539999;-37.92;-4.429273;-2.099715;8.9187;
0.3560581;-0.26412287;0.48288897;13.0199995;29.22;-37.32;-3.3542767;-1.6879122;8.463802;
0.1184315;0.21723895;0.018020526;12.84;28.32;-38.34;-3.028665;-1.460463;8.401553;
