gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.30673072;-0.10529789;-0.19639318;-29.519999;10.2;-34.32;5.741595;3.4763808;7.879617;
-0.08071057;-0.15661058;-0.06872234;-29.64;9.719999;-33.66;5.052065;3.514688;7.642591;
-0.3030655;-0.263512;0.010079277;-29.82;9.66;-33.42;4.5561657;3.7373488;7.652168;
-0.017180584;-0.4021784;0.30818152;-31.56;10.08;-33.18;3.0909145;4.086902;10.43423;
-0.2822961;0.12927435;0.22510384;-31.619999;11.4;-31.439999;-0.007182605;4.5920787;12.095806;
0.17340937;0.6259078;0.44318274;-31.019999;11.28;-33.059998;-3.3734303;0.7134721;16.511013;
1.7641025;1.1604149;2.155438;-29.82;11.04;-33.12;-2.815581;-0.8690952;16.843807;
2.2900574;2.116419;2.5799894;-26.519999;10.26;-36.0;3.074155;-0.8355764;15.651495;
3.0713542;2.2966242;2.767525;-22.8;10.2;-38.399998;6.7567363;-2.1092918;13.0319395;
2.8783207;2.3149502;2.3289237;-16.5;5.2799997;-41.7;10.022428;-2.372654;8.863634;
2.291279;1.7841083;1.6954565;-12.059999;1.9799999;-43.079998;11.367969;-1.7525556;4.548983;
1.0371728;1.4994451;1.1456778;-8.58;-1.8;-42.899998;12.440571;0.60094464;-0.557849;
0.3542255;0.4994587;1.0509937;-5.7;-3.6599998;-43.44;10.71914;2.4732103;0.92895025;
-0.16745344;-0.35330918;0.20372356;-5.52;-3.3;-42.78;13.146861;9.778219;1.8674773;
-0.9371436;-0.69600457;-1.5580118;-6.06;-3.0;-43.02;10.199598;15.883733;9.636961;
0.4189772;-1.3502413;-1.6111571;-6.72;-2.6399999;-43.8;4.1611223;16.86296;16.28596;
2.2259166;-1.4369842;-1.9422461;-9.54;-9.36;-43.2;7.501333;17.54531;15.936405;
3.1587079;-1.1315515;-2.5170703;-10.8;-16.14;-42.3;7.2810664;12.78773;19.07281;
3.7298667;-0.95684403;-2.559831;-11.04;-24.779999;-38.04;5.8780646;5.078401;15.309124;
4.0847797;-0.31360295;-1.6801848;-9.3;-34.32;-33.0;4.0773253;-1.2904748;12.375928;
3.7781253;-0.7961865;-1.2385293;-6.48;-41.1;-25.019999;3.086126;-3.0334535;0.08379706;
2.4012349;-0.4797583;-0.4596761;-4.08;-45.6;-16.5;1.5011644;-3.1866825;-2.3127987;
1.8587866;-1.3087025;-0.2098322;-3.8999999;-48.3;-11.46;1.13964;-2.4516625;-4.9275665;
1.7408895;-1.4528667;1.1914927;-4.56;-48.96;-5.94;1.5921441;-0.39743748;-8.921095;
1.9766836;-2.4345272;2.1584923;-6.8399997;-48.3;-0.78;4.132392;2.7246015;-12.799702;
-0.24136813;-2.9623146;1.7198911;-10.38;-47.46;3.8999999;9.239524;5.291485;-16.451159;
-2.00066;-3.632434;1.3277156;-13.92;-46.68;5.8199997;8.504503;6.074389;-7.484574;
-2.5608234;-3.3746486;0.4859433;-16.14;-45.899998;2.34;7.9777794;9.735124;4.2880154;
-1.6158149;-3.0783792;-0.04428773;-16.02;-45.84;1.5;2.873042;11.130943;10.036793;
-0.6811911;-1.746082;-0.044898596;-14.759999;-46.26;-1.0799999;-2.542642;10.951378;10.594642;
-0.18272507;-1.0222067;-0.0571159;-15.299999;-45.84;-0.96;-4.6782703;8.875605;7.1110783;
0.27359128;-0.13645202;0.58184916;-14.58;-46.26;-1.14;-3.8402996;6.6609683;5.0616417;
0.3029128;0.20563251;0.6795876;-15.599999;-45.899998;0.12;-1.9680338;3.7469256;1.3670892;
-0.41424298;0.6961573;1.0106765;-17.699999;-44.7;-0.29999998;-2.4253263;-1.1468226;0.09816227;
-0.35193473;0.6314056;1.9672915;-20.1;-44.219997;-1.3199999;-2.1547816;-2.8491;-0.5315128;
-0.5822309;0.31803173;3.0821207;-24.84;-40.559998;-2.8799999;3.0071173;-2.4372973;0.23223756;
-1.7703638;0.8843038;3.5714238;-30.9;-36.12;-5.16;6.0073514;-1.1300632;2.4492683;
-1.2816716;0.7590764;4.02774;-36.42;-28.32;-8.639999;14.030321;3.406949;4.0581717;
-2.1393263;1.1103239;4.0381246;-40.98;-21.42;-12.66;17.006613;7.0177045;8.016087;
-2.2492821;0.878806;2.8487701;-43.559998;-10.26;-16.32;19.343353;12.153267;7.0631943;
-2.3146448;1.1720214;1.6649132;-43.739998;-2.6399999;-18.96;18.90282;12.751818;8.997709;
-1.0923034;0.67905307;0.5109888;-43.26;3.3;-21.0;16.443975;12.725481;7.0991073;
-1.1442269;0.53305626;-0.23182335;-42.3;5.52;-22.5;11.616966;9.007286;5.0831895;
-0.55535287;0.3253621;-0.22266038;-41.219997;5.7;-24.0;9.823709;7.0560117;4.4077253;
-0.9530261;0.73219836;-0.5885687;-41.28;6.8999996;-22.98;8.044817;5.7990556;5.765537;
-0.62071544;0.76640683;-0.6026186;-40.62;6.54;-24.539999;9.380781;4.134786;6.7112465;
-0.08743009;0.33391422;-0.8304713;-39.84;6.72;-25.08;7.508516;3.751714;5.9714384;
-0.2560289;0.5446627;-0.89949906;-38.7;6.8999996;-25.8;7.654562;3.1244333;5.952285;
-0.93042415;1.123763;-0.6979135;-38.28;7.68;-25.68;4.5657425;2.0231004;7.364864;
-0.5284748;2.1695642;-0.021685716;-35.82;7.74;-28.56;5.6769514;2.8203697;6.9698205;
