gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.28214338;-0.20059288;-0.14019357;12.48;20.16;-41.46;-3.430891;0.19871874;7.972991;
0.25587618;-0.20303634;-0.12736541;12.96;20.279999;-41.04;-3.4811692;0.23702596;8.79899;
-0.061773747;0.11766792;-0.11453723;12.059999;20.52;-42.66;-3.7948096;0.095768064;8.57633;
-0.2822961;-0.44738242;0.27580565;12.84;20.22;-42.66;-6.6968813;0.40701428;8.418312;
-0.30673072;-0.63675064;1.3949108;11.58;20.46;-41.879997;-11.303326;1.5705963;7.5875244;
-0.94203055;1.2257775;0.6747007;11.04;20.76;-41.399998;-13.850756;3.9336734;7.740753;
-0.436845;0.96615976;3.2330043;14.4;21.48;-41.34;-16.515802;-1.5179238;10.003274;
-0.5480225;0.92217743;4.624555;18.119999;20.52;-39.0;-14.6719675;-4.177882;8.248324;
-0.5779549;1.3192399;5.243973;23.4;17.1;-38.94;-9.969755;-7.4175363;14.025533;
-0.36170858;1.7272978;5.1645603;28.98;11.5199995;-35.82;-5.4518967;-9.076718;13.8603325;
-0.23892467;1.6301702;4.185954;32.7;5.3399997;-33.3;-0.6488287;-8.626608;11.128549;
-0.6115525;0.6845509;3.4345899;33.899998;-1.02;-30.179998;3.8426938;-6.4502788;9.768642;
-0.541303;0.6014732;2.5421157;33.6;-6.12;-29.46;7.1589622;-4.582502;12.476484;
0.1288162;-0.19265163;1.0082331;32.88;-9.66;-30.599998;12.826037;0.9768343;16.228498;
0.99929917;0.1970804;-1.393689;32.34;-11.04;-30.119999;7.218817;6.620267;16.877327;
1.0377837;-1.8340465;-0.7131852;32.88;-10.559999;-29.699999;-4.110844;11.911452;17.81346;
1.8801669;-2.9164999;0.68019843;31.26;-12.059999;-31.8;-9.8955345;14.310443;19.372084;
2.4207826;-2.7466793;1.0503827;25.619999;-16.38;-32.94;-10.609007;11.966519;15.510237;
3.008435;-1.8248836;0.98563105;21.18;-21.48;-34.02;-11.221923;6.0432644;11.652879;
2.3322072;-1.1871402;1.0424415;16.56;-27.42;-30.84;-7.034464;1.436521;5.090372;
1.6596445;-0.56650114;0.7162395;13.0199995;-31.8;-28.68;-2.825158;-1.5394717;2.767697;
1.1098658;-1.4229342;1.1255192;11.04;-34.739998;-25.56;2.0733786;-2.9472623;-1.3814543;
-0.24197899;-2.661158;1.5097535;7.08;-37.14;-24.24;3.821146;-2.4372973;-2.1164744;
-1.4392749;-1.8389335;0.77182823;0.53999996;-36.719997;-25.439999;7.819762;-1.2354081;0.7302315;
-1.7636443;-1.7430276;0.105374254;-3.48;-34.86;-29.22;9.565135;-0.019153614;3.7181952;
-1.5235742;-1.9867629;-0.6533204;-6.8999996;-32.52;-32.219997;10.8029375;2.2816741;6.0217166;
-1.3458124;-2.407649;-1.4645494;-8.22;-30.599998;-33.48;10.733505;3.1483753;7.1757216;
-1.1008556;-1.791286;-2.9666672;-10.139999;-28.859999;-34.86;7.843704;5.0568533;9.452607;
-0.8839984;-1.5389986;-4.01369;-7.98;-28.56;-36.239998;-0.15083471;7.3504987;9.948207;
0.5472589;-1.9220111;-2.9336803;-4.14;-27.9;-37.2;-12.703934;9.500492;9.31135;
0.5643631;-1.3984996;-1.0351112;-1.62;-28.439999;-35.219997;-11.442189;11.099818;2.3582888;
0.48372892;0.10239629;-0.66553766;-2.58;-30.539999;-33.899998;-9.019258;8.4231;0.5363012;
0.03352123;0.49823695;0.2049453;-0.53999996;-31.019999;-32.04;-5.3633113;4.7764325;-1.448492;
-0.4441754;0.6711118;0.36193767;0.53999996;-30.119999;-32.579998;-2.219425;1.2976574;-2.681506;
-1.7392097;1.3174073;-0.0143553335;0.48;-29.76;-34.14;-0.34237084;-0.61291564;-2.3558946;
-2.1252766;1.2532665;-0.30940324;2.46;-26.88;-36.96;0.009576807;-1.8746599;0.62488663;
-2.7868435;0.8507062;-0.5500842;5.52;-22.26;-38.7;-0.8571242;-2.6240451;2.707842;
-3.8216493;1.0797807;-1.6447546;6.8999996;-15.599999;-41.399998;-2.2361844;-2.6839;7.568371;
-3.184517;0.74441564;-2.5152376;11.16;-6.7799997;-43.86;-4.2544966;-2.267309;17.325043;
-3.2596533;0.048640147;-1.856114;13.32;1.86;-44.28;-3.751714;0.3878607;22.427086;
-3.7385716;-0.34658965;-2.345417;13.0199995;9.84;-44.399998;-7.891588;-1.127669;18.088793;
-3.6518288;-0.60804;-1.2483032;10.44;20.16;-42.239998;-6.5173163;6.8046207;30.46472;
-1.3274865;0.7981718;-0.68752885;8.4;27.66;-38.879997;-5.3657055;8.00651;21.00493;
0.08116872;1.082835;-1.1841623;9.0;31.08;-37.44;-1.5753847;5.8996124;14.391846;
0.3187953;0.42065707;-0.47861293;10.62;32.34;-37.62;-4.3981485;2.9400797;11.384728;
0.2589305;0.14210252;-0.10293079;8.58;31.019999;-36.42;-3.4979286;1.3455414;11.253047;
0.7213555;0.26488644;-0.28924468;9.96;30.539999;-36.36;-2.8491;0.22026655;11.585841;
0.85574585;0.28993192;-0.30024028;10.26;29.4;-37.86;-3.6104562;-0.94092125;9.610625;
0.7158577;0.0687987;0.15118915;10.32;27.48;-38.879997;-3.857059;-0.9576807;7.865252;
0.5081635;0.02115121;0.5018258;10.2;26.16;-39.899998;-3.6032736;-1.1324574;8.593089;
