gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.5839108;-0.044211373;0.46822822;10.26;29.939999;-35.399998;-5.4351373;-1.0223241;8.837297;
0.3206279;0.34613153;0.47250426;12.179999;28.68;-35.88;-6.024111;-0.7661445;7.939472;
0.19662225;-0.3038291;1.1365148;11.639999;27.72;-36.0;-6.7016697;-0.93852705;7.946655;
0.07078401;0.104228884;0.79504114;12.599999;27.24;-36.12;-8.504503;-0.093373865;7.000945;
-0.25175285;0.7822893;0.81336707;14.04;26.58;-35.46;-13.65922;-1.0702082;5.3872533;
-0.89255047;0.9728793;2.7278187;17.64;26.16;-35.76;-17.64826;-3.7373488;4.8267107;
-1.4753159;0.7053203;4.7229047;22.8;24.72;-33.42;-17.621923;-8.207623;5.782296;
-1.9585103;0.5446627;6.2732806;29.58;21.42;-31.019999;-12.2442465;-10.412683;11.090241;
-1.610928;0.6662249;6.402173;34.98;15.42;-29.4;-8.703222;-11.51641;12.715904;
-0.8418487;0.8329911;5.5946093;38.76;7.2;-26.16;-1.3144168;-9.514857;12.65605;
0.12454015;1.3259593;2.9336803;40.079998;-0.24;-24.6;3.8019924;-6.7351885;9.110237;
-0.6353762;0.19036089;1.9703459;40.739998;-5.58;-22.92;1.9560628;-5.741595;6.7256117;
0.44463354;-1.0661889;2.5793786;40.14;-9.3;-22.74;2.1859062;2.7222073;21.431097;
1.4684436;-0.94401586;0.2660318;37.68;-13.98;-23.939999;9.759066;13.053487;17.89965;
2.817234;-1.3221414;-0.4596761;36.6;-17.1;-24.0;-2.3463178;13.913005;18.656218;
2.1935408;-2.245159;1.0522153;35.579998;-21.06;-23.88;-6.6992755;12.000038;13.233052;
2.0823634;-2.728964;1.4926492;30.599998;-25.32;-23.16;-7.522881;9.383176;13.671191;
2.35542;-2.4724007;1.2055426;25.619999;-28.98;-23.76;-5.1526213;4.572925;8.219594;
1.5698473;-2.475455;1.026559;20.1;-34.079998;-23.46;-4.5537715;1.7764976;4.570531;
1.0206795;-2.8358655;1.4731015;14.5199995;-36.3;-22.56;-3.6583402;-0.36870706;2.348712;
0.15997034;-2.376495;1.3423764;8.4;-37.5;-22.02;-2.0039468;-0.6344634;-0.8355764;
-0.80214244;-1.8224401;1.0571023;2.22;-39.42;-22.199999;0.8379706;-0.045489833;0.8810662;
-0.917596;-2.2372177;1.4083499;-1.68;-38.1;-24.119999;5.4638677;0.9696517;1.6376339;
-1.0409907;-1.4889077;0.18784106;-7.7999997;-36.48;-25.08;9.495703;2.908955;2.4708161;
-1.3616949;-1.433319;-0.48288897;-10.559999;-35.64;-26.88;11.205163;3.0478187;1.0486604;
-1.7202729;-2.2390501;-0.9398162;-11.04;-33.66;-28.5;10.072706;4.259285;5.8277864;
-1.6280322;-1.8981874;-2.0845776;-13.38;-32.219997;-31.08;7.867646;5.480627;7.4295073;
-0.8504008;-1.5310574;-2.866485;-12.3;-31.56;-31.92;2.80361;7.144597;9.524434;
-0.31467196;-2.4113142;-2.028378;-7.98;-32.1;-31.679998;-7.319374;7.0871363;6.438308;
-0.24564418;-1.7247016;-0.8689558;-7.14;-32.579998;-31.26;-5.933131;7.8365216;1.8579005;
-0.5791766;-0.5768859;-0.7816021;-8.22;-32.52;-30.48;-5.832575;6.6274495;0.49799395;
-1.1546117;-0.044211373;-0.07544186;-9.179999;-32.219997;-31.5;-5.3561287;4.7907977;-0.33997664;
-1.1967614;0.55443656;0.45845437;-9.36;-29.22;-33.42;-2.1404164;3.193865;1.4077905;
-1.3152692;1.1982886;0.070554934;-9.48;-27.42;-34.98;-0.80924016;1.6160861;-0.7733272;
-2.0861812;1.237384;0.105374254;-6.48;-23.58;-37.8;-0.9672575;1.2449849;3.857059;
-2.567543;1.4695127;-0.61727935;-4.02;-19.98;-39.96;-0.31603462;1.2617443;4.9155955;
-2.8155544;2.148795;-1.0516045;-0.53999996;-12.96;-42.18;-2.1188686;0.8882488;11.760618;
-3.216282;1.5391513;-1.3680327;3.54;-7.2599998;-44.579998;-2.0350714;0.92416185;11.554717;
-3.30669;1.6503289;-1.9795089;9.059999;1.02;-45.12;-2.743755;1.1372458;16.800713;
-3.2297208;1.1897364;-1.7150042;11.04;8.34;-42.719997;-5.5811834;0.46686932;17.463905;
-3.1362586;0.9771553;-1.4724907;13.74;16.38;-41.28;-5.2890906;-0.031124622;16.465523;
-2.7312548;0.17692184;-0.14752395;13.08;25.859999;-37.26;-5.5309052;-0.09816227;17.30589;
-2.8650343;-0.37713292;0.9245446;15.42;31.8;-33.059998;-2.4013844;1.7381904;20.250757;
-0.2120466;0.04558582;-0.5513059;15.12;35.04;-30.599998;2.3439236;3.9480386;20.832548;
0.94309956;0.9185122;-1.8732183;14.04;35.04;-29.88;-4.2784386;-0.6895301;10.869975;
0.6052911;0.29604056;-0.7473936;13.38;34.8;-30.96;-5.7032876;-1.6160861;9.502886;
0.10682506;0.34185547;0.44990227;12.66;33.48;-30.779999;-4.256891;-2.2744915;8.449437;
0.112322845;0.14515686;0.59223384;13.5;33.78;-31.26;-2.6431987;-2.456451;9.62499;
0.3029128;-0.13950635;0.4083634;15.059999;33.42;-31.38;-2.6839;-2.4827871;8.854057;
0.1905136;0.13416128;0.063224554;14.82;32.1;-32.46;-3.0430303;-2.0853498;8.925883;
