gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.095371336;0.03520111;-0.003970624;-33.54;6.18;-24.96;4.9395375;3.9336734;7.3481045;
0.038408153;-0.029550606;-0.04184427;-34.739998;7.14;-25.8;5.0975547;4.0222588;8.698434;
0.31818444;-0.080252424;0.1572978;-34.2;5.7599998;-26.46;4.1419687;4.367024;8.78702;
0.32673654;-0.077198096;0.14385876;-34.2;6.06;-25.439999;4.0198646;4.759673;8.772655;
0.41836634;-0.6275877;-0.20616703;-34.26;5.8199997;-25.619999;3.4715924;4.5681367;8.904335;
-0.20593795;-0.33437237;-0.18845193;-34.8;4.38;-23.88;2.456451;3.3806129;10.541969;
0.40920335;-0.372246;-0.008246681;-35.28;3.36;-24.3;1.2904748;1.388637;13.652038;
1.0261773;0.7554112;0.90316427;-36.36;-0.35999998;-24.72;0.93134445;-0.866701;14.9787245;
1.5515214;2.4041364;1.5989398;-35.579998;-0.9;-26.76;2.7964275;-2.6072857;14.49719;
2.613816;2.4114668;2.3985624;-30.42;-0.53999996;-29.46;5.746383;-3.4093432;13.592182;
3.2924874;2.542803;2.7204883;-27.9;-1.3199999;-32.52;9.292196;-2.5809495;10.743082;
2.9155834;2.6161067;2.2360723;-24.0;-3.6;-34.559998;11.406276;-1.6663644;7.0081277;
2.350533;2.1946096;1.8438967;-20.52;-7.2;-34.739998;11.413459;-0.533907;3.9552212;
2.6761243;1.9753091;1.2409728;-17.94;-9.3;-36.239998;13.750199;5.4734445;1.0295067;
2.5423448;0.87086475;0.7761043;-14.759999;-12.599999;-33.84;11.765407;8.528446;-5.492598;
1.8172477;-0.60865086;0.20005837;-13.62;-17.58;-32.34;11.296143;13.61373;-5.9714384;
1.7017943;-1.632461;-0.6722572;-15.24;-21.539999;-30.72;7.7886376;21.026478;-1.4700398;
1.861841;-2.1962895;-1.0118983;-15.78;-23.76;-26.939999;11.73907;25.13762;7.278672;
2.2766185;-1.5499942;-2.9599476;-17.279999;-28.26;-22.68;10.649709;18.09837;5.444714;
1.2961797;-1.6471218;-2.7785206;-15.12;-33.3;-17.039999;4.9012303;9.416695;7.2092404;
0.9779189;-1.2024119;-1.7974709;-10.98;-37.5;-13.38;3.6248214;2.396596;7.4079595;
2.6064856;-1.1987467;-0.8707884;-7.2599998;-40.62;-9.12;1.5298948;-0.7062895;4.898836;
2.7830257;-1.0784062;-0.5012149;-4.98;-42.78;-3.36;1.5059528;0.21308395;-5.7272296;
0.15386169;-1.4345406;-0.11759156;-4.38;-42.84;2.58;3.2010477;1.6400281;-6.7327943;
0.5350416;-1.4553101;0.07544186;-4.2;-43.86;3.6599998;2.6839;3.0693667;-4.8003745;
0.9363801;-2.1590269;0.6081163;-3.06;-45.66;5.7599998;2.3582888;4.259285;-8.128614;
0.80260056;-2.7808876;1.0906999;-4.98;-44.16;7.9199996;2.27928;6.124667;-9.632173;
-0.0019089539;-3.427794;1.0888673;-7.5;-43.62;11.04;4.8578353;8.114249;-10.565911;
-1.6213127;-3.7649915;1.0687088;-9.24;-42.84;11.58;5.2507834;7.927501;-2.3415294;
-1.3879622;-3.5218673;1.112691;-10.26;-43.02;9.96;4.6375685;11.025599;10.04637;
-0.6311002;-1.9458349;0.08399397;-12.36;-42.3;9.12;1.553837;11.990461;14.820707;
-0.3910301;0.054748796;-0.3539964;-11.94;-42.36;9.059999;-3.6248214;8.20044;10.302549;
0.36949712;0.6533967;3.0543262E-4;-10.98;-42.48;7.2;-4.3263226;5.3106384;5.6051254;
1.2686907;0.6314056;0.605062;-11.7;-42.36;8.7;-4.355053;3.241749;-0.56982;
-0.4441754;0.47441322;1.1340714;-13.32;-42.239998;10.38;-2.195483;2.861071;-5.2244473;
-1.7508161;0.6173557;1.2654073;-15.059999;-40.86;9.3;-0.5315128;1.127669;-1.2042835;
-0.9347002;0.2111303;2.5390613;-18.48;-40.079998;4.7999997;1.1228806;1.3503298;2.255338;
-1.2065352;0.47502407;2.5158484;-24.9;-36.36;2.46;5.0233345;3.0430303;0.1388637;
-1.4630986;0.22640193;3.814548;-29.699999;-32.219997;-1.02;6.16058;2.8491;4.94672;
-0.35010216;-0.08697194;3.3307428;-35.04;-26.099998;-3.1799998;11.090241;7.036858;1.1468226;
-1.3171018;0.20868684;3.4394767;-40.5;-18.779999;-3.54;15.457564;9.902718;2.2649148;
-2.4215462;0.31619912;2.037541;-44.16;-11.639999;-5.58;16.958729;12.768577;3.8522706;
-2.5223389;-0.07658723;1.5690074;-44.879997;-6.3599997;-8.7;14.075811;12.900258;6.2132525;
-1.0226648;-0.15538885;0.79137594;-45.0;-0.71999997;-9.36;11.312902;11.566688;7.4462667;
-0.4631122;0.22273675;0.64660084;-44.94;1.26;-10.139999;9.988909;9.2586775;6.692093;
0.0017562376;0.22029328;0.22876903;-44.34;2.8799999;-8.7;9.411906;7.621043;4.3239284;
-0.46983173;0.41454843;-0.24404067;-44.399998;4.38;-9.599999;8.521263;6.002563;4.462792;
-0.5089271;0.49396092;-0.3313944;-44.82;4.08;-10.62;8.336909;4.934749;4.675876;
-0.5480225;0.41271582;-0.6215554;-43.68;4.08;-11.46;8.083124;4.232949;4.642357;
-0.34155002;0.35040757;-0.4718934;-43.5;3.3;-13.08;7.1374145;3.4165258;4.685453;
