gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.016417004;-0.28122708;-0.1414153;-27.66;-2.1;-34.2;3.107674;5.3680997;6.9363017;
-0.51503575;-0.92813337;-0.5635232;-26.4;-1.5;-33.3;4.211401;6.0193224;6.914754;
-0.18639025;-1.0784062;-0.42363504;-28.5;-0.59999996;-33.36;2.5091233;4.831499;8.078336;
-0.106977776;-2.2023983;-0.03145956;-29.4;-2.22;-31.679998;2.4995465;4.735731;10.082283;
1.1776718;-2.911002;-0.37415496;-33.239998;-3.8999999;-28.38;2.7868507;5.234024;8.90673;
-0.0819323;-0.7241044;-0.12370021;-36.6;-10.5;-25.74;0.641646;2.6192567;11.114183;
0.29497156;0.38705948;0.35888332;-38.579998;-14.34;-23.64;0.6464345;-0.45489833;18.158224;
1.036562;2.5079837;1.1383474;-37.44;-14.759999;-25.32;-0.842759;-2.1763294;18.53172;
0.98097324;3.1732159;1.8237382;-36.0;-13.98;-29.64;0.37110126;-7.8580694;22.637775;
3.1055624;3.666795;3.0198123;-31.32;-12.0;-33.78;12.37114;-6.134244;20.24118;
3.4470363;4.2715516;3.1493158;-27.66;-12.719999;-38.46;17.427992;-3.6870706;12.948142;
2.749428;4.598975;2.79929;-20.58;-16.02;-40.559998;19.376873;-1.1085154;5.942708;
2.7964647;3.3693037;1.8817704;-15.48;-18.539999;-43.02;18.031332;3.727772;-3.8115692;
0.60284764;2.0009654;1.1242975;-9.78;-22.26;-42.239998;14.530709;6.53647;-7.580342;
0.69447744;0.69310296;0.85918194;-7.98;-22.26;-42.48;12.1245365;7.154174;-2.4971523;
0.5154939;-0.055817813;0.8512407;-6.8999996;-23.64;-42.36;5.928343;8.933065;-5.2531776;
0.93821263;-1.2580006;-0.03145956;-8.639999;-24.42;-41.94;6.718429;16.01302;0.8523358;
0.08972083;-1.564655;-0.47678033;-11.16;-26.46;-39.84;5.2268414;23.798964;6.965032;
1.7744871;-0.9825004;-1.997224;-12.54;-27.48;-38.64;6.4598556;24.63484;11.791742;
2.9778917;-0.87437725;-2.5549438;-11.099999;-31.8;-36.059998;7.4534492;20.473417;11.569082;
4.291863;-1.1132256;-2.862209;-8.58;-38.82;-30.24;7.826945;14.5762;8.322544;
1.7366135;-1.2262356;-3.2867606;-3.4199998;-44.28;-22.02;7.984962;7.3481045;3.2848446;
1.5680147;-0.3862959;-2.0613647;3.06;-46.5;-16.68;1.1659763;-2.4636335;9.20361;
2.246686;-1.0918453;-1.3973542;8.4;-49.2;-12.9;2.123657;-3.3997664;2.3870192;
1.2937362;-0.72654784;-0.7174612;12.24;-49.739998;-7.08;-1.769315;-4.1419687;-0.4333505;
1.1288027;-0.4986951;-0.055283304;13.679999;-49.92;-3.8999999;-3.7062242;-3.0597897;-4.2640734;
1.0225121;-0.5793293;0.8744536;13.799999;-50.7;-2.58;-3.2393548;0.35673606;-7.4558434;
1.2955688;-1.3019829;1.7931949;10.2;-50.46;-0.06;-1.2808979;2.6910827;-9.608231;
0.034742963;-1.8749745;1.6673567;6.3599997;-50.1;2.28;1.4580688;5.040094;-12.864345;
0.4434118;-3.1028137;2.0931299;2.7;-50.28;2.9399998;3.4213142;8.55957;-11.772589;
-0.11308643;-3.5206454;1.4834863;-1.38;-50.46;3.78;6.9913683;13.833997;-10.577883;
-1.9768363;-3.5072064;0.73456544;-4.14;-49.44;2.8799999;4.9778447;13.745411;1.6759412;
-0.4209625;-2.9360476;0.40469822;-4.8599997;-50.219997;0.35999998;0.533907;12.766183;10.137349;
-0.53458345;-1.6434566;0.08155051;-6.12;-49.559998;-1.92;-2.7605145;10.76463;11.815684;
-0.09353874;-0.89148146;0.10598512;-5.8199997;-49.32;-1.92;-5.195717;8.377611;8.8684225;
0.0035888334;0.055970527;0.30085114;-5.4;-49.739998;-1.56;-4.1395745;6.2515597;5.9115834;
0.15080735;0.17753272;0.4089743;-6.8999996;-49.86;-1.62;-2.7389667;3.4739866;0.61530983;
-0.6799694;0.7205919;0.74067414;-8.28;-48.78;-1.56;-2.6288335;-2.6647465;-0.7613561;
-0.51503575;0.51289773;2.1389446;-11.28;-47.46;-4.2;1.1851299;-5.183746;1.8602947;
-0.49182287;0.49151745;3.4278703;-16.619999;-46.739998;-5.94;3.892972;-3.2393548;1.6017209;
-1.1882093;0.3907247;3.4626896;-24.42;-41.46;-7.02;8.600272;3.0334535;1.9440918;
-1.0965794;0.14026994;3.8768563;-31.08;-37.32;-10.32;11.291354;11.114183;3.940856;
-2.2578342;-0.21097758;3.320358;-36.239998;-29.76;-12.719999;14.463672;18.39525;3.277662;
-2.7715719;-0.21708624;2.0631974;-40.32;-22.439999;-15.599999;15.155895;19.125483;6.8764467;
-1.1173489;-0.22930354;1.1291844;-42.42;-18.18;-17.039999;11.669639;15.400104;8.27466;
-1.0006737;0.04314236;0.5873469;-42.48;-13.62;-17.58;9.232341;12.759;5.4111953;
-0.11919508;-0.0894154;0.12980886;-43.62;-12.3;-17.88;8.466196;10.601825;4.307169;
-0.04466952;0.07368562;-0.122478485;-43.86;-12.059999;-17.52;7.853281;8.24593;4.8123455;
0.38293615;-0.08208502;-0.1414153;-44.46;-12.42;-17.699999;6.572383;6.620267;4.235343;
0.0023671028;0.039477166;-0.19456059;-43.86;-12.54;-17.039999;7.178116;6.1749454;3.6535518;
