gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.22059871;-0.17066048;0.062002823;-26.34;8.28;-36.239998;3.4691982;3.2632968;8.456619;
-0.031230485;-0.22014056;0.0070249503;-25.38;8.639999;-36.18;4.050989;3.5242648;10.10383;
0.14347698;0.44814602;-0.009468411;-26.34;8.34;-36.84;3.145981;3.1914709;9.591472;
-0.38736492;-0.04970916;-0.015577064;-25.199999;7.8599997;-37.32;-0.61291564;3.5673606;8.995315;
-0.0092393365;-0.29405525;0.6221663;-24.539999;9.24;-36.3;-1.2545617;1.5825673;14.231434;
0.7360163;-0.036270123;0.8940013;-25.98;7.3799996;-37.44;-5.916372;0.5363012;14.957176;
1.5961145;1.3949871;1.751656;-27.84;4.92;-36.12;-9.02644;-4.280833;18.60594;
2.5661685;2.6075547;3.3429601;-26.76;3.78;-38.04;2.9999347;-4.27365;16.166248;
2.7585912;1.6289486;2.9513955;-22.08;3.24;-41.28;8.767866;-4.355053;11.959337;
2.908864;2.4413993;2.173764;-17.76;-1.0799999;-43.44;11.212346;-4.405331;7.937078;
2.400624;1.6399441;2.667954;-14.58;-5.04;-45.18;10.2618475;-2.5115175;3.5170822;
2.1361194;1.1817951;1.8359555;-10.8;-9.78;-45.78;17.198149;4.6662993;-1.4221559;
0.0603993;0.4536438;0.08155051;-9.54;-11.88;-45.059998;12.062287;5.696105;-2.5019407;
-0.07826711;-0.73204565;0.090713486;-8.639999;-12.96;-45.0;11.176433;12.136508;5.315427;
1.7805958;-1.0423652;-0.7144069;-9.12;-14.58;-45.3;10.192416;21.919516;8.866028;
3.135495;-2.538985;-1.2024882;-11.219999;-18.359999;-42.719997;12.998421;24.05275;14.408606;
2.4311674;-1.4204907;-3.1554244;-14.5199995;-25.26;-38.94;12.457331;15.90528;17.269976;
3.447647;-1.5732071;-3.4455855;-12.3;-33.3;-33.42;7.91553;3.821146;17.344196;
3.3273067;-0.55122954;-2.8041768;-9.599999;-39.719997;-27.0;3.9983168;-2.171541;8.942642;
3.4702492;0.09506591;-1.0332786;-4.92;-44.52;-19.14;-1.8746599;-5.2364182;1.484405;
1.8312976;-0.9495137;-0.39736784;-1.4399999;-47.46;-11.94;2.15957;-2.0566192;-7.264307;
1.2454779;-1.4192691;0.09315695;-1.5;-49.8;-8.04;0.6823475;-1.9895816;-4.015076;
1.4562263;-2.1938462;1.0259482;-1.26;-50.82;-4.56;2.1906946;0.30406362;-7.266701;
1.290071;-2.3771057;1.666135;-4.62;-50.28;-0.12;2.9352913;2.6264393;-9.742306;
0.18257235;-3.414355;1.9495764;-8.5199995;-49.86;3.84;5.0496707;5.2531776;-12.347198;
-1.3989577;-3.7790415;1.6368134;-12.179999;-50.28;5.16;8.219594;8.202834;-8.413524;
-2.6481771;-3.5695148;0.63255095;-13.5;-48.42;4.2;8.312967;10.2139635;1.0031705;
-1.5736653;-3.2097151;-0.030848695;-14.219999;-48.42;0.53999996;2.801216;10.197205;9.32332;
-0.97929335;-2.0435734;-0.18234327;-13.74;-48.6;-1.38;-1.1420342;10.36001;10.860398;
-0.6567565;-0.9189704;-0.27885997;-13.38;-48.36;-2.3999999;-3.8977604;7.5564;9.344869;
0.4434118;-0.13461943;0.74067414;-13.559999;-48.059998;-3.36;-5.279514;3.6008794;7.1398087;
0.49533537;0.2270128;1.0430524;-14.4;-47.7;-1.62;-2.516306;1.1300632;1.8794483;
0.39820778;0.9301187;1.8719965;-18.66;-47.039997;-0.9;-2.1763294;-1.6950948;1.5251064;
0.14775303;0.55504745;2.1071796;-22.08;-44.64;-1.26;0.7302315;-2.7820623;-0.02873042;
-1.7459292;1.4878386;2.9471195;-25.98;-41.7;-2.1599998;2.0087352;-4.185065;2.1045034;
-2.223626;1.032744;4.1566324;-32.219997;-37.38;-7.9199996;5.8397574;-2.719813;3.5769374;
-0.33299792;0.05963572;5.4260106;-38.34;-27.72;-12.059999;22.314558;8.640973;6.8165917;
-2.5498278;0.9533316;2.9477303;-43.079998;-16.98;-13.74;22.455816;14.0351095;3.5793316;
-2.8772516;0.6161339;1.7015651;-44.34;-8.34;-16.8;19.051262;12.943354;8.789413;
-1.1662182;0.44020477;1.3680327;-45.48;-2.7;-17.94;15.42644;11.315296;8.949825;
-0.92431545;0.30764702;0.818254;-43.98;1.56;-19.68;13.223475;9.435848;3.821146;
-0.7752644;0.4084398;0.24098633;-43.739998;4.02;-19.439999;10.606613;7.0392523;5.0353055;
-0.25847235;0.19036089;0.2275473;-43.68;5.58;-20.34;9.198822;5.4518967;5.114314;
-0.3488804;0.285045;-0.26847526;-40.44;5.46;-20.22;9.689633;5.0233345;4.8243165;
-0.53763777;0.35162932;-0.569021;-41.579998;4.7999997;-20.939999;8.724771;3.9863458;5.5309052;
-0.20960313;0.55321485;-0.713796;-40.379997;4.68;-20.82;8.53084;3.1387985;6.110302;
-0.13629931;0.4078289;-0.46883908;-40.32;4.38;-22.32;7.2331824;2.6623523;5.4016185;
0.14103352;0.2764929;-0.4633413;-40.559998;2.7;-22.619999;7.3145857;2.7126305;5.0209403;
-0.070936725;0.3290273;-0.35460728;-40.2;2.6399999;-23.88;7.305009;2.4851813;5.0017867;
0.021303926;0.35468364;-0.21655174;-39.48;1.86;-24.119999;6.988974;2.4133554;5.5955486;
