gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.27786732;0.4169919;0.1151481;-36.96;9.66;-26.34;5.7870846;2.4708161;8.437466;
0.109268524;0.2551126;0.38820487;-36.54;8.7;-27.539999;4.6806645;2.2098482;8.159739;
0.5765804;-0.62147903;0.7333437;-36.42;9.42;-27.42;2.3678656;1.9273324;10.2618475;
0.4537965;-0.06620252;0.58184916;-37.14;8.5199995;-27.66;3.157952;1.2521675;11.760618;
0.7439575;0.6130796;1.8322903;-36.3;8.04;-28.14;0.10534488;-1.1228806;15.89331;
2.1031327;1.9184986;2.3472497;-34.92;7.9199996;-30.179998;0.85473;-2.942474;15.742475;
3.3425782;2.460947;2.771801;-31.019999;8.58;-33.719997;6.646603;-3.9145198;15.902886;
3.4739144;2.157347;2.6777277;-25.14;7.02;-38.879997;7.7862434;-3.8977604;12.567464;
3.865479;2.3033438;2.3576343;-19.26;2.7;-42.12;10.987291;-4.0198646;11.741465;
2.6144269;2.3418283;1.6142114;-14.5199995;-2.58;-43.92;12.026375;-1.8938135;7.1278377;
2.2167537;1.8458056;1.1194105;-10.26;-6.48;-44.579998;10.692804;-1.1899183;4.486734;
1.0121274;1.4872278;0.41508293;-6.06;-11.4;-44.94;8.933065;-0.29209262;1.4508862;
0.47639853;0.67538786;0.45845437;-4.62;-13.259999;-44.64;8.5476;1.400608;2.2098482;
0.66026896;0.17753272;0.4810564;-3.06;-14.219999;-44.82;8.968979;4.759673;4.673482;
0.9876927;-0.33620495;-0.03268129;-1.9799999;-15.839999;-44.1;8.839692;10.659286;3.5529952;
0.75006616;-1.1706469;-0.74067414;-3.48;-18.18;-42.899998;10.22354;15.9340105;3.2585084;
1.2039391;-2.3691645;-1.2953397;-4.98;-19.32;-42.18;11.751041;17.894861;10.506057;
3.234455;-2.085723;-1.6862935;-7.56;-24.359999;-39.36;14.48522;18.493412;6.9003887;
1.8129717;-2.824259;-2.898861;-9.48;-29.34;-35.28;11.803714;15.210962;3.5051112;
2.2259166;-3.070438;-2.7015514;-9.0;-35.1;-30.24;12.629713;12.632108;14.360721;
1.9870683;-2.4100924;-3.2727106;-8.04;-40.44;-24.3;7.843704;5.2507834;9.526828;
2.102522;-2.4925592;-2.4107797;-3.54;-44.16;-21.18;-0.48362875;1.6663644;6.038476;
1.6016123;-1.6495652;-1.5158621;-0.24;-48.059998;-17.699999;0.10534488;1.2162545;6.4574614;
2.0622046;-1.7381407;-1.357648;1.9799999;-49.86;-13.74;0.7685388;0.58897364;5.123891;
0.6547712;-0.22441661;-0.9868528;5.3399997;-50.28;-9.36;-8.497321;-3.881001;3.1675289;
1.462335;-0.55061865;-0.17928895;8.22;-51.66;-5.7599998;-2.1667526;0.5482722;-2.2361844;
0.36338845;-0.19570595;0.19211712;7.14;-51.66;-3.24;-4.333505;1.532289;-6.016928;
0.0603993;-0.31299207;0.64599;7.5;-51.899998;-2.22;-3.074155;1.2018893;-6.4933743;
-0.6830237;-0.6697374;1.1242975;6.96;-50.64;-2.34;-0.2801216;0.12689269;-4.879383;
-1.7868572;-0.46631926;1.0900891;3.12;-50.879997;-4.56;0.23942018;-2.5809495;-3.5170822;
-1.6078737;-1.1413254;1.9532416;-0.53999996;-49.86;-9.24;0.78529817;-4.9898157;-0.61770403;
-0.38675407;-1.976989;3.8676932;-6.24;-48.0;-12.179999;6.8979945;-2.6048915;-0.39025488;
-2.8467083;-1.5121206;4.2079453;-15.66;-45.12;-12.48;10.113407;-0.85473;-1.9201498;
-2.717205;-2.3819926;5.029559;-24.9;-38.579998;-16.14;19.441517;3.4261026;5.11192;
-3.8613555;-2.2060635;4.581184;-34.98;-28.26;-18.3;23.901915;10.352827;17.492636;
-1.5260178;-1.2634984;3.1584787;-41.04;-18.96;-18.06;19.755157;16.798317;17.439964;
-1.9175824;-0.08819367;2.0778582;-44.52;-9.0;-15.66;10.963348;12.943354;12.385505;
-0.9701304;-0.06375906;1.3301591;-44.34;-3.72;-16.98;11.851598;12.210728;6.742371;
-0.8785006;0.016264288;0.8206975;-44.64;-0.17999999;-16.8;11.801319;9.86441;5.3393693;
-0.6738607;0.14943291;0.44257188;-44.399998;3.3;-16.08;10.783784;7.747936;6.330569;
-0.5626832;0.3039818;-0.09437868;-45.239998;3.54;-16.44;9.5292225;6.0815716;5.0568533;
-0.106977776;0.44203737;-0.121256754;-44.52;4.38;-17.699999;9.354445;4.7261543;5.076007;
0.07383834;0.27404943;-0.31245756;-44.04;3.36;-17.76;9.117419;4.110844;3.4356794;
-0.29940033;0.38950294;-0.35338554;-43.98;4.38;-18.3;8.961796;3.4715924;3.394978;
-0.18883371;0.29970577;-0.36865717;-43.559998;3.12;-20.22;8.250718;2.7629087;3.2944214;
-0.20899227;0.10056369;-0.28924468;-43.2;1.86;-20.039999;8.408735;2.8514943;3.809175;
-0.5632941;0.6143014;-0.20433442;-43.379997;2.22;-20.52;8.265083;3.0238767;4.146757;
0.08972083;-0.09552405;-0.4633413;-43.86;2.76;-21.539999;8.806173;2.9640217;4.9730563;
-0.5474116;0.40049854;-0.34605515;-42.719997;2.04;-21.539999;7.889194;2.8658595;3.4691982;
-0.34216088;0.22640193;-0.36743546;-42.54;1.5;-21.18;8.133403;2.8634653;4.8027687;
