gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.6052911;0.22212587;0.06627888;11.16;-1.02;-48.84;-5.11192;4.8745947;9.2107935;
0.85330236;0.40538543;0.2678644;10.98;-2.04;-48.96;-6.9554553;4.920384;8.662521;
0.7366271;0.330249;0.763887;11.82;-4.8599997;-48.36;-6.232406;5.018546;6.3521166;
0.6724863;0.8830821;0.3454443;12.66;-6.6;-47.76;-8.475773;4.6471453;6.668151;
0.5594762;0.8983537;1.0705414;13.92;-8.04;-47.579998;-10.2379055;2.918532;3.8498764;
0.32856914;1.2477686;1.1371256;16.26;-11.219999;-46.02;-11.672032;2.3343468;4.369418;
-0.296346;2.5977807;0.926988;17.82;-11.7;-44.879997;-14.863803;0.90740246;2.3702598;
-1.0269408;3.1573334;1.6832392;22.14;-12.3;-43.379997;-16.625935;-0.7493851;4.673482;
-1.5980998;3.7865245;2.5292876;27.539999;-11.759999;-39.12;-15.977106;-1.0965444;10.118196;
-1.8369482;4.423046;2.9135218;31.98;-13.0199995;-36.239998;-12.917017;-1.3192052;13.204322;
-1.9352975;4.3350816;2.944065;35.399998;-15.48;-30.3;-8.24593;-1.2737153;15.304336;
-2.0385337;4.1273875;2.7724118;38.46;-18.24;-24.66;-5.078401;-0.007182605;15.275605;
-1.0446559;2.714456;2.3435845;39.3;-21.9;-18.48;4.5178585;3.5194764;16.03696;
-0.5987243;2.320448;0.31245756;38.64;-25.859999;-16.199999;2.815581;4.6830587;11.375152;
-0.23525947;1.0309114;0.88422745;39.36;-26.279999;-12.3;3.490746;5.1095257;9.778219;
-0.4631122;0.013820826;1.2189816;38.46;-28.5;-11.219999;4.548983;8.00651;8.674492;
-0.1381319;-0.8505535;0.45540005;36.899998;-30.179998;-11.82;3.9911342;13.604154;8.746318;
0.42569673;-1.1993575;0.1432479;35.219997;-31.199999;-13.38;-2.3008277;17.348984;10.221147;
1.0915399;-1.9501109;1.7296649;33.96;-31.98;-15.059999;-2.992752;17.54531;9.361628;
1.5374714;-2.488894;2.0167716;30.359999;-34.8;-15.54;-0.92416185;17.12393;10.45099;
2.2894466;-2.7136924;1.1261301;24.48;-38.879997;-16.32;-2.3750482;15.155895;9.608231;
2.0524309;-2.9549842;1.4413365;20.52;-41.579998;-14.099999;-8.569147;12.835614;9.239524;
1.9345338;-2.240272;2.0076087;16.32;-43.98;-12.719999;-9.888352;7.609072;0.80445176;
1.3548228;-2.0667863;2.2317963;11.04;-45.899998;-9.3;-3.679888;3.9576154;-1.8100165;
0.48372892;-1.6819412;1.4816537;5.22;-49.079998;-6.8999996;-1.9153614;2.44448;1.1971009;
0.72379893;-1.6422348;1.5097535;1.74;-49.2;-5.7599998;-0.1388637;0.5793968;-3.3255463;
0.08544478;-0.96539617;0.3930918;-1.4399999;-49.5;-4.3199997;0.7086837;0.39983168;-0.81402856;
-0.13324498;-0.63980496;0.082161374;-3.0;-49.739998;-3.36;0.107739076;-1.8459295;-3.3303347;
-0.3665955;-0.32337677;-0.20922135;-3.72;-49.5;-2.8799999;2.0015526;-1.091756;-2.8993783;
-1.3836862;-0.43272167;0.14202617;-2.1;-49.079998;-4.2;4.5753193;-0.25139117;-3.1411927;
-1.842446;-0.5603925;-0.43218717;-2.58;-49.079998;-8.04;7.118261;1.1204864;0.38067806;
-2.1002312;-0.5451209;-2.0418172;-1.26;-46.739998;-11.759999;4.9874215;2.4396915;2.7581203;
-2.7611873;-1.2537246;-2.0173824;3.06;-45.18;-17.22;2.2840683;2.5785553;7.343316;
-2.7324767;-1.2696071;-3.1010575;6.96;-42.84;-22.26;-2.1859062;1.6519991;6.407183;
-3.3073008;-1.9140699;-2.1536055;12.12;-38.219997;-27.96;-4.3287168;3.169923;12.375928;
-3.4746778;-1.7619644;-3.565315;12.599999;-31.199999;-35.64;-7.975385;5.7008934;13.034333;
-3.347007;-2.5231025;-3.1627548;14.4;-23.76;-42.12;-10.537181;7.214029;17.3011;
-2.4685829;-1.3600152;-2.8011227;13.08;-14.28;-45.84;-18.950705;9.986514;12.703934;
-1.8937587;-0.9788352;-1.0644327;11.639999;-8.22;-47.76;-13.453319;13.256994;14.0829935;
-1.2541827;-0.24701864;-0.49754974;9.84;-2.52;-48.96;-7.4534492;13.280936;12.560282;
-0.24258986;0.09323331;-1.0051788;9.78;-0.35999998;-49.14;-5.9977746;10.216358;10.932224;
0.20150918;0.26061037;-0.9324858;9.719999;0.78;-49.2;-4.8841715;7.7096286;8.169315;
0.17524196;0.025427265;-0.44929138;10.44;1.14;-49.26;-4.8099513;6.6849103;9.507674;
0.40920335;0.07979427;-0.1255328;9.24;1.38;-49.079998;-4.2999864;5.71047;8.832509;
0.4818963;0.14393513;-0.01985312;10.139999;0.24;-49.2;-4.3287168;4.7189717;9.052776;
0.44646615;0.027870728;0.30451632;10.74;-0.59999996;-48.96;-3.6056678;3.8977604;7.616255;
0.31451926;-0.011835515;0.30451632;10.26;-1.92;-49.62;-3.2249897;3.9240966;8.164527;
0.17890716;-0.0753655;0.37110063;10.559999;-2.7;-49.14;-3.1268275;3.7828386;7.616255;
0.34628424;0.20502165;-0.06383542;10.38;-3.6;-49.62;-2.4899697;4.6950297;8.957007;
0.35056028;0.19769126;-0.1255328;10.98;-5.4;-48.42;-3.3566709;4.817134;7.7455416;
