gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.028634308;-0.33620495;0.0852157;-39.42;-5.94;-23.039999;5.327398;4.003105;6.8477163;
-0.014737124;-0.123623855;-0.1328632;-38.76;-6.48;-23.039999;6.512528;4.735731;6.562806;
0.04268421;-0.10835222;-0.1151481;-38.28;-6.2999997;-23.4;5.897218;4.6926355;6.706458;
0.09705122;-0.033826664;-0.0015271631;-39.48;-6.6;-23.64;4.8219223;4.757279;8.097489;
0.3804927;0.23495404;0.2733622;-40.92;-6.8999996;-22.26;3.833117;4.465186;9.292196;
0.009697486;0.64301205;-0.013133603;-39.239998;-6.7799997;-23.4;0.9696517;3.4955344;12.177209;
0.70791644;1.6900351;0.58551437;-38.1;-6.8399997;-24.359999;-1.4197617;1.3934253;17.593193;
1.2357041;2.5501332;1.1047498;-35.399998;-6.66;-27.84;-2.7485435;-1.0319009;20.590733;
1.7085137;3.5317938;1.5598444;-32.28;-6.7799997;-31.439999;0.45489833;-2.8993783;18.984224;
1.6791922;4.4499245;2.6148088;-27.3;-6.2999997;-36.12;5.358523;-6.6657567;22.73115;
2.966896;4.8451543;3.4437528;-20.939999;-6.48;-39.719997;14.722545;-5.2866964;17.983448;
2.519132;4.995427;3.1908545;-12.0;-8.46;-43.559998;16.546926;-3.6367924;11.217134;
1.7427222;3.9154172;2.028378;-4.2;-12.059999;-44.399998;16.678608;1.8124107;3.3734303;
0.71341425;2.9520826;1.4559973;3.06;-14.94;-43.14;14.217069;4.4316673;1.6687586;
0.5435937;1.490893;0.71929383;7.74;-16.74;-42.239998;11.851598;7.276278;-1.2090719;
0.79954624;0.8543714;0.6582073;9.0;-19.02;-40.98;9.402329;10.58746;0.30406362;
0.86613053;-0.6642396;0.074830994;9.96;-20.46;-39.36;6.9554553;14.696209;0.3878607;
1.0383946;-1.0051024;-0.5543602;8.5199995;-22.439999;-38.879997;5.0568533;16.183008;4.462792;
2.273564;-1.7931186;-0.52503866;6.6;-23.82;-37.2;4.225766;18.311453;6.196493;
1.725618;-1.6471218;-1.3417655;5.7599998;-29.22;-34.559998;3.550601;17.686567;9.771036;
2.4488823;-1.4082735;-1.7889189;5.04;-31.56;-31.679998;1.9608512;14.233829;9.917083;
2.7194958;-1.4931837;-1.6404786;6.7799997;-35.34;-27.72;0.8475474;10.76463;7.8580694;
2.6400833;-1.301372;-1.4395039;7.74;-38.7;-22.26;0.46926352;7.759907;4.9012303;
1.5564083;-1.6623935;-1.1505647;10.679999;-40.32;-17.82;0.50517654;5.150227;4.1946416;
1.5698473;-0.75159335;-1.0473285;12.24;-42.719997;-14.34;-1.5801731;0.50757074;4.0653543;
1.8667278;-0.9592875;-0.23976462;13.139999;-42.66;-9.84;-2.4588451;-2.360683;1.4293385;
1.7977;-0.7008915;0.22510384;13.799999;-44.16;-6.2999997;-0.8499416;-4.1922474;-3.2369606;
0.8441394;-0.79985166;1.4902058;13.08;-44.82;-2.28;-3.4045548;-6.0312934;-3.9743748;
0.9485974;-1.3954453;2.264783;10.32;-45.66;-1.14;2.954445;-2.231396;-8.403947;
-2.5333345;-1.2072988;1.5537357;5.16;-46.92;-1.1999999;3.9839516;-0.25617957;-4.477157;
-2.893134;-1.9207894;1.8438967;1.1999999;-44.7;-6.96;3.311181;0.4333505;1.496376;
-2.0434206;-2.4546857;2.9898798;-5.52;-42.3;-12.3;5.1310735;3.1004913;5.195717;
-2.6481771;-2.0771708;2.5103507;-12.24;-38.579998;-16.56;7.922713;6.8860235;4.9898157;
-2.5889232;-2.6917014;2.7504208;-19.02;-33.719997;-20.039999;11.28896;7.8221564;7.355287;
-4.4135776;-2.5066092;1.7553213;-27.48;-27.599998;-20.82;12.155662;8.492533;10.922647;
-3.2547665;-2.2775347;1.8182404;-33.899998;-19.8;-23.34;10.197205;9.423877;19.022532;
-2.8644235;-1.4876859;0.926988;-39.78;-10.98;-23.16;8.322544;12.086229;15.325884;
-1.4392749;-1.124832;0.7156286;-40.02;-6.42;-21.359999;8.358458;12.30889;14.97633;
-1.9035325;-0.23968825;-0.2733622;-41.46;-3.78;-20.1;6.632238;10.185233;11.894693;
-1.0403799;0.17020233;-0.27580565;-42.0;-3.72;-21.359999;4.7668557;8.360851;10.180445;
-0.08498663;0.104228884;-0.06994407;-41.82;-2.28;-20.64;5.6530094;7.3959885;8.9641905;
-0.040393464;0.35590535;-0.2489276;-42.239998;-3.06;-21.66;6.7351885;6.9482727;6.778284;
-0.0978148;0.2954297;-0.48349985;-41.7;-2.9399998;-22.02;6.6633625;5.59076;7.094319;
0.075670935;0.25450173;-0.3381139;-40.44;-3.06;-22.859999;5.945102;4.675876;5.696105;
0.13736832;0.14332426;-0.13469578;-40.2;-4.2599998;-23.699999;5.4279547;4.0222588;5.3776765;
0.1868484;0.03397938;0.04917465;-40.2;-5.2799997;-23.1;6.048053;4.3718123;5.0712185;
-0.010461068;-0.0753655;-0.083383106;-40.68;-4.74;-23.34;6.524499;4.711789;5.4949923;
-0.20899227;0.17020233;-0.17073683;-39.719997;-4.68;-23.64;6.038476;4.223372;6.878841;
0.09827295;0.0388663;-0.026572637;-39.719997;-4.68;-23.76;6.2467713;4.560954;6.0576296;
-0.24442245;0.19769126;-0.06566802;-39.6;-4.68;-23.76;6.016928;4.5753193;5.856517;
