gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.19898935;0.36728272;0.19310978;-12.84;-8.76;-29.22;4.201824;2.7605145;9.510069;
0.41645738;0.46868637;0.4893794;-13.559999;-8.639999;-29.939999;2.789245;2.669535;10.321703;
0.56184334;0.41065416;0.47471866;-13.679999;-9.9;-30.539999;2.9137435;3.454833;9.991303;
0.25152376;0.7069238;0.3488804;-12.36;-10.86;-28.98;-1.6065093;2.3511062;11.980885;
1.0016663;1.2127203;1.3189344;-13.2;-11.04;-29.82;-4.3981485;-0.91937345;16.159065;
2.0676262;1.7686076;2.3366358;-12.24;-11.759999;-28.74;-0.830788;-0.6751649;14.839861;
1.5972599;2.3165538;2.0110447;-12.12;-13.559999;-27.42;2.1883004;-1.0031705;14.583382;
1.5526668;2.6757424;2.2169063;-10.8;-16.14;-27.18;3.7445314;-2.3343468;12.696751;
1.8623754;2.628706;2.8515954;-10.26;-17.94;-24.96;5.1047373;-3.9935284;13.781324;
1.8177823;2.3953552;2.6567292;-11.82;-19.8;-24.24;8.822932;-1.745373;11.514015;
0.821461;2.6116016;2.208965;-13.679999;-21.6;-22.26;8.181287;-1.1683705;8.985738;
0.8587238;1.79854;1.1356748;-14.5199995;-22.32;-21.84;12.165238;4.1180267;2.8514943;
-0.023365596;1.2505939;0.76793396;-14.16;-21.779999;-22.14;9.074324;3.9432502;5.868488;
0.70356405;0.4466952;1.0403799;-14.58;-21.539999;-22.619999;8.389582;5.336975;2.516306;
0.1684461;0.013591751;0.58528525;-15.719999;-21.48;-21.66;8.571542;8.901941;3.6511576;
-0.19868392;-0.9246973;-1.07749;-15.719999;-22.8;-21.6;7.8365216;10.594642;3.4237084;
0.7237226;-1.2576188;-0.58146733;-15.96;-22.38;-21.48;2.1571758;12.727876;14.458883;
2.191021;-1.5337299;-0.95043;-16.08;-22.92;-19.5;7.3720465;20.91395;10.410288;
1.760361;-0.9851729;-2.6113725;-15.599999;-27.06;-14.5199995;8.66731;18.807053;15.567698;
3.5159876;-1.2001975;-2.1825452;-11.58;-29.58;-8.76;7.0895305;13.446136;18.452711;
3.4060318;-0.9521862;-2.559449;-6.12;-31.08;-0.53999996;5.492598;8.664915;14.499585;
4.521472;-1.4121678;-1.4372896;0.0;-32.04;7.3799996;0.5506664;3.169923;13.213899;
4.0572143;-1.4616479;-1.0157925;4.98;-29.76;16.44;1.5897499;4.745308;6.172551;
3.0138564;-1.510517;-1.5374714;8.82;-27.24;24.9;-1.3862427;2.552219;4.1946416;
2.4451408;-1.4537066;-1.0463358;13.5;-22.439999;30.72;-1.4891934;-1.1348516;3.4237084;
2.0938933;-0.82756966;-0.4208098;17.88;-17.58;33.719997;-5.334581;-4.572925;2.5833437;
2.453693;-0.97051215;0.53213996;19.5;-13.98;36.3;-6.742371;-3.4596214;-4.6902413;
0.19960022;-0.4280638;0.69401926;20.52;-10.0199995;38.28;-6.172551;-2.0518308;-6.4000006;
-0.4729624;-0.4298964;0.53091824;20.76;-11.94;38.04;-2.9879637;-0.7230489;-4.357447;
-1.2029464;-0.27962357;0.7795404;20.76;-13.62;36.18;-3.2992098;-2.384625;-3.4763808;
-1.6812539;-0.24785857;1.1252902;20.88;-15.48;34.68;-1.0103531;-2.15957;-3.526659;
-2.6085472;-0.4390594;1.5693892;19.439999;-19.38;30.66;1.9033904;-1.4053963;-1.1492168;
-3.7184894;-0.7677049;1.9566778;16.92;-24.48;24.18;6.048053;-1.3551182;2.5761611;
-3.712381;-1.3089315;2.739196;13.38;-27.96;15.9;6.3736644;-0.80205756;6.014534;
-4.0770674;-0.96867955;2.8479302;7.98;-30.359999;6.3599997;6.6873045;0.9816227;11.442189;
-3.7276525;-1.5997033;3.043407;0.78;-29.22;-3.06;15.119983;5.336975;11.909059;
-4.147317;-2.118939;3.2187254;-6.42;-26.58;-11.639999;18.682554;10.453383;19.05605;
-4.518723;-1.7218764;1.5412893;-15.599999;-20.699999;-18.119999;11.751041;10.060735;21.308994;
-2.9072604;-1.1867584;1.2578479;-22.5;-13.799999;-22.32;11.051934;12.44536;20.274698;
-1.8590157;-0.817185;0.880944;-26.22;-9.9;-24.0;7.520487;10.374375;17.157448;
-1.2750285;-0.18127427;-0.032910366;-27.96;-6.7799997;-25.68;7.5755534;8.655338;12.227488;
-0.6042985;-0.007788532;-0.30657798;-28.68;-5.7;-26.939999;6.488586;5.782296;10.824485;
-0.19074267;0.13026701;-0.40553817;-27.779999;-4.92;-26.76;6.998551;4.2161894;9.112631;
0.21731532;0.23105977;-0.6382778;-28.14;-4.5;-27.96;7.3026147;2.9903579;8.207623;
0.1910481;0.43325618;-0.64682996;-26.64;-5.64;-28.439999;6.5101337;0.6991069;7.204452;
0.48059824;0.29031372;-0.27603474;-24.6;-6.7799997;-27.9;6.790255;0.89782566;6.574777;
-7.6358154E-4;0.34162638;-0.383547;-24.0;-7.98;-28.619999;6.680122;0.8283938;6.1031194;
0.071318515;0.05024367;-0.3279583;-23.46;-7.98;-28.019999;6.2395887;0.8499416;6.1270614;
-0.031306844;0.13881913;-0.22166772;-21.6;-8.639999;-28.619999;6.4215484;1.1563994;7.046435;
0.15439619;0.04230242;-0.07078401;-22.5;-8.22;-29.099998;6.4598556;1.6256629;7.0177045;
