gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.59261566;-0.3647629;-0.43149993;3.6599998;6.96;-38.94;0.19871874;-1.0989386;11.442189;
0.39530617;0.7073056;-1.184086;3.1799998;6.12;-39.899998;-0.079008654;-0.31364042;11.109395;
1.1008556;3.7463603;-4.4625998;4.7999997;5.46;-40.86;7.2331824;1.400608;13.781324;
1.3824644;4.4781766;-6.375219;16.74;7.3799996;-38.64;-5.597943;-3.1962593;11.047146;
2.8192194;-3.3463962;2.5782332;24.06;10.62;-37.44;-12.696751;-0.5386954;14.722545;
2.023262;3.4134386;-2.375884;21.0;3.4199998;-43.44;8.827721;4.9036245;8.839692;
1.4991397;2.836171;-3.1632893;27.599998;-0.96;-44.28;-7.0631943;2.1021092;14.952388;
3.764839;-3.7898843;2.7083473;37.62;-5.7;-41.399998;-12.600983;1.1061212;12.325649;
2.159485;1.756772;-0.5041929;28.38;-19.74;-42.6;-0.25617957;4.4723687;7.922713;
1.620091;5.6485944;-4.3483677;28.08;-26.519999;-34.02;-4.7022123;2.861071;14.214675;
3.3121877;-2.1032853;1.8201493;36.84;-24.66;-25.74;-30.725689;-5.885247;8.629003;
2.866256;1.589395;3.1897092;27.359999;-30.539999;-18.539999;-3.572149;0.7422025;5.8086324;
1.347645;4.468403;-0.57138807;21.72;-37.02;-11.28;-7.424719;1.541866;4.3981485;
3.0177507;-5.087973;7.2134786;21.0;-37.32;-5.16;-17.923592;-2.5019407;8.217199;
3.0482938;1.8752799;2.5947266;6.6;-42.54;-0.48;3.9336734;3.6990416;2.5929205;
0.8394052;7.6302414;-3.3404403;0.65999997;-43.079998;4.56;-0.59376204;3.9240966;0.48362875;
1.0593166;-4.800866;5.5317664;3.78;-41.76;8.5199995;-17.966688;-1.5705963;0.11971009;
1.9352975;2.6034312;2.8433487;-4.56;-42.42;10.8;3.0095115;4.72376;2.135628;
-0.12820534;8.760343;-2.6819274;-12.36;-40.68;13.2;1.8339585;4.6662993;-2.930503;
-0.5063309;-1.601765;3.6325865;-12.059999;-41.7;7.7999997;-8.952219;1.1587936;0.25617957;
0.7514406;0.4556291;3.7272706;-19.439999;-39.78;7.02;3.1435869;4.4699745;4.910807;
-0.94248873;9.149464;-2.5670848;-26.76;-35.88;6.6;2.6910827;4.8602295;0.6344634;
-0.27969992;-0.11491902;2.4236841;-23.34;-37.38;-5.4;-4.5154643;0.6895301;0.6512229;
-0.664545;-0.42401683;4.730922;-27.96;-34.44;-6.8999996;1.5490485;3.8043866;5.89243;
-1.149572;10.997331;-3.5664604;-33.059998;-28.8;-11.7;6.428731;4.88896;5.734412;
-0.55153495;1.7317266;0.83238024;-23.1;-30.0;-23.76;-2.2218192;0.641646;2.042254;
-1.9895117;-5.727549;6.6789713;-24.119999;-26.22;-25.8;-5.195717;-1.5035586;-1.4077905;
-1.5826755;5.781763;1.0767263;-37.68;-14.82;-22.619999;10.400711;1.6879122;13.022363;
-2.3792439;2.2430208;0.47196975;-32.94;-10.5;-32.82;2.2266076;-0.15562311;8.734347;
-1.2424235;6.3596416;-1.872531;-28.74;-5.64;-38.94;8.5499935;4.1611223;17.248428;
-0.42019892;3.2527812;-2.2689826;-13.259999;-4.62;-46.26;0.007182605;-1.2856863;6.7304;
-2.0719786;-4.7678795;3.2098677;-4.44;-2.82;-47.1;-5.9139776;-2.2290018;9.155726;
-2.2931118;8.470181;-4.9757266;-10.86;3.12;-46.02;6.53647;0.6655881;13.426983;
-1.1165853;-0.5492442;-0.9898308;6.3599997;10.2;-44.7;-4.209007;-3.9145198;14.243405;
-1.7366135;-3.075172;-0.009392053;5.46;13.0199995;-44.1;-1.1899183;-2.9783869;10.8268795;
-1.6517032;5.198998;-5.009324;0.17999999;17.76;-42.18;-0.9504981;-1.0941502;16.714521;
0.044058654;-1.3348169;-2.2659283;6.18;22.68;-39.54;-6.7615247;-5.9235544;7.4941506;
-1.5356388;-5.5937696;0.55321485;1.86;22.26;-39.3;0.2801216;-2.540248;10.59943;
-1.3371077;7.541055;-8.19071;-8.34;23.82;-37.14;1.091756;-2.743755;16.412851;
1.4020121;3.4024432;-6.6611037;-2.28;23.16;-37.559998;-8.913912;-9.730335;5.5692124;
0.155847;-6.4874654;1.091998;-1.14;21.48;-37.739998;-7.206846;-6.1533976;9.952995;
-0.4366923;4.908837;-4.7124434;-10.86;19.38;-37.8;-0.8882488;-4.2760444;10.944195;
-0.031077769;4.9821405;-5.9476132;-4.62;19.32;-38.399998;-3.6727054;-7.328951;8.135797;
0.8589529;-7.249214;2.2746332;1.9799999;19.74;-36.78;-10.953772;-8.518868;8.387188;
-0.09277516;3.3242524;-1.5921439;-7.62;18.0;-37.32;-1.4269443;-1.1803415;11.377545;
-0.018860465;6.770143;-4.99222;-3.24;20.039999;-37.739998;0.5530606;-3.845088;7.7694836;
0.62438065;-5.635919;2.5208118;5.8199997;19.92;-36.3;-9.761459;-7.2690954;6.136638;
-0.014584408;0.2644283;0.10972667;-0.78;19.56;-36.12;-0.9888053;0.19393034;10.518027;
0.04100433;7.0590825;-4.4607673;1.62;19.02;-36.84;0.093373865;-3.691859;8.619426;
0.48510337;-4.9169307;2.2605832;8.82;21.24;-35.28;-10.278607;-8.363246;5.9139776;
