gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.074067414;-0.2938262;-0.11797335;-30.0;-12.3;-25.859999;6.9841857;1.3670892;7.343316;
-0.61468315;0.03726278;-0.19738583;-30.42;-12.36;-26.4;7.96102;2.0638018;6.004957;
-1.050841;-0.70554936;-1.099023;-30.84;-13.0199995;-26.22;11.209951;4.0773253;3.6942532;
-2.2011;-0.7122689;-2.7373636;-29.88;-11.7;-26.34;14.880562;5.222053;3.6367924;
-1.7789923;-1.2516629;-2.9737685;-27.779999;-13.32;-26.099998;12.232276;7.192481;4.2784386;
-0.4063781;-1.3176364;-2.9114602;-27.72;-15.059999;-25.199999;17.076046;12.06947;10.901099;
0.20021108;-1.3310753;-4.065995;-27.599998;-18.359999;-23.279999;17.56925;14.257771;12.883498;
0.48548517;-0.8240572;-5.0305514;-27.66;-24.3;-20.82;18.735228;12.928988;18.802265;
1.410946;0.52290064;-5.5894933;-20.58;-34.86;-19.5;14.580988;7.388806;24.938902;
2.1036673;1.3451253;-5.7971873;-5.7599998;-40.92;-16.8;20.186113;3.7565024;24.64681;
1.4989105;4.7922378;-5.5430675;14.4;-40.739998;-11.16;13.386281;-4.357447;25.168747;
2.974761;5.3456817;-4.0470586;27.119999;-37.44;-3.54;12.004827;-8.212411;17.925987;
3.1207578;5.2027392;-2.295097;34.68;-31.92;9.599999;9.610625;-8.775048;10.692804;
3.0553951;4.9168544;-1.4533248;35.219997;-27.18;24.18;10.024822;-7.0440407;4.5657425;
1.1537718;5.1789155;-1.4417183;31.14;-21.48;35.579998;10.738294;-4.426879;0.92655605;
0.087201014;5.070792;-1.416062;21.84;-18.119999;42.899998;7.568371;-4.0078936;-0.9720459;
-0.6898196;5.3951616;-0.62560236;12.84;-16.68;47.399998;7.9059534;-1.4796166;0.17956513;
-0.70203686;5.0084844;-0.45333838;1.4399999;-16.56;47.46;10.671256;1.4796166;-6.440702;
-2.3318253;5.521;-0.43806675;-10.38;-19.26;45.0;11.265018;3.9360676;-3.2872388;
-2.1681135;4.3377542;0.46662468;-20.1;-23.16;36.54;9.421483;4.4460325;-1.9153614;
-2.4539983;3.998113;0.5093852;-26.82;-25.38;28.08;12.720693;6.404789;-4.7740383;
-3.3232596;2.9724703;0.98402756;-31.859999;-26.34;18.3;11.0974245;4.6686935;-3.1411927;
-3.204141;1.7189748;1.8111391;-36.18;-25.26;7.74;14.4493065;5.040094;-3.4045548;
-4.0074286;0.65484756;2.210645;-39.239998;-22.02;0.29999998;13.242629;2.0398598;0.19871874;
-3.5187366;-1.1838568;2.491643;-41.28;-16.14;-4.14;17.861343;2.765303;-1.0630256;
-3.7588065;-2.1905627;2.2399664;-43.68;-9.78;-5.04;15.838243;0.47165772;1.8722657;
-7.7477565;-1.4404203;1.0652727;-43.92;-5.46;-0.17999999;19.525314;-1.2617443;3.1364043;
-5.923713;-2.0622811;1.027399;-42.0;-4.5;1.56;13.498809;-5.456685;17.844584;
-4.9408307;-2.1056526;0.27725646;-39.84;-6.06;1.74;15.969924;-0.37110126;12.402264;
-4.066683;-0.93584555;-0.5968917;-47.28;-2.46;0.84;13.316849;-0.6536171;13.831602;
-2.0325015;-0.71959925;0.24243714;-46.32;-0.35999998;4.2599998;9.560347;0.9528923;13.288118;
-1.48089;0.7538077;-0.794812;-44.34;0.24;5.7599998;10.913071;3.1603463;7.6856866;
-0.87857693;0.8381071;-1.1784354;-44.46;-1.56;4.68;9.771036;0.58897364;5.284302;
-0.3184135;0.91996306;-0.9194285;-44.94;-4.2599998;1.8;8.107066;-0.7589619;2.231396;
-0.73624533;0.31764993;-0.20349449;-43.26;-6.06;0.59999996;8.195652;-0.07182605;0.9624691;
-0.5859725;0.20830505;-0.12835807;-42.899998;-6.42;-0.96;8.901941;-0.16280572;2.7820623;
-0.41981715;0.13439035;0.09949467;-43.14;-6.42;-1.02;9.804555;0.61291564;2.9257145;
-0.12782355;0.17531833;-0.05749769;-44.16;-6.48;-1.8;9.802161;0.89543146;3.1004913;
-0.052687127;0.25350907;-0.09048442;-43.86;-6.2999997;-1.92;9.711182;0.7038953;2.1883004;
-0.053297993;0.16982053;-0.18089247;-43.079998;-6.54;-2.3999999;9.708787;0.6488287;2.4732103;
-0.22678372;0.26145032;0.013362677;-43.8;-6.7799997;-2.28;9.117419;0.4237737;2.5474305;
0.031001411;0.119729586;0.009697486;-43.5;-6.66;-3.6599998;9.79019;0.63206923;3.2824504;
0.012675454;-0.06169739;-0.10392345;-43.8;-5.8199997;-3.6;9.196428;0.4213795;2.72939;
0.038331795;0.14049901;0.104992464;-43.98;-6.6;-4.62;9.440637;0.10055647;3.4117374;
0.25396723;0.02687807;-0.062384613;-43.559998;-6.8999996;-3.0;8.9641905;0.29448682;2.815581;
0.14034629;0.100792766;0.08544478;-44.219997;-7.02;-3.0;8.741529;-0.22266077;3.0573955;
0.42378777;-0.014049901;0.23877195;-43.8;-6.12;-3.4199998;9.172486;0.16519992;3.3303347;
0.41279218;0.012217305;0.08361218;-43.2;-5.7599998;-3.24;8.540417;0.2657564;2.755726;
0.40851614;-0.07819075;0.4067599;-44.1;-5.04;-3.36;9.364022;-0.4285621;3.490746;
0.5129741;-0.16371189;0.27786732;-43.92;-4.74;-2.9399998;10.12059;0.49081135;2.56419;
