gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.45830166;0.0720821;0.016417004;-38.7;-6.24;-4.38;9.270648;0.91219085;4.201824;
-0.70386946;-0.2864958;-0.4649448;-37.739998;-7.2;-4.92;10.053553;1.5275006;3.2154129;
-1.7979292;0.10934488;-1.8290069;-38.28;-7.14;-4.8599997;14.966753;4.76925;-0.021547815;
-3.375183;-0.22235495;-3.2779794;-34.26;-10.32;-7.74;16.922815;8.753501;-2.123657;
-1.3898711;-1.2993103;-3.1240413;-33.42;-10.559999;-12.9;18.230051;13.553875;5.6673746;
0.055436023;-1.6792686;-4.0067415;-34.38;-13.5;-11.94;21.957823;16.592417;8.971373;
0.73838335;-1.5344934;-5.105688;-34.62;-19.32;-9.3;22.738333;15.00506;15.14153;
0.5038111;-0.7012733;-5.9608994;-28.98;-29.76;-5.4;20.76551;9.692028;19.834166;
0.79519385;1.5577064;-6.474026;-17.58;-38.7;-1.68;18.684948;2.183512;24.965239;
1.4848607;3.435506;-5.9743385;-0.78;-42.3;1.68;16.501436;-3.1723173;21.354483;
2.195297;4.5882087;-4.653648;12.0;-40.379997;8.22;12.04074;-7.58513;15.771205;
3.2356005;4.536896;-2.9768226;19.56;-36.3;18.18;10.391134;-7.427113;8.585907;
2.6265678;4.8221703;-2.4618633;21.359999;-30.9;29.039999;10.187628;-6.028899;3.4835634;
1.4402676;4.8789806;-2.218739;18.0;-24.72;37.559998;8.51408;-4.3167458;-2.4229321;
-0.9286679;5.194187;-2.312812;11.94;-21.18;44.34;5.8541226;-3.7421372;-3.7301662;
-0.311694;4.96328;-0.8442921;2.82;-21.18;45.239998;7.8604636;-1.1324574;-1.448492;
-0.91339624;5.262604;-0.5846744;-6.6;-21.84;42.42;10.00088;1.4197617;-4.27365;
-2.7997482;4.9889364;-0.31100675;-15.42;-24.48;37.62;9.103054;2.956839;-6.8237743;
-3.76125;4.690223;0.2607631;-23.64;-27.9;26.88;7.5180926;3.9456444;-6.6657567;
-4.1497602;4.0646973;0.5839108;-27.24;-30.179998;16.14;9.771036;4.8817773;-2.7700913;
-2.6390905;2.140472;1.6205491;-29.519999;-29.519999;0.96;10.063129;3.763685;-0.47884035;
-3.9994874;1.3096951;2.1348977;-32.52;-25.619999;-8.22;13.56824;3.58412;-2.2146366;
-3.2346842;-0.09590584;3.1336625;-35.34;-19.8;-16.26;15.184626;3.9480386;0.21308395;
-2.4442246;-1.8606955;2.5411232;-39.54;-11.099999;-18.359999;16.5996;3.0573955;-0.2873042;
-3.615864;-2.2779164;2.5124123;-43.739998;-1.86;-15.78;16.652271;1.7908629;2.6886885;
-4.720919;-1.7513506;2.0622046;-45.36;6.18;-10.679999;14.837466;-0.21068975;4.3766007;
-6.023284;-1.577254;2.2393556;-44.7;13.799999;-4.14;15.919645;-3.466804;11.226711;
-3.6543486;-1.8698585;1.6834682;-41.579998;19.14;3.0;17.356167;0.5602432;13.561058;
-2.9652927;-0.19425514;0.83803076;-39.48;20.46;11.34;15.081676;2.5594015;10.276213;
-2.2420282;0.49357912;-0.24320072;-38.879997;18.66;15.54;13.321637;2.528277;8.133403;
-1.1931726;0.6743952;-0.4734969;-40.559998;14.88;18.06;10.328885;1.1348516;5.308244;
-0.48395798;0.49418998;-0.67691505;-40.32;12.0;16.98;10.115802;0.92895025;3.7181952;
-0.5847508;0.47158796;-0.66469777;-42.18;10.139999;17.16;8.655338;-0.016759412;1.7669208;
-0.78877974;0.41416663;-0.50281847;-40.98;8.16;16.26;8.842086;-0.8571242;2.7485435;
-0.44241914;0.31337386;-0.094149604;-41.46;6.2999997;15.179999;8.557177;-0.78529817;2.4181437;
-0.3202461;0.25900686;-0.07704538;-42.059998;6.12;15.0;9.335292;-0.8451532;2.873042;
0.29367346;0.14966199;0.1746311;-42.3;6.96;13.799999;9.804555;-0.46208093;2.7700913;
0.42928556;0.08246681;0.024969118;-42.12;7.02;13.679999;10.132561;-0.34715924;1.8626889;
0.16783522;0.19730948;-0.14057536;-41.7;7.5;12.78;9.71597;-0.40222588;1.5179238;
-0.07284568;0.19242255;-0.063606344;-42.84;7.5;11.5199995;9.749489;-0.59855044;2.1212628;
-0.05024367;0.1685988;-0.10209085;-44.1;7.8599997;9.84;9.680057;-0.58897364;2.2098482;
0.13240504;0.0580322;-0.05933029;-42.6;8.099999;10.38;9.287408;-0.60094464;2.243367;
0.02977968;0.15332718;-0.008017606;-43.559998;8.639999;10.139999;9.811738;-0.22505496;2.042254;
-0.042913284;0.065973446;-0.17050776;-42.719997;8.4;9.0;9.455002;-0.25139117;2.135628;
-0.13087788;0.1020145;-0.14362969;-43.02;7.8599997;9.54;9.280225;-0.82360536;2.765303;
0.1525636;-0.044593163;0.010919216;-43.62;7.62;10.679999;9.636961;-0.37349546;2.5019407;
-0.11133019;-0.01282817;-0.038560867;-43.02;8.099999;10.679999;9.68724;-0.22744916;2.3870192;
-0.10644327;-0.026267206;0.027412578;-43.14;7.56;10.38;9.605837;-0.22266077;2.4708161;
-0.12843442;0.022602014;-0.114308156;-42.6;8.88;9.059999;9.68724;-0.35434186;2.8682537;
0.122020334;-0.10262536;0.028634308;-43.2;7.08;10.62;9.052776;-0.5243302;2.8060043;
