gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-1.1827115;0.24411702;-0.4792238;-47.76;13.2;-14.099999;10.228329;2.801216;0.2681506;
-2.2578342;-0.31665727;-0.8713993;-47.34;13.0199995;-15.66;11.49965;3.5697548;-0.21547815;
-1.7306576;-0.40340012;-0.9300423;-48.18;12.059999;-13.5;13.529933;5.255572;2.2840683;
-0.69646275;-0.8774316;-1.2195925;-48.78;11.82;-11.219999;17.516579;9.421483;4.259285;
-0.54008126;-1.5725962;-2.38268;-49.2;8.639999;-9.0;17.372927;9.557953;5.3992243;
-0.4741078;-1.5994743;-3.1774156;-51.239998;2.9399998;-5.7599998;16.422428;7.999327;9.627384;
0.7775551;-1.5799266;-3.791335;-50.7;-4.14;-1.38;18.002602;6.323386;11.87554;
-0.02023491;-0.21586451;-4.6599855;-49.26;-12.179999;2.28;15.835849;4.84347;10.984897;
1.2387583;-0.41500658;-4.546365;-44.1;-22.74;3.54;13.814843;3.7349546;10.094254;
1.2387583;0.56909734;-4.40892;-38.879997;-30.9;5.4;11.703157;3.643975;7.7790604;
1.0707704;1.0822241;-4.240932;-32.04;-38.46;6.7799997;9.9434185;3.643975;7.6832924;
1.2381475;1.9960785;-3.9519928;-23.16;-42.78;7.3199997;6.335357;1.8363527;5.59076;
1.0732139;2.5666268;-3.10289;-14.4;-45.96;8.22;4.1802764;1.163582;3.6128504;
1.0994811;2.8134162;-2.5732698;-8.099999;-49.68;11.4;2.1045034;0.24420857;3.715801;
0.83314383;3.4273357;-1.7186694;-1.86;-48.239998;13.32;0.2753332;0.22026655;0.8619126;
0.5582545;3.6906188;-1.0467176;1.8;-46.86;16.8;1.0127473;1.1923125;0.12210429;
0.6156758;4.197637;-0.46395215;0.59999996;-46.14;19.5;1.4748282;0.5674258;-0.17238252;
-0.054443367;5.19518;0.3753767;-3.9599998;-45.899998;22.439999;4.292804;1.6496049;-0.85473;
0.7940485;5.080337;0.11453723;-10.679999;-43.8;21.0;5.813421;1.7764976;-3.016694;
0.6834819;4.43282;-0.024129177;-16.32;-43.02;20.039999;6.414366;2.1452048;-3.9001546;
-1.0226648;5.122487;0.23426682;-19.56;-43.02;17.52;8.032846;4.7907977;-7.3935943;
-1.2358568;4.310647;-0.49877146;-23.1;-41.579998;9.78;7.9562316;4.474763;-5.329792;
-2.041588;3.439553;-0.0870483;-23.88;-42.48;2.8799999;8.456619;4.1635165;-4.8578353;
-2.821663;2.3619869;0.58001655;-22.38;-41.16;-4.08;7.2595186;3.3183637;-2.1739352;
-3.0812807;1.5336535;0.93492925;-23.34;-39.12;-11.759999;10.336068;4.829105;-1.1899183;
-2.3800073;0.04314236;1.8396207;-22.92;-36.18;-19.859999;12.110171;4.4699745;3.9671922;
-3.1558063;0.06452264;1.3765849;-25.619999;-31.26;-24.359999;13.774141;5.4495025;0.6464345;
-3.642055;-1.0008264;1.2574661;-28.14;-25.439999;-29.88;12.000038;2.9233203;5.3657055;
-2.726368;-1.8572594;1.2910637;-30.599998;-17.94;-33.059998;13.383886;3.5745432;5.3010616;
-3.7611737;-1.6367371;0.8054258;-34.44;-10.62;-32.219997;12.5387335;2.932897;5.1765633;
-3.813708;-2.2799783;0.9605856;-39.96;-1.3199999;-30.599998;13.984832;2.2457612;7.2595186;
-3.9334376;-1.8749745;0.46028697;-42.3;5.16;-26.099998;13.393463;1.8674773;9.313744;
-3.3079116;-1.478523;-0.183565;-45.059998;11.46;-20.52;14.116512;2.6647465;10.632949;
-2.8961885;-0.4516585;-0.56107974;-46.079998;13.559999;-16.199999;10.094254;1.7238252;8.686463;
-2.2077434;-0.42111522;-0.77854776;-47.34;15.42;-13.139999;10.099042;1.6831238;6.692093;
-1.8265635;-0.1877647;-0.8445212;-48.42;14.759999;-10.679999;8.676887;1.1611878;6.965032;
-1.3256539;0.31192306;-0.7535023;-49.379997;14.4;-8.639999;9.378387;1.6687586;6.6418147;
-0.8962157;0.51961726;-0.8579602;-49.32;13.799999;-8.76;8.363246;1.4532804;4.7548847;
-0.8662833;0.58681244;-0.77304995;-50.94;12.3;-8.76;8.952219;1.2066777;4.5657425;
-0.34460434;0.5855907;-0.7101309;-49.5;10.98;-9.84;9.215582;1.3934253;4.06296;
-0.3543782;0.5440519;-0.6423248;-49.86;9.719999;-10.679999;8.607454;1.553837;3.6583402;
-0.27496573;0.35040757;-0.514654;-50.28;9.12;-12.24;8.968979;1.9440918;3.229778;
-0.22670737;0.20868684;-0.42546764;-49.68;8.099999;-12.78;8.212411;1.9009962;3.6343982;
-0.16195565;0.23312145;-0.21533;-48.96;7.7999997;-12.84;8.600272;2.0159178;3.6176388;
-0.056886826;0.12805262;-0.1591304;-49.32;6.24;-13.62;8.617031;2.0039468;3.8905778;
-0.21998784;-0.030161472;-0.04184427;-49.14;6.66;-13.5;8.861239;2.243367;4.0773253;
-0.10819951;3.8179077E-4;-0.1695151;-49.62;6.3599997;-13.38;8.763078;2.1404164;4.1635165;
-0.14057536;-0.027107146;-0.029626964;-49.62;6.48;-13.139999;8.210017;1.8219875;4.4795513;
-0.013515393;0.08895725;0.0070249503;-50.64;6.0;-13.38;8.497321;2.0231004;4.2760444;
-0.030008756;0.0028252518;-0.025961773;-49.379997;6.3599997;-13.74;8.715194;2.231396;4.220978;
