gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.10453431;-0.16027577;-0.06261369;9.66;24.9;-40.559998;-1.520318;-2.0111294;8.624214;
0.086055644;0.46891543;-0.50243664;9.78;25.08;-40.32;-0.7015011;-1.3814543;10.848427;
0.2045635;0.25633433;-0.99296147;8.88;26.039999;-40.68;3.6128504;-0.81163436;11.621755;
0.33589953;0.80183697;-2.4559836;7.98;26.4;-41.28;4.146757;-0.7278373;13.877092;
0.8197048;0.2410627;-2.228742;6.18;26.46;-40.68;1.6519991;0.011971008;17.85416;
1.2424235;-0.32704198;-1.7559321;3.78;24.539999;-42.18;-2.2026656;0.20829555;19.120693;
1.6150514;-0.79985166;-0.84329945;1.5;22.74;-43.86;-4.414908;0.4357447;19.42715;
1.4873805;-0.9195813;-0.8903361;-2.28;19.26;-45.96;-3.904943;0.20590134;21.452646;
2.1770475;0.09567677;-1.2794572;-4.2;14.5199995;-47.1;-9.881169;-3.5290532;21.328148;
2.5282948;-0.512745;-0.13775012;-4.62;10.86;-48.539997;-16.32187;-5.5955486;16.865355;
2.9064205;-0.64591366;1.4963144;-4.2599998;4.92;-49.8;-12.091018;-6.4478846;14.823101;
3.048752;0.69310296;1.4309518;-5.3399997;-0.9;-51.18;-11.511621;-8.5260515;9.713575;
2.6089292;0.8281042;1.9782871;-3.6;-7.2599998;-52.14;-8.672098;-8.087913;6.0073514;
2.5197427;0.80061525;2.5292876;-2.34;-13.679999;-52.559998;-5.4016185;-7.568371;2.767697;
1.2308171;1.903227;2.5341744;-1.62;-19.56;-51.78;-5.171775;-6.8501105;0.61530983;
0.877737;2.4682775;3.1383202;-0.78;-23.76;-50.579998;-2.408567;-5.308244;-0.58657944;
0.054901514;2.3772585;3.2134566;1.0799999;-25.92;-49.62;1.8650831;-3.4165258;0.06464344;
-0.43928847;2.4078016;3.3735032;-0.65999997;-25.199999;-49.559998;2.5809495;-3.1052797;2.3415294;
-0.8937722;2.6093872;3.0778446;0.24;-22.68;-49.26;3.016694;-3.1794999;2.89459;
-1.1136837;2.5910614;2.921463;2.1599998;-20.82;-49.8;3.0478187;-3.0789435;6.0193224;
-1.6384169;2.4242952;2.572659;6.96;-17.4;-49.8;3.0454245;-4.7405195;4.879383;
-1.7416532;2.1445189;2.0497584;10.0199995;-14.82;-49.02;2.870648;-4.501099;8.39437;
-2.1362722;2.4994316;1.498147;13.799999;-11.16;-49.32;3.6032736;-5.1813517;9.1629095;
-2.708042;2.266081;0.66675943;18.42;-7.2599998;-48.36;2.291251;-5.1430445;9.194034;
-2.730644;1.7596737;0.14569137;22.32;-2.46;-46.26;3.4811692;-6.2012815;11.593024;
-2.4710262;2.1414645;-1.2519683;24.6;3.54;-43.2;1.5514427;-6.9578495;11.63612;
-2.5064564;1.3326789;-1.7180585;29.16;10.44;-36.66;-0.2777274;-9.771036;11.45416;
-1.8626045;1.5764141;-2.4077253;29.88;17.1;-32.46;-0.7134721;-9.617807;14.260164;
-1.1857657;1.7725018;-3.1022792;29.34;22.68;-28.26;-1.8746599;-12.134113;11.176433;
-0.57367885;0.57398427;-3.0363057;29.58;28.439999;-25.439999;-6.5436525;-12.37114;9.988909;
-0.6359871;-0.26962066;-2.9556715;26.279999;32.399998;-24.66;-1.6424223;-9.823709;13.49402;
0.9369909;1.9356029;-4.065003;20.64;36.6;-23.279999;-7.8484926;-10.273819;12.881104;
0.91011286;2.1323016;-3.2372804;15.66;40.02;-23.16;-4.5058875;-7.913136;13.731046;
1.2919036;0.39011383;-2.427273;9.48;40.62;-24.66;-9.117419;-8.746318;6.28029;
1.4409548;1.1042153;-1.393689;4.98;38.76;-27.24;-5.952285;-8.152556;7.747936;
-0.3861432;-0.38507417;-0.8127562;3.24;39.059998;-28.859999;-7.486968;-5.0712185;9.201217;
0.5429828;0.5202281;-0.6588182;0.96;38.64;-29.34;-6.49098;-2.956839;10.079888;
0.6688211;1.4597389;-0.70096785;1.26;37.68;-31.08;-5.9618616;-4.177882;9.136573;
0.5668066;0.8641452;0.3417791;2.1;36.899998;-31.56;-1.7142484;-5.0448823;6.3377514;
0.56802833;0.11644619;0.3203988;3.48;36.059998;-32.64;1.3096284;-4.7189717;8.672098;
0.37560576;0.8488736;-0.5488624;4.7999997;35.7;-33.6;-0.82121116;-5.0089693;8.377611;
0.28031078;0.36873353;-0.15668693;4.62;36.059998;-33.66;-2.8993783;-4.7668557;8.765471;
0.31390837;0.020540344;0.2770274;4.68;33.96;-34.92;-1.4269443;-4.4220905;8.538023;
0.1324814;0.105450615;0.13408493;5.7;34.98;-35.46;-1.5682021;-3.9552212;8.978556;
0.26015225;0.056581393;-0.003970624;7.02;34.26;-35.34;-1.3311762;-3.5793316;8.772655;
0.10315987;0.34735325;-0.32834008;6.0;34.079998;-34.92;-1.733402;-3.86903;8.700829;
0.20395264;0.44448084;-0.26419923;6.3599997;33.239998;-35.1;-2.4540567;-3.620033;8.9187;
0.15386169;0.09934196;-0.04062254;6.6;33.42;-37.2;-2.4708161;-3.9911342;8.236353;
0.034132097;0.1408808;0.035124753;7.56;33.12;-36.899998;-2.3582888;-3.6655228;8.990526;
0.09094256;0.016875152;0.024740042;6.8999996;32.04;-36.78;-1.6472107;-3.7972038;8.435072;
