gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-1.9090302;-0.3832416;-1.3600914;-48.36;4.98;-16.14;10.659286;5.4255605;3.1866825;
-0.25175285;-0.9867765;-1.2421945;-48.48;2.52;-15.78;12.610559;7.7670894;4.2305546;
-0.13080151;-1.465084;-1.6484199;-48.96;0.53999996;-12.96;14.391846;9.380781;4.486734;
-0.042836927;-1.2347877;-2.445599;-49.44;-2.76;-11.28;15.692197;12.021586;6.514922;
0.15080735;-1.4559209;-3.161533;-49.079998;-9.24;-6.7799997;16.798317;13.331214;8.461408;
-0.1643991;-1.3685672;-4.736344;-45.12;-17.88;-4.38;22.484547;12.138902;12.627319;
-0.24197899;0.7902306;-5.328272;-41.46;-27.72;-2.1599998;14.631266;4.745308;16.724098;
2.1257348;1.1921799;-4.5555277;-33.12;-36.18;-3.6599998;11.782166;1.1611878;15.795147;
2.4745388;1.7413478;-3.7772853;-23.16;-43.14;-2.7;9.826103;0.31124622;10.175656;
2.083585;2.080989;-3.4584136;-15.839999;-48.0;1.26;6.404789;-0.3854665;6.7136407;
1.8881081;2.5733461;-2.6410758;-8.22;-50.219997;4.2;4.841076;-0.47644615;6.332963;
2.3664155;2.6277132;-2.5219572;-0.24;-50.879997;8.5199995;2.9640217;-0.39504328;3.1483753;
1.2100477;2.693076;-2.0131063;3.84;-48.18;13.92;-0.24899697;-0.7541735;-1.6304513;
-0.41179952;3.4707072;-1.7272215;7.3199997;-46.98;18.42;-0.45010993;-0.7278373;-1.5394717;
-0.24625506;3.7498727;-0.7834347;7.08;-45.3;18.6;-0.7422025;-0.521936;-0.05746084;
-0.027565295;4.3063707;-0.3827071;4.3199997;-46.559998;19.56;2.3822308;1.316811;-2.7748797;
0.17340937;4.2037454;0.013744468;-0.48;-45.719997;19.8;2.456451;0.7278373;-2.372654;
1.5283085;3.4010687;-0.5354234;-4.5;-44.46;20.46;5.7368064;2.4037786;-7.168539;
-1.8247309;4.5299478;-0.50610185;-9.059999;-43.44;21.0;7.8245506;5.5093575;-7.4199305;
-2.9310079;4.223904;-0.4560109;-11.639999;-44.579998;13.32;4.4436383;4.3861775;-3.6583402;
-2.312812;3.2532392;0.33750305;-13.92;-46.14;5.94;7.5276694;5.9259486;-4.367024;
-3.0513482;2.7162886;0.43768495;-15.48;-45.96;-3.06;6.596325;5.0975547;-2.7844565;
-2.7178159;1.4371369;1.280679;-15.48;-44.52;-11.219999;8.712799;5.9618616;-1.5490485;
-3.0886111;0.46769372;1.534799;-15.96;-41.34;-18.3;10.606613;6.230012;-0.07182605;
-2.8595366;-0.3392593;1.9520199;-18.539999;-35.94;-25.019999;12.847586;6.404789;2.9903579;
-2.1900282;-1.1211668;1.887879;-22.32;-30.9;-29.46;12.80449;6.4694324;3.3638535;
-2.880306;-1.5292248;1.7033978;-25.98;-25.26;-31.32;13.324032;6.347328;3.1723173;
-3.2211688;-1.5603789;1.0381655;-30.66;-19.02;-33.48;12.720693;6.292261;5.3393693;
-3.7452912;-1.8847483;0.84940815;-34.26;-10.74;-33.36;11.64809;5.147833;6.08636;
-3.9676461;-1.8346574;0.53786683;-36.84;-4.2599998;-30.42;12.344803;4.747702;9.490914;
-3.0513482;-1.4699708;0.06261369;-40.62;2.1;-27.3;11.786954;4.378995;8.901941;
-2.744083;-1.0490847;-0.2843578;-41.7;6.42;-23.1;9.593865;3.4715924;8.983344;
-2.0367012;-0.6312529;-0.5739079;-42.899998;7.2599998;-20.52;9.857227;2.7509377;7.817368;
-1.801518;-0.3355941;-0.4804455;-43.86;9.24;-18.72;8.356063;2.3774424;6.292261;
-1.4356097;0.06269005;-0.3820962;-44.579998;9.24;-16.26;9.1868515;2.5737667;6.818986;
-1.0128909;0.33208162;-0.48899764;-44.82;9.3;-16.38;8.741529;2.1045034;5.8996124;
-0.52908564;0.49151745;-0.23426682;-44.219997;9.48;-15.78;8.585907;2.042254;4.7381253;
-0.3928627;0.26610819;-0.3979787;-43.86;9.179999;-16.56;8.8923645;1.970428;4.4364557;
-0.3103959;0.24167356;-0.1994475;-44.879997;9.179999;-18.359999;8.420707;1.8531121;3.6128504;
0.013362677;0.014431692;-0.24648413;-43.62;8.4;-17.64;9.26586;2.1308396;4.699818;
0.33345607;0.21723895;-0.18478674;-44.04;8.5199995;-18.18;8.183681;1.553837;4.1683054;
0.13370313;0.24167356;0.0027488936;-43.68;7.7999997;-18.3;8.607454;1.9201498;3.5290532;
-0.02023491;0.12622003;0.06078109;-44.28;7.2599998;-18.539999;8.554782;1.9009962;3.976769;
0.028634308;0.027259862;0.043676864;-43.559998;7.2;-19.08;8.516475;1.8243817;3.5051112;
-0.13385585;0.05841399;0.0290161;-43.02;7.7999997;-19.619999;8.90673;1.8195933;4.146757;
-0.07460192;-0.06681339;0.0015271631;-43.02;8.04;-19.32;8.593089;1.7645266;3.9264908;
-0.13324498;0.037033707;0.110872045;-43.98;7.56;-19.199999;8.77026;1.6807296;4.259285;
-0.06910413;-0.01488984;-0.028405234;-43.32;7.8599997;-18.84;9.028834;1.9153614;3.9552212;
-0.18700112;-0.030161472;0.03756821;-44.28;8.46;-18.539999;8.487744;1.5346833;3.8259344;
-0.13141239;-0.01488984;0.13225232;-42.78;8.7;-19.199999;8.521263;1.4030021;4.268862;
