gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.20945042;-0.5052619;-0.1614975;24.72;3.6599998;-33.54;-0.9911995;-0.10055647;10.371981;
0.07826711;-0.2541963;-0.8114581;25.019999;5.1;-35.16;1.1923125;-0.021547815;11.056723;
0.3898084;0.24915667;-2.15414;23.58;5.7599998;-34.68;5.3537345;0.6727707;13.582605;
1.4093425;0.22777638;-4.459545;23.76;9.54;-33.3;6.7136407;-0.01436521;15.747263;
1.8265635;-0.08620836;-4.1241803;22.92;15.54;-32.399998;-2.360683;3.086126;17.554886;
2.8241065;-1.339093;-2.275702;22.439999;17.34;-32.28;-4.1683054;4.7907977;18.866907;
2.9560533;-0.8455139;-1.3184763;23.939999;16.68;-36.6;-9.067142;6.0696006;19.530102;
4.003076;-1.1124619;0.038255434;22.439999;9.059999;-42.84;-10.70717;5.2771196;19.561226;
4.5595746;-0.3244458;0.24045183;19.26;-1.74;-45.3;-12.165238;5.5811834;17.993025;
4.9780173;0.85330236;0.8720865;18.3;-16.08;-39.3;-15.301942;3.4237084;14.631266;
4.932813;1.8435149;1.7938821;19.02;-26.16;-30.179998;-14.051869;1.4221559;12.404658;
4.2455897;2.364583;2.1628447;18.359999;-32.82;-19.14;-9.842862;0.19632454;8.629003;
3.3170745;2.7378216;2.3436608;14.639999;-38.04;-8.639999;-5.732018;-1.1420342;5.7870846;
2.5858688;3.1678708;2.038839;9.719999;-41.82;0.53999996;-2.2026656;-1.0821792;5.042488;
2.2926536;3.45681;1.4957799;4.02;-43.32;8.58;0.33518824;-1.8962077;3.2609026;
1.6475799;3.701767;0.7578547;-1.38;-42.54;13.799999;0.272939;-1.7717092;1.4030021;
0.9224829;4.3291254;0.5837581;-6.3599997;-42.3;16.02;0.48123455;-1.7357962;3.430891;
0.46738827;4.2118397;0.69371384;-11.5199995;-40.559998;17.22;1.3383588;-1.3862427;1.6089035;
-0.093386024;4.1409793;0.77129376;-16.859999;-39.0;14.58;3.2561142;0.2633622;3.751714;
-1.0060188;4.122653;-0.02649628;-20.4;-39.059998;9.66;2.3439236;1.6304513;3.9911342;
-1.5942819;4.294917;-0.30505082;-22.859999;-38.04;6.06;2.1763294;3.1244333;10.2139635;
-0.97914064;4.7426815;-1.5817592;-20.939999;-39.18;-4.44;5.454291;2.1332338;6.9841857;
-1.8117499;3.8990765;-1.6990453;-16.92;-40.379997;-11.7;1.9273324;0.6727707;9.986514;
-2.8239536;3.1098385;-1.8346574;-9.78;-38.76;-18.72;1.7788919;0.06464344;12.328044;
-2.9076421;2.5661685;-2.148642;-1.38;-36.18;-25.8;0.92176765;-0.91697925;14.18355;
-3.0707433;1.3969724;-2.3679428;8.46;-30.66;-32.28;1.7597382;-1.1994951;16.427216;
-2.7976866;0.922941;-3.2066607;15.42;-23.22;-38.04;-1.4820108;-2.1643584;16.771982;
-1.8740582;-0.6872998;-2.671543;21.359999;-11.94;-40.32;-1.5969325;-2.9783869;16.324266;
-1.5276976;0.22960897;-4.4235044;20.76;-1.86;-40.32;-1.1851299;-4.2784386;15.792753;
-0.78366375;-0.111253835;-5.1088953;19.439999;5.8799996;-37.68;-5.870882;-6.8644757;14.621689;
-0.38965568;-0.5724571;-4.697783;18.72;10.139999;-36.719997;-7.6354084;-8.025663;13.908216;
-0.5313764;-0.7050148;-3.8370736;16.32;13.86;-34.98;-10.5802765;-5.918766;12.730269;
-0.0139735425;-0.43317983;-3.0643291;14.94;18.24;-36.719997;-7.793426;-5.3800707;10.819696;
-0.6517169;0.37132972;-2.5450938;12.059999;20.46;-35.28;-8.973767;-3.3877954;10.300155;
0.16073392;0.53626335;-1.609859;9.78;24.0;-33.36;-5.84694;-3.5577838;10.448595;
0.2260965;0.6853145;-1.2011901;8.16;24.9;-30.539999;-4.390966;-3.3782187;8.01848;
0.19433151;0.67615145;-0.87071204;7.68;24.779999;-31.26;-3.572149;-3.040636;8.5476;
0.12713633;0.71158165;-0.58788145;7.02;25.019999;-29.64;-2.3415294;-2.8754363;8.952219;
0.027565295;0.7164686;-0.22502749;7.2599998;25.199999;-30.06;-2.2385786;-2.7102363;9.826103;
0.26702446;0.49472448;0.019318614;8.34;24.06;-30.0;-1.2665327;-2.9017725;9.914688;
0.0800997;0.52038085;0.24778222;10.86;23.82;-30.84;-1.7429788;-3.347094;9.375993;
0.13507758;-0.028176159;0.7560221;13.38;23.46;-31.679998;-0.9959879;-3.1507695;9.270648;
-0.037797287;-0.12347114;0.7401396;13.86;22.98;-32.16;-0.4333505;-3.2728736;8.511686;
-0.1483639;-0.12102768;0.6851617;15.179999;21.72;-33.12;-0.89782566;-3.1052797;9.14615;
0.059941154;-0.26702446;0.64240116;15.78;21.24;-33.12;-0.7757214;-3.2561142;9.335292;
-0.15935947;-0.12896892;0.52816933;16.02;21.24;-33.239998;-1.448492;-3.3039982;9.062353;
0.0397826;-0.31772628;0.647899;16.5;20.46;-34.14;-1.0510546;-3.4165258;10.041581;
0.19066632;-0.3000112;0.53733236;16.98;19.98;-34.68;-0.047884032;-3.4476504;9.962572;
0.23159428;-0.03733914;0.013209961;16.68;19.56;-36.36;0.016759412;-3.4261026;9.366416;
0.12408201;-0.042836927;0.18730655;16.5;18.18;-36.0;-1.1923125;-2.954445;9.119814;
