gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.1746311;0.3994295;-0.8474992;18.779999;11.5199995;-31.26;-1.7190368;-1.8363527;7.9059534;
-0.4629595;0.31085405;-0.8322275;19.56;12.42;-30.72;-1.0726024;-1.7788919;8.784625;
-0.86613053;1.2821298;-2.0515146;19.56;14.04;-30.42;1.352724;-1.8770541;8.044817;
-0.555811;0.6657668;-2.4950027;18.0;17.4;-27.84;1.1707647;-1.8842367;11.844415;
0.22487476;-0.44112107;-2.1956787;14.4;18.779999;-24.18;0.34476504;-1.6759412;13.728652;
0.58528525;0.7158577;-2.8077657;9.9;14.4;-20.039999;1.7166426;0.6727707;15.747263;
1.8296177;0.064064495;-2.7228556;15.66;10.74;-11.7;1.7549498;0.20829555;18.687344;
2.654286;0.25160012;-3.1437416;25.26;23.88;-17.279999;0.8810662;-1.091756;15.278;
2.5192847;-1.7123317;-1.2341769;20.58;28.439999;-28.98;-6.6011133;-1.6280571;15.15829;
2.93956;-1.8717675;-0.34109187;14.759999;23.64;-37.44;-1.5346833;1.4197617;15.804724;
2.6072493;2.6205356;-3.7112355;9.36;15.599999;-41.64;-0.7086837;1.4556746;14.343962;
2.7379744;0.6657668;-2.207896;12.84;10.62;-42.36;-10.891522;-1.055843;14.339173;
4.036674;-3.2401056;3.1707723;14.759999;4.74;-41.94;-13.187562;-0.32321724;12.751818;
2.9823205;1.688966;0.39011383;9.3;-4.38;-41.94;-0.40940848;3.1435869;7.0536175;
2.159485;3.678554;-1.2482268;12.059999;-13.259999;-39.899998;-2.1978772;3.3327289;9.227552;
2.7013226;-0.046502117;1.0303006;21.0;-17.279999;-33.239998;-9.960178;2.3702598;8.731953;
3.047683;0.27725646;1.9869156;20.46;-21.779999;-30.599998;-5.7631426;4.4460325;5.1550155;
1.9719493;2.8593838;0.32230777;18.9;-29.76;-24.359999;-1.7884687;5.56203;2.695871;
1.2181417;1.158735;1.395598;21.42;-31.8;-19.619999;-6.1294556;5.2172647;0.40222588;
2.1649828;-2.7697394;4.7651305;16.859999;-35.82;-14.82;-1.1587936;5.8421516;4.2521024;
2.0037143;1.8984928;0.65889454;7.74;-39.18;-13.74;4.209007;7.1613564;0.878672;
1.5742761;2.2491295;-0.5322927;5.58;-42.54;-7.8599997;-0.50517654;6.5532293;2.6886885;
1.9658407;2.2363014;-0.17738;7.68;-43.079998;-3.48;-0.45010993;5.538088;0.7445967;
1.3836862;3.243618;-0.57566416;9.12;-44.219997;3.48;-1.8243817;4.6950297;-1.2401965;
0.83329654;3.2246814;0.16042848;9.24;-43.32;7.98;-3.0238767;3.6894648;-2.2266076;
0.094149604;2.3108268;1.8482492;7.44;-44.1;10.32;-2.0853498;2.6288335;-0.6392518;
0.02695443;-1.0513754;5.6643243;0.78;-44.46;10.98;-3.3854012;-0.095768064;-0.49799395;
1.0428233;2.4201717;2.896494;-11.94;-41.94;11.639999;13.230658;5.076007;5.574001;
1.3616949;5.8202477;-1.5280031;-20.76;-39.059998;10.679999;7.1398087;2.5354595;2.3295584;
1.030606;3.9491675;0.26305383;-20.46;-39.42;8.099999;3.7325604;2.789245;1.3239936;
-0.038408153;3.9045744;0.5226716;-21.6;-39.48;5.8199997;5.1286793;2.597709;3.406949;
-0.15569428;5.596671;-1.2317334;-22.02;-38.76;1.68;10.197205;4.663905;5.5811834;
-0.6016259;4.7280207;-2.334956;-19.02;-39.239998;-4.14;3.4931402;3.4476504;2.777274;
-1.5020412;0.7885507;0.33147076;-12.36;-40.02;-8.94;-2.944868;1.8076223;4.6806645;
-2.2753966;3.0475304;0.20868684;-13.38;-38.46;-14.099999;6.1390324;3.7565024;11.35121;
-2.3810763;2.8642707;-1.1040626;-11.82;-36.78;-19.74;2.0590134;1.8435353;10.5084505;
-2.0848067;1.9601902;-0.9220247;-5.52;-33.48;-28.56;1.5562311;2.2505496;12.725481;
-2.351755;2.1807125;-1.4608079;0.17999999;-29.76;-33.36;1.3790601;0.81402856;13.994409;
-1.9675206;1.104368;-1.3148111;6.06;-24.539999;-39.18;-1.0079589;-0.91697925;13.551481;
-2.2937226;1.4818827;-1.8450421;11.16;-17.76;-43.62;-1.484405;-1.3694834;12.498033;
-1.675527;1.5814538;-2.5896869;16.14;-9.179999;-45.18;0.22984336;-1.9393034;12.914623;
-1.3022883;1.0933725;-3.4070246;20.1;-0.17999999;-42.42;-1.685518;-3.2920272;12.229881;
-1.1929435;0.932104;-3.8682277;22.02;6.6;-38.94;-2.6264393;-4.4963107;11.530775;
-0.62606055;1.1654545;-4.3905177;21.84;11.58;-34.92;-3.667917;-6.1174846;12.701539;
-0.1483639;0.44280094;-4.8095713;23.939999;15.599999;-31.439999;-4.074931;-8.6936455;9.1389675;
-0.7195229;0.3310126;-5.0704107;22.439999;19.859999;-29.099998;-8.334516;-8.624214;10.494085;
-0.0139735425;0.46540296;-3.6550357;19.26;27.18;-28.619999;-8.3752165;-7.5755534;10.709563;
-0.34017557;0.67309713;-2.956817;13.92;29.279999;-27.359999;-7.328951;-6.704064;7.6856866;
-0.26992607;0.6639342;-1.8939114;9.84;28.619999;-28.019999;-6.5652003;-6.1677628;9.074324;
-0.030466905;0.19662225;-0.9379072;8.28;27.0;-27.42;-4.2640734;-5.5476646;8.652945;
