gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.00786489;-0.039171733;-0.084528476;21.24;12.36;-34.44;-1.1228806;-0.6751649;9.957784;
0.19555324;0.30596712;-0.4712062;22.5;11.94;-35.04;-1.2449849;-0.6440403;10.364799;
0.13019066;0.06772968;-0.31848988;22.32;12.24;-35.219997;-1.3934253;-0.7038953;9.325715;
0.20777054;0.0035888334;-0.4760931;23.1;12.42;-35.399998;-0.6655881;-0.007182605;9.969755;
0.23342688;-0.083764896;-0.81451243;22.439999;13.139999;-35.28;0.038307227;0.78529817;11.142914;
0.58589613;0.04757113;-1.111393;22.08;12.9;-34.68;-0.36631286;0.79008657;11.480496;
0.78076214;0.028634308;-1.1456014;21.0;13.62;-34.62;-0.7302315;0.9864111;11.779772;
1.0507646;-0.27985263;-0.8206211;22.02;13.74;-35.28;1.0079589;2.4037786;12.857162;
1.207757;-0.2138792;-1.2341769;22.14;13.2;-35.34;0.10055647;2.8491;12.474091;
1.6414713;-0.5761223;-0.90797484;22.98;12.96;-35.399998;-0.5482722;3.739743;14.686333;
2.0452533;-0.84001607;-0.47487137;24.66;11.34;-37.92;-1.3575124;4.0821137;13.855544;
2.2077434;-0.75449497;-0.49991685;24.48;6.12;-40.44;-1.2617443;4.417302;14.169185;
2.5052347;-0.90354604;-0.29894218;23.58;1.14;-43.379997;-2.5570073;4.441244;13.963284;
2.6115253;-0.77221;-0.13461943;21.48;-5.16;-44.399998;-3.5098996;4.9730563;12.63929;
2.689716;-0.8864418;0.15615243;19.859999;-13.139999;-43.559998;-3.1244333;6.071995;12.646473;
2.7605765;-0.39774963;0.09506591;16.08;-21.06;-40.02;-4.3837833;6.8118033;11.293749;
2.9731574;-0.23831381;0.5800929;15.54;-26.519999;-33.719997;-4.8123455;7.0799537;11.063906;
3.0727286;0.29497156;0.56726474;13.38;-30.179998;-27.18;-5.2172647;6.842928;8.662521;
3.0495157;0.6181193;0.76885027;12.54;-34.62;-22.74;-4.8003745;6.4335194;7.51091;
3.0861676;0.9669233;0.9563859;11.04;-38.579998;-16.26;-3.5242648;5.6793456;4.831499;
2.590145;1.2644147;0.94477946;10.0199995;-40.739998;-9.84;-1.8986019;5.1574097;2.0805612;
2.1216114;1.7940348;0.62285346;7.68;-43.14;-1.8;-0.6847417;4.477157;3.1028855;
2.2077434;2.274175;0.5245042;5.8799996;-43.739998;2.7;0.055066638;3.2992098;1.1324574;
1.6872861;2.5399013;0.38095084;3.0;-44.04;9.3;1.3144168;3.3925838;-0.15083471;
1.2951107;2.9247465;0.21846068;0.84;-43.8;13.38;1.7238252;3.6343982;-0.19632454;
1.1045207;2.8795424;0.7731263;-1.68;-43.14;16.859999;2.0111294;3.4763808;0.59615624;
1.098412;2.5527296;1.1958451;-6.12;-41.28;17.46;4.3766007;3.4452562;1.2378023;
0.70990175;3.1544318;0.53672147;-10.44;-39.78;18.72;6.112696;4.5992613;0.47884035;
0.85834205;3.0823498;0.4011094;-15.36;-39.12;19.26;6.335357;3.9001546;0.9935937;
0.42035165;2.7653105;0.47746754;-18.84;-38.52;16.92;6.905177;4.441244;1.5969325;
0.2138792;2.3957372;0.6698901;-21.42;-36.0;15.299999;7.4223247;4.745308;1.0965444;
0.17172949;2.6987262;-0.21464278;-24.359999;-36.42;13.259999;8.269872;5.1286793;1.8195933;
-0.36766452;2.5441773;-0.31848988;-26.699999;-36.059998;9.179999;6.0432644;5.281908;3.0119057;
-0.33223432;2.3572526;-0.30443996;-26.22;-36.0;4.74;5.219659;5.2531776;3.775656;
-0.5063309;2.2686772;-0.594601;-24.66;-36.78;1.1999999;4.618415;5.348946;3.667917;
-0.6523277;2.8386145;-1.4156039;-23.64;-38.16;-3.78;3.3686419;3.9983168;4.3885717;
-1.2864058;2.3774111;-1.1798098;-19.14;-37.86;-8.34;1.8914193;3.2609026;6.076783;
-1.6474272;2.292501;-1.3465761;-15.299999;-38.76;-13.2;0.81881696;2.6719291;5.478233;
-2.2497404;2.0121138;-1.360626;-11.5199995;-38.879997;-18.96;1.3311762;1.0869676;8.813355;
-2.854497;1.8093065;-1.4620296;-5.94;-37.559998;-25.56;-0.9935937;-0.60094464;9.349657;
-3.3266957;1.4165201;-1.5890896;0.17999999;-33.0;-31.98;0.088585466;-1.99437;11.956943;
-3.3602934;1.1660653;-2.0753384;7.8599997;-26.519999;-39.6;0.4357447;-3.3183637;13.426983;
-2.963842;0.18073976;-2.176131;14.94;-17.16;-45.0;-0.38067806;-4.7500963;15.59164;
-3.095178;-0.13385585;-2.6501625;17.64;0.06;-46.26;-0.6823475;-5.135862;14.111724;
-2.3389266;0.8160396;-4.136398;15.24;6.18;-43.079998;-0.2633622;-5.743989;16.929998;
-1.9357556;0.8820131;-5.3257523;14.099999;14.219999;-37.8;-5.609914;-9.478944;13.041516;
-0.8881217;1.8997146;-5.992206;12.96;17.279999;-36.12;-13.699922;-17.258005;16.185402;
-0.39881864;0.26259568;-3.305621;12.059999;21.48;-35.34;-5.9594674;-7.4319015;14.023139;
0.095371336;2.16483;-4.3831873;11.16;24.72;-34.44;-7.549217;-6.548441;11.054329;
0.28046352;0.10804679;-1.7772361;10.26;27.599998;-32.88;-6.5173163;-4.1802764;8.863634;
