gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.28535044;0.06269005;-0.3032946;-2.76;17.22;-44.399998;2.2649148;0.9696517;9.543588;
-0.2083814;-0.48098;-0.4999932;-2.58;18.119999;-44.76;2.753332;0.90500826;8.952219;
-0.29817858;-0.37896553;-0.72784597;-3.3;18.359999;-44.76;3.667917;1.4437037;9.179668;
-0.82169014;-0.6141486;-1.5128077;-5.1;19.38;-43.92;8.9641905;4.189853;7.228394;
-2.1081724;-0.17310394;-3.3649511;-7.14;20.279999;-43.86;14.770429;2.9616275;8.700829;
-0.99823016;-0.8817076;-5.1230216;-11.4;22.56;-41.04;17.430387;4.9179897;9.658509;
-1.2657892;-2.7405705;-5.410739;-17.76;19.92;-40.26;14.540286;0.5315128;16.38412;
0.9406561;-2.063732;-5.020396;-25.8;14.639999;-36.12;14.863803;-0.33518824;22.391172;
1.4690546;-1.7057649;-4.9287663;-29.4;4.38;-32.94;11.849203;-0.62009823;21.613058;
2.2436316;-1.3820063;-4.8444667;-32.76;-8.46;-30.06;10.446201;-2.1787236;21.9674;
2.1642191;-0.6538549;-4.626999;-30.72;-22.02;-25.56;7.829339;-2.2242134;19.996971;
2.432389;0.04375322;-4.4608436;-26.22;-32.76;-23.46;7.168539;-1.4389153;17.641077;
1.9937878;0.5923102;-3.737579;-18.96;-40.739998;-20.039999;5.4734445;-0.3878607;14.547469;
2.1367302;1.6827047;-3.5897496;-10.0199995;-46.62;-15.9;7.5037274;-0.2873042;11.614572;
1.0029644;3.058984;-3.329521;-0.12;-49.5;-11.7;2.8898015;-0.80205756;9.840468;
1.2576952;3.725438;-2.9813278;9.059999;-49.68;-9.599999;2.4181437;-1.7669208;8.207623;
1.2638038;3.9722276;-2.273335;17.039999;-47.219997;-4.68;0.5506664;-1.0366893;4.3263226;
0.80443317;4.39739;-1.7052304;23.16;-43.559998;3.12;1.0342951;0.5482722;2.2385786;
0.34322992;4.4083853;-1.707063;25.439999;-40.739998;7.44;0.59615624;0.17717093;-0.59615624;
-0.046502117;4.6203556;-0.8530733;26.939999;-39.3;12.9;2.135628;0.8451532;0.021547815;
0.12576188;4.5519385;-0.93737274;24.0;-40.32;19.14;2.15957;1.5849615;-3.2585084;
-1.0318278;4.477413;-1.3515394;17.76;-40.079998;24.18;4.156334;3.845088;-7.7575126;
-1.805794;4.0546947;-1.0167851;13.38;-40.8;25.38;3.5098996;4.608838;-5.1167083;
-2.52295;3.789579;-0.8750645;9.0;-42.96;21.539999;3.6128504;6.0696006;-5.3776765;
-2.6115253;2.9526935;-0.079107046;6.72;-45.96;17.58;6.095937;6.833351;-1.1061212;
-3.2126167;3.2294154;-0.17379116;3.06;-47.1;12.12;4.0940847;6.1988873;-2.5617957;
-3.8198168;2.8946614;0.6301075;2.76;-47.879997;4.56;2.9951463;4.865018;1.5346833;
-2.168648;2.4487298;2.1456642;0.35999998;-48.12;-5.46;7.855675;6.1174846;2.4396915;
-2.535778;1.8726838;2.9019153;-4.14;-46.62;-11.759999;11.33445;7.451055;1.1252748;
-1.8277851;0.81771946;3.157868;-9.9;-43.14;-18.42;13.273753;7.987356;-0.4189853;
-2.4288766;0.02115121;2.731484;-18.3;-36.36;-21.72;16.927605;7.472603;-3.6463692;
-3.8344774;-1.4302646;2.2928827;-24.72;-30.66;-26.039999;16.429611;5.4159837;-0.8571242;
-4.1380777;-1.3111459;0.8542951;-28.92;-23.34;-30.179998;16.953941;5.0592475;4.2066126;
-4.6279917;-1.297096;0.54458636;-31.679998;-15.42;-33.3;10.984897;-0.33279404;7.791032;
-2.9224558;-0.7192175;1.1658363;-34.44;-8.22;-33.78;11.956943;2.0207062;9.988909;
-2.902908;-0.76136714;0.6282749;-37.14;-0.48;-32.579998;13.108554;5.4830213;8.6697035;
-4.304844;0.13965906;-0.5311473;-36.12;5.52;-32.28;12.035952;4.1012673;13.747806;
-2.3329706;0.47441322;-1.1181889;-35.46;11.58;-29.82;8.248324;2.9640217;11.952154;
-1.9224693;0.9020189;-1.0485502;-35.52;13.799999;-29.88;6.2994437;4.355053;11.308114;
-0.5968917;0.27710375;-1.1914927;-35.219997;16.38;-28.98;6.5556235;3.8307228;7.8724346;
-0.8259662;0.3467424;-1.7266107;-35.7;15.12;-29.099998;6.622661;3.371036;6.5939307;
-0.48571423;0.37911823;-1.3655893;-35.64;14.58;-28.8;6.395212;1.9081788;7.5300636;
-0.51564664;0.7511352;-1.2049317;-36.18;12.24;-29.88;7.10629;2.372654;5.219659;
-0.46738827;0.525115;-1.0888673;-34.559998;12.059999;-30.119999;6.292261;1.7549498;5.526117;
-0.49182287;0.77984583;-0.64965516;-34.26;10.679999;-32.52;6.1773396;1.7429788;7.3145857;
-0.21937698;0.5623778;-0.30879238;-32.52;10.559999;-34.02;5.765537;2.4396915;7.1613564;
-0.1399645;0.65645105;-0.12614368;-31.5;10.559999;-34.68;6.407183;2.719813;7.2595186;
-0.10881037;0.41577014;-0.31612277;-28.859999;10.0199995;-35.219997;6.098331;2.9592333;7.144597;
-0.19005544;0.38950294;-0.37293324;-29.039999;9.719999;-34.8;6.04087;2.8682537;7.230788;
-0.27618745;0.43898302;-0.34666604;-28.08;10.559999;-35.34;5.588366;2.6168625;7.606678;
