gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.7715992;0.057803124;-0.4615087;-49.26;6.18;-14.82;9.337686;3.2489316;2.705448;
-1.5669457;0.07124216;-1.1224649;-49.2;5.64;-14.4;12.4669075;6.5340757;0.5243302;
-1.7043904;-0.58543795;-1.4223998;-49.559998;5.1;-15.12;14.102147;8.358458;2.0757728;
-0.76976657;-1.0197631;-1.7760907;-49.379997;1.9799999;-12.96;15.395315;10.81012;5.1933227;
0.16485725;-1.5512159;-2.5573874;-50.579998;-1.56;-9.78;16.989853;11.554717;8.779837;
0.06895141;-1.2085205;-3.4162638;-50.82;-8.099999;-7.44;15.855002;9.601048;12.222699;
0.7616726;-0.580551;-3.9910882;-48.42;-16.5;-3.78;14.248194;6.8165917;16.511013;
1.7433331;0.24045183;-3.859752;-44.579998;-23.88;-1.1999999;12.885893;5.3561287;15.457564;
1.5026522;1.2483795;-4.2965207;-38.879997;-30.9;-0.12;11.695974;3.1124623;13.455713;
1.5808429;1.9905808;-3.9538252;-32.64;-39.84;0.12;10.051158;1.0151415;10.869975;
1.6205491;2.1720078;-3.6477818;-24.84;-43.26;0.59999996;7.5564;-0.31364042;8.097489;
1.7708219;2.9795716;-3.4437528;-16.14;-48.059998;3.1799998;6.4837976;0.2681506;3.2680852;
1.1318569;2.8983264;-3.3185256;-6.48;-48.18;6.42;1.4796166;0.63206923;1.0366893;
-0.7966446;3.842724;-2.164601;1.1999999;-49.379997;9.0;1.1540052;1.0007763;-0.06943185;
-0.43928847;4.1689262;-1.3747523;5.7;-48.6;9.54;0.7757214;0.61530983;-0.29927522;
-0.62376976;4.124333;-0.30390546;7.14;-47.219997;10.74;0.04309563;0.59615624;-1.1923125;
-0.8271879;4.227569;0.1695151;4.5;-46.68;12.3;1.3096284;1.5849615;-1.6400281;
-0.45211664;4.1396046;0.8585711;1.8;-47.34;10.139999;3.2728736;2.791639;-1.6472107;
-0.20899227;3.4951417;1.1120802;-2.04;-47.399998;10.38;4.256891;4.4963107;-3.5075054;
-1.5467871;4.046142;0.5702427;-6.42;-47.399998;8.7;6.6394205;6.2731075;-4.783615;
-2.821663;3.6838992;0.61911196;-9.48;-46.26;4.3199997;4.429273;4.9969983;-1.9752164;
-1.5040265;2.6228263;1.3655893;-9.96;-46.02;-3.6;6.1533976;6.2228293;-0.40222588;
-2.8638127;2.1035907;1.1878275;-12.599999;-44.28;-9.0;6.2970495;5.873276;-1.721431;
-2.3134232;1.0266354;1.9642372;-13.08;-41.399998;-15.839999;9.802161;6.5939307;0.8714894;
-2.4276547;0.2410627;2.104736;-17.34;-37.26;-20.58;10.666468;6.3880296;2.5594015;
-2.631073;-0.17432567;1.8206838;-18.48;-33.3;-24.72;13.101371;6.977003;2.0973208;
-2.1161137;-1.3734541;1.6355917;-22.74;-27.3;-30.179998;12.129325;6.1055136;5.0448823;
-2.0660226;-1.8743637;1.344209;-26.76;-22.26;-31.32;12.711116;6.7088523;1.6711528;
-4.2547526;-1.6294067;0.7877107;-30.96;-16.8;-32.219997;12.567464;4.003105;4.486734;
-3.7623954;-2.2946389;0.24709499;-35.82;-7.9199996;-32.399998;11.133337;2.9376855;8.827721;
-4.5950046;-1.7973946;0.4437936;-39.36;-0.59999996;-29.039999;11.827656;3.4284968;9.993697;
-3.8882337;-1.6239089;-0.099265605;-42.78;5.04;-26.099998;10.910676;2.468422;11.947366;
-2.9468904;-0.9049205;-0.7296785;-45.3;10.26;-21.42;11.650485;3.4332852;11.384728;
-2.87603;0.27221683;-1.2959507;-45.059998;11.88;-18.66;8.626608;1.541866;8.8684225;
-0.9365328;0.13049608;-0.82986045;-46.92;12.3;-17.46;8.310574;0.45729253;7.7670894;
-0.22731823;-0.64041585;-0.33505958;-47.579998;11.34;-16.38;7.3624697;0.6679823;4.158728;
-0.8473464;-0.06498079;-0.2874121;-48.36;10.74;-14.82;9.292196;1.8076223;4.8817773;
-1.1869875;0.1689806;-0.4804455;-48.78;11.219999;-13.86;8.954614;1.7357962;4.879383;
-0.44295365;-0.05642868;-0.33017266;-48.239998;10.679999;-13.38;8.260295;1.6591818;6.194099;
0.018860465;0.021762075;-0.19761491;-48.18;10.44;-14.099999;8.442254;2.0853498;4.7644615;
-0.296346;0.14637859;-0.27152961;-48.6;10.679999;-14.5199995;9.538799;1.9536686;5.2483892;
-0.13202325;0.40599632;-0.6264423;-48.899998;9.719999;-13.74;8.413524;1.6160861;4.441244;
-0.14973834;0.14515686;-0.6038403;-49.079998;8.639999;-14.58;8.585907;1.673547;4.414908;
-0.19310978;0.2813798;-0.30451632;-47.7;8.4;-14.5199995;7.2930374;1.4915876;4.268862;
-0.1277472;0.09567677;-0.12492194;-46.5;6.3599997;-16.859999;8.57633;1.8626889;4.6255975;
-0.091095276;0.065133505;-0.109650314;-46.079998;6.06;-17.1;8.169315;1.9081788;4.369418;
-0.044058654;0.042531494;-0.08460484;-46.739998;6.72;-16.68;8.5499935;1.9512744;4.4939165;
-0.16867517;0.10972667;0.061391957;-45.96;5.7599998;-16.02;8.236353;1.7884687;4.6255975;
-0.05627596;0.018096883;-0.029626964;-45.899998;5.94;-17.1;8.631396;2.1452048;4.2161894;
-0.24564418;-0.07903069;-0.046120327;-45.42;5.4;-16.74;8.238748;1.8770541;4.297592;
