gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.14301883;-0.122402124;-0.20738874;-46.98;9.24;-13.139999;9.462184;2.1164744;2.8562827;
-0.9322567;-0.022831088;-0.7247916;-47.219997;8.94;-14.5199995;11.150097;3.9025488;0.6919243;
-2.3512967;0.003436117;-1.4272866;-46.86;7.2599998;-13.74;11.997644;4.980239;0.51235914;
-2.1998022;-0.51702106;-1.4767667;-45.899998;6.0;-12.3;13.479655;8.614637;3.6607344;
-0.92309374;-0.8749881;-2.4040601;-47.76;3.0;-10.559999;15.603611;10.099042;5.952285;
-0.6127742;-1.3838389;-2.8951957;-47.579998;-3.12;-8.7;14.114119;9.689633;7.7215996;
0.26137397;-0.902477;-3.4217618;-48.6;-12.3;-6.2999997;16.52059;8.389582;12.045528;
0.6859253;-0.57566416;-4.0808854;-45.6;-22.14;-4.7999997;15.902886;8.238748;10.877157;
0.66026896;0.86903214;-3.5805867;-42.6;-30.119999;-4.14;12.545917;3.928885;13.845967;
1.6199383;0.8116108;-3.2983668;-38.46;-36.84;-5.4;10.680833;3.7588966;8.566753;
1.0518336;0.47868928;-3.4266486;-33.239998;-43.079998;-2.1;13.910611;2.8754363;9.455002;
1.0200686;2.8494573;-3.569591;-27.0;-48.18;-2.34;9.402329;0.521936;6.320992;
1.0622183;3.195207;-3.2537737;-18.06;-53.1;-3.54;6.1174846;0.81881696;3.53863;
0.7879398;2.8806114;-3.007595;-9.36;-55.62;-2.1;2.5067291;0.4141969;1.6376339;
0.20273091;3.9032;-1.7669277;-2.8799999;-56.579998;-1.68;1.1994951;0.79726917;1.6041151;
-0.098425664;4.187863;-0.9300423;2.34;-56.28;0.29999998;2.0446482;1.1204864;1.1683705;
0.41347942;4.084016;-0.7706065;4.44;-57.12;2.04;2.7006595;1.697489;-0.20829555;
0.23205243;4.641736;-0.441961;3.54;-55.32;4.02;4.144363;2.765303;-2.135628;
-0.8778897;4.9141817;0.03940081;2.9399998;-53.76;4.8599997;3.940856;3.3423057;-3.301604;
-1.021443;4.7474155;0.06383542;0.53999996;-53.579998;5.2799997;5.44232;5.2028995;-3.8498764;
-1.7349336;4.3130903;1.0955868;-1.9799999;-53.16;0.65999997;5.327398;4.9993925;-2.27928;
-0.96402174;3.3986251;1.1340714;-4.3199997;-53.46;-3.3;5.612308;6.2635307;-4.630386;
-1.071534;2.883055;1.6148223;-7.3199997;-52.68;-7.3199997;6.0097456;6.6154785;-4.3981485;
-2.4191027;2.0724368;1.6215417;-8.7;-50.399998;-11.4;7.094319;6.048053;-4.1611223;
-1.7489835;0.8946885;2.5085182;-12.66;-47.879997;-17.64;9.277831;6.354511;-0.4429273;
-2.1124485;0.50068045;2.1859813;-16.02;-44.94;-21.84;8.887576;5.672163;-1.1731589;
-1.9817232;-0.5610034;2.649628;-19.859999;-39.66;-26.279999;13.228264;5.320215;0.04309563;
-3.2046754;-1.1242211;2.5286767;-25.98;-33.899998;-30.539999;12.63929;4.4340615;1.2808979;
-1.9273562;-2.2873085;2.1700988;-29.519999;-26.34;-32.579998;14.566623;4.9969983;1.4556746;
-4.480773;-1.8963548;1.960572;-36.48;-19.8;-31.859999;15.1295595;3.095703;0.38067806;
-5.2486305;-2.576248;1.4175128;-39.719997;-9.84;-29.46;15.395315;-0.7589619;5.23163;
-4.461225;-2.7185795;1.0027353;-42.719997;-2.3999999;-25.08;16.015413;-1.4867992;6.143821;
-3.7685041;-1.9751564;0.77488256;-45.42;4.62;-17.82;17.576433;2.0566192;8.8444805;
-4.0128503;-1.7619644;-0.70952;-46.62;8.34;-9.54;12.385505;0.50038815;6.5292873;
-3.2993596;-0.69478285;-0.4877759;-46.5;7.5;-4.7999997;10.953772;1.1755531;6.739977;
-1.7031686;-0.05826127;-0.30634892;-47.52;6.8999996;-0.65999997;9.447819;1.1204864;7.307403;
-0.85589856;-0.047265697;-0.46273044;-48.12;5.52;0.9;10.077495;2.7365725;3.608062;
-1.7459292;0.6802748;-0.49205196;-48.059998;4.92;1.02;9.603442;1.6927006;2.171541;
-1.3366495;0.67416614;-0.4474588;-47.94;4.8599997;0.53999996;9.732729;0.9576807;2.2888567;
-0.73006034;0.54954964;-0.30573806;-49.2;3.3;0.17999999;8.834904;1.2018893;2.018312;
-0.61033076;0.7053203;0.0076358155;-48.899998;3.0;-0.84;8.992921;1.5921441;1.958457;
0.0041996986;0.56909734;0.046120327;-48.059998;2.76;-2.76;9.842862;1.6065093;1.4197617;
-0.10514518;0.41454843;0.040011674;-47.7;3.3;-4.74;9.457396;1.5514427;0.5626374;
-0.16317739;0.2447279;0.105374254;-48.36;3.72;-5.4;9.268254;1.3120226;0.8858546;
-0.2560289;0.112780996;0.1908954;-48.899998;4.62;-5.16;9.359234;1.2808979;1.4987702;
-0.21815525;0.09567677;0.1731803;-47.94;4.44;-4.7999997;9.814132;1.3359646;1.9608512;
-0.31528282;1.1335368;0.17562376;-47.82;4.2;-6.24;7.680898;1.4053963;3.7373488;
-0.7868708;1.5275449;0.13103059;-47.46;6.8399997;-6.54;10.187628;1.5729905;3.2728736;
-0.5913939;0.93989253;0.064446285;-46.68;7.74;-9.66;9.103054;1.5275006;4.235343;
0.32979086;0.94294685;-0.09437868;-46.379997;7.56;-11.639999;9.158121;1.6136919;4.2880154;
