gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.08926269;-0.32566753;0.5385541;18.0;0.71999997;-37.079998;-2.7126305;3.6463692;8.312967;
-0.11049025;0.05551238;0.65461844;18.6;-1.0799999;-38.76;-3.454833;2.7940333;7.0512233;
-0.5216026;5.345071E-4;1.0370201;19.08;-1.1999999;-38.64;-4.7884035;2.255338;5.430349;
-0.737238;0.4452444;1.3571135;19.02;-1.26;-39.18;-5.329792;2.6408045;7.1134725;
-0.94371045;1.2454779;1.3192399;20.4;-0.29999998;-37.559998;-7.046435;2.920926;7.178116;
-0.8838456;1.571069;2.0254002;20.88;-0.42;-35.88;-8.456619;3.6032736;8.353669;
-0.83619815;2.2118666;2.6222155;23.039999;0.65999997;-34.62;-9.584289;4.223372;11.037569;
-0.5594762;2.2601252;3.5366807;24.9;-2.1;-33.36;-9.593865;4.211401;12.770971;
-0.24915667;2.1935408;4.264221;26.22;-5.94;-30.66;-7.618649;5.466262;17.372927;
0.83451825;1.50815;4.826828;26.4;-12.599999;-29.699999;-5.293879;6.095937;18.993801;
2.095955;0.755564;4.4505353;22.619999;-18.779999;-27.96;1.7429788;6.050447;21.253927;
2.6292403;-0.51686835;3.8647153;17.039999;-27.119999;-25.019999;4.8003745;4.8147397;21.146189;
3.2914183;-1.7899115;2.5806766;9.84;-34.98;-21.06;8.308179;2.9257145;17.753605;
3.169856;-2.5638778;1.4395803;3.4199998;-39.3;-13.0199995;5.822998;0.5626374;15.323489;
2.2010238;-3.2761467;1.314353;-2.9399998;-41.579998;-4.92;4.0940847;0.1364695;9.050382;
1.2248611;-3.854636;1.2355514;-5.64;-41.94;0.17999999;4.027047;0.9983821;8.851663;
0.49182287;-3.7489564;0.4518112;-7.62;-41.82;6.0;3.2441432;1.1899183;5.222053;
-0.5313764;-3.9743657;0.13232869;-7.68;-41.94;7.5;1.7956513;1.0654198;5.1430445;
-1.2576952;-3.7251327;-0.1297325;-7.14;-42.54;7.62;0.6895301;1.4293385;2.96881;
-1.598558;-3.2181144;-0.8768207;-5.22;-42.36;6.2999997;-1.0869676;2.0973208;5.317821;
-1.4782175;-3.169856;0.0077121737;-3.06;-42.719997;2.3999999;-3.4213142;2.0494366;1.1444284;
-2.450715;-2.7648525;0.041309763;-2.1599998;-43.379997;-0.71999997;-1.7501614;3.0789435;2.3918076;
-2.305329;-2.091068;-0.30505082;-2.8799999;-41.879997;-5.22;-2.2002714;3.2082303;2.3391352;
-2.818456;-1.3531429;-0.63919413;-2.6399999;-41.7;-10.74;-3.3279405;4.63278;3.4859576;
-2.5881598;-0.6249915;-0.96356356;-2.46;-38.16;-16.68;-3.8857894;5.257966;5.7870846;
-3.2888222;-0.1839468;-1.0142654;-0.24;-35.88;-22.74;-4.3382936;6.0791774;4.99221;
-2.9699504;0.5118287;-1.3539065;1.26;-30.66;-28.439999;-5.1765633;7.388806;9.122208;
-3.479412;1.2827407;-1.5017358;5.4;-24.24;-35.88;-8.114249;8.494926;9.689633;
-3.0591369;1.3981942;-0.5817728;7.44;-18.48;-38.46;-9.512463;10.015245;11.681609;
-2.8428905;1.9620228;0.5697082;12.12;-9.0;-40.379997;-7.8484926;11.217134;16.558897;
-2.1678843;2.1306217;1.3638331;15.599999;-2.28;-40.32;-4.096479;9.507674;15.445594;
-0.99929917;2.409787;0.8598692;20.939999;1.8;-37.2;-2.1404164;7.652168;14.466066;
-1.2063825;1.7586046;1.8054886;22.92;3.84;-33.059998;-1.9393034;5.5596356;14.549863;
-0.69508827;1.5649604;2.0962605;26.16;2.8799999;-30.779999;-0.107739076;3.7660792;13.034333;
-0.45501825;1.4562263;1.9142226;26.939999;1.5;-28.98;-0.01436521;2.6647465;12.2634;
-0.4171446;0.56558484;1.5819119;28.38;-1.56;-28.5;3.4835634;2.5785553;11.540352;
0.11064297;0.9553169;-0.21158844;29.22;-3.0;-28.619999;0.80205756;1.8507179;9.684845;
-0.0603993;-0.11491902;0.5452736;30.539999;-3.54;-27.96;-2.717419;0.47405192;8.025663;
-0.38660133;-0.23525947;0.45914158;30.24;-3.4199998;-27.66;-1.3623008;2.7365725;9.14615;
-0.134314;0.0603993;-0.2653446;30.0;-4.2599998;-28.38;-3.2082303;3.1627405;9.196428;
-0.008475755;-0.09476047;-0.1559997;30.0;-2.82;-27.9;-3.8163576;3.0693667;8.396765;
0.031841353;0.057344973;-0.20486893;30.359999;-2.7;-27.96;-4.2904096;2.6264393;8.468591;
-0.062842764;0.006032294;0.005879578;29.34;-2.76;-28.26;-3.892972;2.8538885;8.219594;
-0.14103352;-0.03306308;0.059024855;30.119999;-2.6399999;-28.439999;-3.7948096;2.9017725;8.925883;
-0.13125966;-0.00496328;0.18975002;30.3;-2.8799999;-28.619999;-3.8235402;3.016694;8.444649;
-0.17340937;-0.044058654;0.23800837;30.179998;-2.6399999;-28.619999;-3.7612908;3.0573955;8.803779;
-0.025579982;-0.051999904;0.19280434;29.64;-2.7;-28.439999;-3.5673606;3.1124623;8.806173;
-0.12087496;0.015806139;0.07368562;28.859999;-3.4199998;-28.98;-3.8139634;3.0071173;8.782231;
-0.0139735425;0.054901514;0.06391177;29.82;-3.3;-28.859999;-4.060566;2.7461493;8.387188;
-0.09216429;-0.0012980887;0.20257819;29.279999;-2.8799999;-28.859999;-3.9360676;2.755726;8.880393;
