gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.16485725;-0.039171733;0.20868684;24.779999;-1.62;-34.8;-2.3295584;2.7102363;9.514857;
-0.18990274;-0.54985505;0.87452996;25.199999;-1.62;-34.68;-6.036082;1.757344;8.447042;
-0.26687175;1.4904349;0.4450917;23.939999;-2.82;-35.7;-2.4229321;2.789245;8.79899;
-1.1098658;5.093318;-3.2708015;28.08;-1.62;-34.02;-4.5561657;0.51235914;4.0198646;
-1.2027173;-5.065371;5.163415;34.2;3.24;-29.88;-22.539614;-4.896442;7.400777;
-1.1471286;3.3517413;3.254461;26.58;-1.56;-33.78;3.122039;4.5777135;12.581829;
-1.1850022;5.1867805;0.91118187;28.38;-3.54;-33.42;-5.2052937;2.372654;14.013562;
-0.12820534;-3.161304;3.9911644;34.5;-3.8999999;-27.539999;-5.978621;3.2034419;11.396699;
0.43806675;6.6052094;-1.3025938;30.66;-6.8999996;-32.46;-4.3047748;4.654328;16.458342;
0.9511936;2.4439955;-0.16943875;40.44;-6.66;-24.48;-11.983279;-0.46686932;4.3287168;
0.57367885;-4.7910924;4.782235;43.68;-8.22;-22.02;-13.477261;0.90021986;7.7215996;
0.2822961;3.5307248;2.6081655;35.64;-18.96;-30.24;-5.4495025;3.8115692;15.227721;
0.47655123;-0.14362969;2.4994316;37.14;-24.66;-24.6;-6.953061;3.9121256;8.736741;
1.3280973;-3.1680236;4.5391107;31.619999;-31.8;-22.56;-5.8277864;4.5777135;13.889063;
1.4606552;4.599739;-0.19081903;19.02;-37.32;-21.42;-1.3000516;5.1286793;16.511013;
2.4417048;-3.35617;2.6069438;21.42;-39.18;-13.62;-5.3992243;1.0989386;3.8115692;
0.92675894;-5.1447835;4.5427756;13.32;-41.64;-9.12;-4.9395375;4.209007;7.680898;
0.19310978;2.5435665;0.36018142;1.74;-43.26;-8.46;4.1802764;4.8841715;11.150097;
0.88766354;-4.6084437;2.1451297;0.35999998;-42.78;-8.4;0.25139117;4.429273;9.359234;
1.1497247;-4.8588986;1.658881;-5.58;-42.899998;-5.2799997;1.1611878;3.6703112;4.546589;
-0.6718754;-1.2566261;0.015042556;-11.639999;-42.36;-1.14;3.821146;4.63278;7.094319;
0.7325038;-3.0482938;-0.08636107;-11.4;-42.3;-0.53999996;2.4947581;2.5306711;1.6783354;
-1.5240325;-11.227169;4.8830276;-13.139999;-41.82;4.2;-0.23463176;-0.5674258;-2.0326772;
-1.643762;0.011530082;-0.8096255;-19.68;-39.0;10.26;11.341633;6.8381395;10.0751;
-0.15386169;-0.27191138;-2.7692811;-16.92;-41.64;6.24;0.47165772;2.3630772;-2.9376855;
0.022067508;-9.92236;4.432209;-12.54;-42.0;7.2;0.30885202;1.4341269;-3.560178;
-2.396348;4.2472696;-3.1803935;-16.14;-41.04;13.139999;8.6457615;5.382465;-1.3862427;
-2.8868728;-0.83696175;-2.4400249;-10.62;-43.379997;5.64;0.59855044;0.91458505;-10.431836;
-1.7641025;-11.08667;6.0589433;-9.599999;-43.44;0.24;4.7979803;2.9759927;2.3822308;
-1.9889009;6.994331;-3.7973673;-20.82;-39.719997;3.4199998;8.901941;5.602731;7.237971;
-2.1678843;0.13370313;-2.7582858;-13.08;-41.82;-6.18;1.3144168;0.12928689;-9.466972;
-2.0084486;-5.1991506;2.3363304;-11.34;-38.94;-11.46;0.6799533;2.9735985;2.944868;
-2.968118;3.9772673;-2.2286656;-17.64;-36.48;-14.16;3.107674;4.841076;6.977003;
-2.8838184;0.44219008;-2.7527878;-9.179999;-31.26;-24.9;-2.5785553;-0.6464345;-3.2704794;
-3.6461782;-3.3134093;1.4157566;-4.68;-27.779999;-30.48;-3.4093432;2.2649148;11.607389;
-2.6608527;6.2472425;-4.5096364;-7.7999997;-21.24;-35.94;0.31364042;6.2467713;16.09921;
-1.7396679;5.7671022;-5.8327703;8.34;-15.299999;-38.219997;-6.6178727;4.43885;11.250653;
-2.015779;-2.4698045;-1.4803556;23.22;-5.22;-35.76;-13.359944;4.3598413;10.513239;
-2.5154667;2.9827785;-3.5560756;22.26;2.22;-37.739998;-11.382334;6.53647;12.014403;
-2.7555368;-2.004936;0.8287151;25.92;10.679999;-35.16;-16.975489;3.1435869;12.146085;
-2.5081363;2.024331;0.49396092;23.76;15.719999;-34.739998;-1.6783354;8.269872;19.149424;
-1.4519503;3.0957887;-2.0716732;25.859999;18.84;-31.98;-6.7950435;3.3758245;12.648867;
-2.206369;-3.568751;4.8188868;28.8;22.92;-25.859999;-10.467749;-0.15801731;12.1484785;
-1.6895769;1.5533539;1.8537469;26.099998;19.56;-29.64;2.4588451;3.0262709;14.372692;
-0.3114649;2.0224984;-0.19387336;27.119999;18.96;-26.279999;-3.787627;0.90740246;12.421417;
-0.26137397;-1.9548452;2.0431151;29.4;18.72;-25.08;-4.1419687;-0.320823;9.232341;
-0.11171198;0.2326633;1.0406853;28.32;17.039999;-27.0;-4.4795513;0.076614454;10.537181;
0.041615196;0.6162867;0.80244786;27.24;15.42;-28.019999;-3.095703;-0.6847417;9.153333;
-0.049403727;1.1624002;-0.038713586;29.4;15.0;-27.66;-2.705448;-0.39743748;10.503662;
0.022678372;1.2436453;-0.080252424;31.26;15.059999;-26.519999;-4.9778447;-1.9057846;7.240365;
