gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.5571855;-0.25373816;0.39370266;11.94;11.099999;-46.98;-5.0089693;-0.20829555;7.975385;
-0.33299792;-0.23357959;0.6264423;13.0199995;11.58;-46.44;-5.1813517;-0.40701428;8.6457615;
-0.60605466;-0.13828462;0.8585711;13.74;12.48;-46.739998;-5.834969;-1.3263878;7.4175363;
-0.92126113;-1.0197631;2.0112739;13.2;12.42;-46.379997;-10.996868;-2.3582888;6.5915365;
-1.0464885;-0.2213623;2.5940392;12.42;13.62;-46.02;-14.075811;-2.0231004;6.857293;
-1.2523501;0.03397938;4.7668867;15.299999;12.48;-44.94;-18.1271;-3.205836;9.591472;
-0.87422454;0.48846313;6.1749315;19.199999;11.4;-43.559998;-12.545917;-2.3008277;15.761628;
0.097662084;0.92889696;6.3856797;25.74;6.48;-42.54;-7.7311764;-1.6879122;19.020138;
1.4739414;-0.025885414;6.35025;30.3;-1.56;-41.34;-6.842928;-3.2369606;19.238008;
1.8490127;-0.10835222;5.296507;31.019999;-12.54;-41.64;-1.70946;0.5386954;18.69692;
2.8117363;-0.60742915;4.5591927;26.519999;-25.439999;-40.86;-1.352724;-1.400608;16.716915;
2.8215103;-1.3661238;3.9336667;21.3;-34.5;-38.52;2.2840683;-1.0606314;13.901034;
2.2674553;-2.0521255;3.134655;11.219999;-42.059998;-35.04;5.171775;0.29688102;11.389517;
1.725618;-2.2879195;2.2617285;2.04;-46.739998;-32.64;7.18051;1.3623008;9.304167;
1.3364968;-3.2170455;1.2061534;-4.44;-50.16;-29.22;7.5994954;1.5251064;8.933065;
0.55703276;-2.5340981;0.12614368;-10.26;-51.48;-25.199999;6.9817915;1.2617443;4.7022123;
0.089109965;-3.396029;-0.44929138;-12.9;-52.26;-23.46;7.652168;1.9800048;5.210082;
-0.2859613;-3.5939493;-0.9111055;-15.0;-52.5;-20.279999;6.950667;2.707842;4.4939165;
-0.40508002;-3.5353062;-1.312444;-14.16;-54.6;-18.66;4.426879;2.4037786;5.1095257;
-0.58833957;-3.6202166;-1.4523321;-14.099999;-56.879997;-17.279999;3.2848446;2.2649148;3.9312792;
-0.6127742;-3.8480692;-1.2910637;-11.46;-57.66;-14.58;1.9273324;2.7341783;2.633622;
-0.78015125;-3.5780668;-1.4132367;-8.5199995;-58.199997;-14.5199995;1.8938135;2.8203697;2.3199813;
-0.78809255;-3.309286;-1.112691;-5.7;-58.8;-14.58;-0.62967503;3.550601;2.078167;
-0.26702446;-3.005686;-1.1511755;-2.6399999;-58.14;-14.88;0.770933;3.7565024;0.51475334;
-1.7593683;-2.4864507;-1.135904;0.12;-57.96;-15.9;-1.7645266;2.9161377;-1.0749966;
-2.11367;-2.5218809;-0.6038403;1.9799999;-56.219997;-18.84;-2.3630772;2.6408045;2.5809495;
-1.3818536;-2.697199;-0.44135013;0.06;-53.219997;-24.84;-2.1978772;3.0909145;2.8802247;
-2.204689;-2.0350213;-0.7284568;-1.68;-51.3;-27.3;-3.0382419;4.074931;2.0614076;
-2.196137;-1.3783411;-1.0241156;-1.4399999;-48.42;-30.42;-4.8841715;3.2704794;4.879383;
-2.1991913;-1.2079097;-1.2458596;-2.7;-45.66;-35.04;-4.5513773;3.6415808;5.454291;
-3.1270955;-0.92691165;-0.8750645;-1.26;-41.76;-39.059998;-8.243536;2.8395233;9.92666;
-2.667114;-0.5829945;-1.0118983;-2.58;-36.3;-43.14;-5.9235544;2.8682537;10.350433;
-2.5803711;0.31803173;-1.1572843;-1.62;-31.619999;-46.26;-6.680122;3.454833;12.14369;
-2.7746263;1.0999392;-1.6667458;0.35999998;-26.46;-48.84;-10.156503;2.7820623;11.679215;
-3.1191542;-0.1333977;-0.7443393;3.54;-19.8;-51.78;-10.170868;2.6910827;13.063064;
-3.1301498;0.5385541;0.15974127;4.08;-13.139999;-52.14;-11.657667;3.074155;16.218922;
-2.7092638;0.39988765;1.3283265;4.14;-4.62;-51.719997;-9.507674;3.679888;16.57805;
-2.1888065;1.0443505;1.5867225;5.8199997;2.34;-50.579998;-5.9355254;2.5617957;15.464747;
-1.9817232;1.0406853;1.7614299;9.42;6.42;-49.32;-5.174169;0.5554548;14.571411;
-1.737988;0.86964303;2.3570235;12.78;10.8;-47.1;-5.856517;-0.055066638;13.49402;
-1.3659711;0.21662809;2.62275;16.08;12.179999;-45.48;-4.0557775;-0.11731588;11.719916;
-0.96707606;0.052305337;3.1590896;19.98;12.48;-44.04;-1.6496049;-0.25378537;12.955325;
-0.500375;0.5483279;1.598329;22.32;11.34;-42.0;-0.91937345;0.19871874;9.354445;
-0.35926512;0.36995527;0.9990701;25.439999;9.54;-41.219997;-2.231396;0.08619126;9.256283;
0.03901902;0.51289773;0.23304509;27.84;9.96;-39.18;-2.767697;-0.02873042;8.26269;
-0.12347114;0.72731143;-0.2611449;29.099998;9.48;-39.0;-4.2880154;-0.6512229;7.388806;
-0.27313313;0.38095084;-0.1572978;30.119999;9.12;-38.16;-4.606444;-0.7015011;7.513304;
-0.37820193;0.09628764;-0.038179077;29.76;11.28;-37.68;-5.5931544;-0.44771573;8.229171;
-0.13263412;-0.37346774;0.25381452;30.42;11.639999;-37.079998;-5.7392006;-0.21787235;8.037635;
-0.06604981;-0.015500706;0.14996742;29.76;11.58;-37.14;-5.614702;-0.011971008;8.135797;
