gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.6304893;0.64011043;0.9191231;-31.14;-4.44;-25.019999;6.53647;5.8780646;4.8578353;
1.3140475;0.44035748;0.8946885;-30.24;-4.7999997;-25.74;6.0791774;5.370494;8.626608;
1.8283961;1.072603;0.98204225;-30.779999;-4.92;-24.0;6.842928;5.59076;10.10383;
3.233386;1.6669749;0.7083746;-31.019999;-5.8199997;-24.18;9.562741;7.0560117;13.314455;
4.4416776;3.2112422;0.43165267;-32.88;-11.639999;-21.84;11.715128;7.8365216;12.146085;
4.737336;3.3163111;-0.47853658;-34.559998;-17.1;-21.9;12.4190235;11.12376;4.687847;
3.8130972;2.9076421;-1.818164;-37.02;-28.859999;-26.34;14.061446;14.705786;2.6982653;
3.8210385;2.0811415;-2.5182157;-23.82;-41.879997;-27.539999;14.789582;13.515568;4.0533834;
4.3091197;0.9669233;-3.1480176;-6.12;-45.78;-16.68;17.143084;13.046305;-1.2665327;
2.4111614;-0.122860275;-3.4986544;4.74;-43.079998;-2.82;15.335461;9.603442;-3.335123;
2.8118892;-1.166829;-2.9494865;13.5;-39.18;4.7999997;10.956166;5.832575;-2.0566192;
3.1606932;-1.6261996;-2.1284835;20.939999;-34.5;11.219999;9.184457;4.896442;-4.8626237;
2.9835422;-2.7703502;-1.5231161;26.939999;-29.76;15.42;6.6250553;3.6343982;-5.5476646;
2.3708444;-3.197345;-0.630642;31.199999;-24.48;17.82;4.429273;2.3391352;-3.6870706;
2.7202592;-3.4594061;0.21784982;35.399998;-21.48;17.34;3.0095115;2.3894134;-1.460463;
2.1613176;-3.3763285;0.6833291;39.3;-19.74;15.9;1.7717092;2.9017725;-3.13401;
1.9035325;-3.3164637;0.83665633;40.98;-19.14;13.259999;1.0055647;2.384625;-2.0901382;
1.8992563;-2.92551;1.3216833;42.12;-19.74;9.96;-1.0175357;1.721431;-0.9648633;
1.6084845;-3.00309;1.8726838;40.739998;-20.82;6.7799997;-0.37110126;1.9560628;-2.7126305;
0.47166434;-2.6652815;1.9905808;39.78;-23.279999;4.44;-0.059855044;1.9057846;-0.4285621;
0.53519434;-2.6280186;2.2459223;36.54;-26.64;1.02;-0.6536171;2.030283;2.1092918;
0.53519434;-2.2798254;3.0803645;30.119999;-30.48;-2.82;-0.3854665;1.3958195;2.4349031;
-0.051236324;-1.9053651;3.5324047;24.359999;-34.86;-4.2599998;0.93613285;3.7732618;3.442862;
-0.3731623;-1.4979179;4.0632467;15.179999;-37.44;-6.48;1.910573;5.257966;5.976227;
0.1295798;-0.76426876;4.4932957;4.98;-38.04;-8.76;6.8357453;9.373599;9.653721;
-0.87407184;0.3853796;4.419381;-5.94;-37.8;-8.5199995;6.6130843;11.312902;8.523658;
-0.39698604;0.6773732;3.956956;-16.92;-33.54;-10.92;9.076718;14.267347;6.869264;
-0.29374984;1.5527431;3.5995998;-24.42;-27.18;-12.48;11.130943;15.23251;7.0200987;
-0.24610233;1.9595793;3.1964288;-29.76;-21.96;-15.66;10.769419;14.372692;6.04087;
1.7092773;2.4311674;2.3803127;-32.1;-15.599999;-17.82;14.025533;15.481506;3.8522706;
0.7917577;2.2961662;1.5556448;-33.18;-12.66;-19.619999;11.753435;12.806884;-1.9919758;
0.9114873;2.3034966;1.423087;-32.88;-11.4;-21.119999;12.811672;9.069535;2.705448;
1.629254;2.0829742;0.5929211;-32.88;-10.5;-23.34;11.092636;7.4319015;-1.0175357;
0.5590181;1.6944638;0.24289529;-31.74;-10.92;-23.82;9.854834;6.3976064;-2.858677;
0.33788484;1.6297121;0.6735553;-30.84;-12.179999;-25.68;8.523658;4.4939165;1.1707647;
2.6017513;0.6877579;0.53611064;-30.359999;-12.179999;-27.3;10.71914;5.0017867;0.18195933;
1.1698833;0.41470113;0.39500073;-31.8;-14.5199995;-25.92;7.879617;5.269937;-1.8986019;
-0.3169627;0.19356793;0.23128885;-32.219997;-15.48;-25.26;7.178116;5.3800707;1.661576;
-0.09827295;0.026190847;0.2111303;-32.1;-14.88;-25.08;8.01848;5.672163;3.9145198;
0.14240795;0.07689266;0.1286635;-31.859999;-13.86;-25.08;7.427113;5.815815;2.882619;
0.13446671;-0.025121834;0.11644619;-32.64;-13.559999;-25.38;8.157345;6.1390324;2.3654714;
-0.28031078;-0.06604981;-0.04970916;-32.34;-13.559999;-25.019999;7.606678;5.5692124;2.966416;
-0.3016911;-0.018402316;-0.03932445;-32.88;-13.139999;-25.14;7.508516;5.087978;4.0533834;
-0.0884991;0.018860465;0.029092457;-32.82;-13.0199995;-25.74;7.4558434;5.0257287;4.189853;
0.16500998;0.030466905;0.030314188;-32.94;-12.599999;-26.64;7.496545;5.315427;3.6990416;
0.036728274;0.0463494;0.0052687125;-33.059998;-12.84;-25.859999;7.5156984;5.3896475;3.1196449;
-0.023747386;0.03718642;0.065133505;-32.94;-13.2;-25.38;7.6976576;5.5309052;3.0334535;
-0.012751812;-0.020845776;0.06757697;-32.04;-12.42;-25.38;7.712023;5.3800707;3.4356794;
0.031230485;-0.07276932;0.022372939;-32.399998;-12.42;-25.68;7.759907;5.3250036;3.2010477;
-0.1379792;-0.010461068;0.06207918;-33.719997;-12.599999;-25.5;7.5564;5.2364182;3.394978;
