gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.11491902;-0.2561816;0.32589662;-23.939999;14.94;-40.26;3.3087866;1.496376;9.0839;
0.2326633;-0.490143;0.59528816;-23.1;15.66;-40.5;2.384625;1.30484;9.586683;
0.4721225;0.093844175;0.8353582;-24.66;16.08;-40.5;2.3247697;1.2497733;11.197981;
0.76778126;-1.0191523;1.244027;-23.82;15.36;-40.739998;0.011971008;2.1667526;12.794913;
1.2063825;-0.46509752;1.1756102;-24.539999;13.259999;-41.52;1.7118542;2.585738;17.983448;
3.0438652;1.1671344;2.0967948;-22.92;7.2599998;-42.78;0.91458505;-0.079008654;19.573198;
4.0316343;1.8006017;2.0888536;-20.1;2.82;-45.3;5.5428762;2.6743233;14.631266;
4.494059;2.20194;1.5439619;-15.54;-3.3;-47.76;8.178892;3.7565024;13.431771;
4.363945;2.0266218;0.78954333;-11.639999;-11.759999;-48.36;9.581895;6.230012;10.920253;
4.7542877;1.6668222;0.35460728;-8.28;-20.039999;-45.96;10.079888;7.249942;9.639356;
4.8526373;0.81771946;0.21655174;-5.52;-29.519999;-40.68;9.656115;8.205229;6.2587423;
4.0548472;-0.29772046;-0.4474588;-4.56;-36.3;-33.12;10.515634;9.0839;3.1292217;
3.1275537;-0.4076762;-1.2098186;-4.14;-42.78;-25.199999;11.403882;9.069535;2.9352913;
3.0664673;-1.5695419;-1.6490307;-2.04;-46.5;-15.839999;8.988132;7.740753;2.980781;
2.4171174;-1.9800433;-1.824349;2.1;-49.02;-8.88;6.366482;6.7016697;1.7717092;
3.0078242;-2.0820577;-1.221425;6.12;-48.899998;-3.06;3.2225955;4.7046065;-0.59136784;
2.9119182;-2.8450286;-0.29779682;8.7;-50.28;3.84;4.1395745;6.0336876;-3.4811692;
2.3853524;-3.6800814;-0.18112154;12.66;-47.94;9.54;4.0078936;6.419154;-4.7405195;
1.8166369;-3.8883862;0.27091873;15.599999;-47.52;13.679999;2.645593;5.0353055;-1.946486;
2.0866394;-4.266512;0.54336464;18.72;-47.28;13.98;1.0941502;3.7972038;-1.2473791;
2.2534056;-4.2701774;1.4187346;22.199999;-46.14;14.28;-1.0175357;2.741361;-2.0853498;
2.296777;-4.292779;1.6081028;23.88;-45.18;14.34;-0.5530606;3.5075054;-1.6160861;
1.8728365;-4.16633;1.883603;23.939999;-45.6;14.58;-1.745373;3.0693667;-1.5969325;
1.2723559;-3.981238;2.0595322;23.1;-45.239998;12.84;-1.8602947;3.004723;-1.5777789;
0.2222786;-4.470541;1.9294178;21.18;-44.7;11.099999;-1.5346833;3.0214825;-2.2122424;
1.2051607;-4.110741;2.5751023;17.16;-46.079998;6.8999996;-1.7884687;2.0278888;3.1794999;
0.007254025;-3.06494;3.22995;12.599999;-48.0;6.2999997;0.22984336;3.0262709;4.898836;
0.9369909;-2.7808876;3.2378912;6.54;-47.579998;5.52;1.3024458;4.1659107;1.6639702;
-0.41668645;-1.4718034;3.7027597;0.24;-47.28;6.48;1.3263878;4.757279;6.37127;
-0.3207806;-0.64224845;3.3466253;-8.58;-46.92;7.2599998;3.7325604;7.1829042;5.4375315;
-1.1411726;-0.34414622;3.8365393;-15.42;-44.879997;6.7799997;6.2755017;5.8541226;7.0057335;
-0.061773747;-0.31482467;3.755905;-25.199999;-41.28;4.38;7.700052;6.1031194;6.7112465;
-0.28290698;1.055957;3.4034357;-33.719997;-36.66;2.7;11.602601;8.109461;8.004115;
-0.84062696;1.0034225;3.1975741;-39.54;-31.5;0.71999997;12.215516;7.700052;11.456554;
-0.9145416;2.021735;2.1371121;-43.379997;-26.22;-3.84;10.7550535;8.813355;4.644751;
-0.87300277;1.6436093;2.7058277;-45.78;-21.48;-8.7;10.683228;4.5082817;13.398252;
-0.7557167;1.5641968;2.7046058;-47.399998;-14.639999;-13.44;11.14052;4.661511;9.268254;
0.7231881;2.139632;3.5530977;-48.059998;-7.62;-17.039999;15.340249;4.9778447;12.488456;
0.1923462;2.4181864;2.3386977;-47.1;-1.1999999;-21.359999;13.537116;5.432743;8.305785;
1.3560445;2.6881888;2.014939;-43.92;3.6;-26.099998;14.542681;6.2348003;8.150162;
-0.17478381;2.3589325;1.4065173;-40.32;6.54;-31.439999;11.257835;3.3973722;7.7431474;
1.0023535;1.6973654;1.1316279;-36.239998;9.3;-34.739998;12.648867;3.2992098;5.4949923;
0.5796348;0.8989646;1.1194105;-32.16;9.599999;-39.48;8.53084;2.731784;5.346552;
0.08544478;0.81466514;0.3277292;-28.74;9.599999;-39.84;7.4893622;2.0231004;5.9834094;
-0.17905988;0.2746603;0.6795876;-26.34;9.96;-41.219997;6.4215484;2.0829554;7.3457103;
0.26870435;0.09140071;-0.37293324;-26.34;11.82;-41.579998;5.028123;0.11492168;7.0200987;
0.51427215;0.11766792;-0.5873469;-25.68;11.759999;-40.86;5.0233345;0.557849;9.007286;
0.80504405;-2.2500458;-1.1774428;-27.24;9.96;-40.379997;2.693477;1.1013328;4.235343;
0.7225772;-0.6062074;-1.108415;-31.679998;6.66;-39.78;5.672163;1.3120226;7.3912;
0.26137397;-0.69172853;-0.22082779;-34.8;7.2599998;-37.079998;3.964798;2.480393;7.4797854;
