gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.6883688;-0.035506543;0.6717227;19.619999;16.619999;-34.32;-2.6384103;-0.45489833;8.157345;
-0.7060839;0.15874861;0.7236462;19.98;18.119999;-32.64;-3.040636;-0.7422025;7.70484;
-1.0304533;0.24182628;1.0101421;20.1;17.699999;-30.539999;-4.4915223;-1.7046716;6.026505;
-1.5105934;0.19417879;1.54526;18.66;17.34;-27.42;-6.5101337;-1.6639702;9.215582;
-1.3768139;0.8111527;1.9252182;17.039999;18.18;-27.119999;-7.3864117;-1.9321208;10.010457;
-1.7115681;1.1434634;2.5715137;18.84;19.26;-28.56;-9.392753;-1.7022774;14.066235;
-1.050001;0.6156758;3.4658203;22.619999;19.8;-28.32;-10.338462;-2.645593;12.507609;
-0.8844565;-0.21693352;4.916014;26.099998;16.08;-28.68;-9.59626;-2.6431987;17.34659;
0.16562083;-0.78381646;5.2367187;27.66;12.42;-29.4;-5.906795;-1.946486;19.328989;
1.1423944;-0.51625746;4.092568;26.4;5.4;-32.579998;-7.1254435;-1.3311762;20.449474;
2.2315671;-1.7233272;4.5537715;23.46;-0.42;-36.719997;-4.644751;-3.2704794;19.429544;
2.5663211;-2.5070674;3.992997;18.18;-12.599999;-39.899998;-2.6647465;-4.498705;18.871696;
3.4007633;-2.966438;2.9832368;9.0;-22.619999;-36.84;0.92655605;-5.490204;18.431164;
3.0281353;-2.9310079;1.2172253;-1.92;-31.679998;-28.08;3.004723;-5.0113635;11.365575;
1.8290069;-3.6817613;0.8757517;-7.74;-35.399998;-20.34;3.8019924;-4.0533834;6.134244;
0.37575847;-4.362265;-0.055817813;-12.179999;-37.739998;-14.759999;5.832575;-2.8802247;5.803844;
0.12835807;-3.5907423;-1.2549462;-14.639999;-37.62;-11.219999;3.5434184;-2.0685902;5.3250036;
-0.45501825;-3.1686344;-1.6226872;-13.259999;-37.92;-9.48;1.1994951;-1.2689269;3.6367924;
-0.6144541;-3.143589;-1.5799266;-12.3;-40.2;-7.5;0.90261406;0.260968;4.757279;
-0.8985064;-2.8515954;-1.3795629;-10.08;-40.62;-7.2599998;0.4141969;1.6328455;2.669535;
-1.4861587;-2.435596;-1.4907403;-7.44;-41.579998;-7.9199996;1.2401965;3.2249897;3.739743;
-1.1917217;-2.1289418;-1.3484087;-5.8199997;-40.44;-10.32;1.2641385;4.285621;3.7780502;
-1.6309339;-2.1637611;-1.1810316;-4.08;-40.079998;-13.32;1.2186487;4.474763;3.2561142;
-1.680414;-1.7483727;-1.2366203;-2.22;-37.8;-16.02;1.1324574;4.9179897;4.980239;
-1.6675857;-1.3959035;-1.3905584;-1.9799999;-35.88;-20.699999;0.581791;4.10845;4.1419687;
-1.8954386;-1.4001795;-1.1535426;-0.71999997;-35.16;-23.699999;-0.4357447;4.122815;4.146757;
-2.1013;-1.1863767;-1.2445616;0.12;-30.66;-27.539999;-1.0749966;4.096479;4.994604;
-2.142839;-0.14912748;-1.3807845;0.0;-28.32;-30.179998;-3.0214825;3.0621839;5.0736127;
-2.4720953;-0.87605715;-0.48953214;2.46;-23.16;-34.079998;-3.0095115;3.2010477;6.9554553;
-2.668794;0.3450625;-0.5726098;2.52;-18.24;-38.399998;-4.5657425;2.0973208;6.6130843;
-2.6706264;0.75006616;-0.8077929;2.7;-12.179999;-42.3;-4.146757;1.3455414;9.332897;
-3.1202233;0.7176903;-0.09674578;5.7;-6.0;-44.16;-5.957073;1.0414777;10.711958;
-3.017598;1.7909806;-0.7192175;6.66;2.22;-44.52;-6.6633625;1.0414777;13.642461;
-3.139771;1.3590988;0.55626917;10.2;11.099999;-43.44;-7.276278;0.12449849;15.833454;
-2.6480246;1.5527431;0.7706829;14.16;19.26;-40.98;-7.1589622;0.062249243;16.798317;
-2.6125944;1.1550698;1.6686548;19.199999;26.34;-32.52;-4.4125137;-1.2258313;17.435175;
-2.0212767;1.0396163;1.8910097;21.24;26.88;-25.199999;-3.383007;-2.1188686;17.3418;
-1.3169491;0.5936847;1.7468455;20.039999;26.82;-19.56;0.8595184;-2.3630772;16.221315;
-1.2589169;0.9143889;1.3662765;20.279999;26.46;-21.42;-1.4173675;-4.8123455;11.506833;
-0.9736428;0.022525655;1.699198;25.859999;27.24;-21.42;-2.15957;-5.0113635;11.518804;
-0.75067705;-0.43806675;1.5385405;28.74;24.84;-21.9;0.94092125;-4.2305546;9.759066;
-0.22166772;0.59185207;0.31925344;30.24;24.84;-21.96;-1.6639702;-4.1156325;10.087071;
-0.02069306;0.5118287;0.07002043;30.119999;24.119999;-21.06;-3.3734303;-5.0472765;7.644985;
-0.31268665;-0.17050776;0.6320165;31.439999;23.039999;-21.18;-3.9815574;-4.9730563;7.2475476;
-0.46723557;-0.5626832;0.661338;33.0;22.98;-20.64;-2.542642;-3.6607344;8.705617;
-0.23327416;-0.45150578;0.3198643;31.439999;23.279999;-21.779999;-3.3255463;-3.490746;8.528446;
-0.017638734;-0.3910301;0.15615243;31.14;22.32;-21.9;-4.2185836;-3.1364043;8.736741;
0.13141239;0.034742963;-0.1175152;30.84;21.84;-22.56;-4.699818;-3.4500446;8.116643;
0.08865182;-0.028176159;-0.025885414;30.84;22.98;-21.779999;-4.980239;-3.5482068;7.690475;
0.02939789;-0.1662317;0.11400273;31.32;21.72;-23.16;-4.7644615;-3.4931402;7.9203186;
