gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.16730072;-0.20486893;0.9837985;-24.72;9.599999;-41.46;0.5363012;0.08379706;9.71597;
0.65843636;-0.32704198;0.9379836;-23.46;10.5;-41.82;0.08140286;-0.29209262;10.465355;
0.55153495;-0.97578084;1.4541647;-22.14;9.48;-41.46;-2.1930888;-1.910573;10.85561;
0.35483634;1.0785589;2.5085182;-24.0;6.66;-41.879997;-4.898836;-3.3542767;17.823036;
2.4049;0.013209961;3.1517591;-20.76;8.16;-43.32;-1.520318;-1.9776106;17.339407;
3.2882113;1.9325485;3.6954293;-18.539999;6.7799997;-44.7;7.2834606;0.878672;17.406445;
2.9962177;1.1506411;2.5867088;-13.2;3.9599998;-47.34;8.6936455;3.572149;14.504374;
3.9363394;2.011961;1.352761;-10.08;-3.3;-48.42;10.757447;4.3742065;11.461343;
3.0933452;1.7608954;0.627664;-4.62;-9.78;-48.78;8.368034;5.650615;11.435006;
3.3835063;1.4487433;-0.018020526;-0.84;-15.9;-45.84;8.358458;7.4175363;10.364799;
3.7995055;1.0058659;-0.17684549;1.4399999;-23.279999;-44.7;9.952995;7.771878;10.132561;
3.8935788;-0.019776762;-1.2263119;3.6;-31.26;-39.42;9.924265;7.764695;6.548441;
3.3236415;-0.65263313;-1.3930782;6.18;-38.1;-32.94;6.194099;6.5412583;4.175488;
3.7848446;-1.4485905;-0.3313944;7.56;-43.14;-25.019999;8.052;7.214029;0.7350199;
3.220405;-1.9366719;-0.77121735;7.2599998;-46.02;-18.66;6.5819597;7.3337393;-2.0398598;
3.0334804;-2.3056345;-0.66981375;6.48;-48.78;-10.38;6.704064;6.962638;-3.3854012;
2.944905;-3.0844877;-0.47555858;8.94;-48.899998;-4.8599997;4.8267107;5.600337;-4.2544966;
1.7372243;-3.867617;-0.09315695;11.28;-49.2;0.71999997;3.8402996;4.970662;-4.074931;
2.3383157;-4.035605;0.55680364;12.42;-49.559998;3.9599998;2.6719291;4.225766;-2.267309;
1.9162079;-4.133343;1.3191634;13.38;-49.44;7.02;3.0573955;4.8147397;-3.3854012;
1.390253;-4.402124;1.1859949;13.98;-49.739998;8.88;1.7908629;3.9360676;-2.9257145;
0.932104;-4.093637;1.5928311;13.32;-49.32;10.679999;1.6543933;3.5290532;-1.8028339;
0.4189772;-4.089361;1.7754798;13.74;-49.8;9.42;1.1204864;2.4253263;-0.5746084;
-0.0061850105;-3.6189947;1.8396207;10.92;-49.44;7.3199997;-0.4141969;0.6512229;1.541866;
0.22777638;-3.418631;2.7210991;6.24;-50.28;6.18;1.2306197;0.32561144;3.1531637;
0.23205243;-2.8774045;3.3179145;0.59999996;-49.559998;5.94;3.4117374;0.35913026;3.3375173;
-1.0855839;-1.9366719;3.2708778;-4.92;-46.86;7.02;3.7972038;1.4101849;5.006575;
-1.5064701;-1.8566486;4.060116;-11.28;-46.14;4.98;8.123826;1.2425907;12.459725;
-0.849179;0.80305874;4.480391;-20.699999;-44.219997;3.84;7.2930374;3.9839516;13.963284;
-2.4612525;1.9349921;4.245819;-28.619999;-37.98;0.0;9.885958;7.747936;15.92204;
-1.515633;1.5067755;3.9623773;-35.34;-30.06;-7.56;14.020744;11.226711;15.797542;
-2.4575872;2.0168478;3.4455855;-41.76;-22.5;-13.32;12.361563;10.539576;16.273987;
-0.28046352;1.6576592;3.076012;-42.059998;-14.16;-19.02;19.884443;13.316849;11.954549;
-1.2786173;1.8012125;2.44621;-41.579998;-6.8399997;-23.039999;12.77576;9.5052805;10.83885;
0.7439575;1.5470926;2.48164;-39.78;-0.29999998;-27.599998;13.666403;8.930672;6.9961567;
-0.38919753;1.2581533;1.9550742;-38.219997;3.4199998;-28.98;11.602601;5.327398;8.834904;
0.51305044;1.6582701;1.353372;-36.12;7.3199997;-32.34;11.013627;4.156334;6.7974377;
-0.13935363;1.3131312;0.9593639;-32.94;9.599999;-34.739998;8.746318;2.8491;4.5633483;
0.8471937;0.35468364;1.9782871;-29.4;11.28;-36.42;8.53084;1.4987702;7.9921446;
1.2216542;0.21784982;0.72418076;-26.939999;12.719999;-38.64;8.3512745;2.5953147;3.430891;
-0.69279754;-0.07841983;-0.048563786;-27.539999;12.719999;-38.94;7.048829;0.7038953;6.608296;
-0.23098342;0.36262488;-0.18784106;-26.46;13.2;-39.059998;5.3992243;0.30166942;8.933065;
-0.12347114;0.18486309;-0.27214047;-26.22;13.139999;-38.579998;4.247314;0.45489833;7.0991073;
0.30718887;0.24289529;0.4071417;-26.82;12.96;-39.3;5.135862;1.1899183;7.8341274;
0.22166772;-0.12179126;0.2452624;-25.199999;12.719999;-39.48;5.1095257;1.2497733;8.174104;
0.156916;0.39133555;0.31429017;-24.9;13.08;-38.76;5.3537345;0.91697925;9.43106;
0.188681;0.26977336;0.04062254;-24.48;12.84;-39.54;4.465186;1.2258313;8.047212;
-0.105756044;0.040698897;-0.070554934;-24.06;12.719999;-41.399998;4.51307;0.9648633;8.186075;
-0.1735621;0.1830305;-0.10354166;-23.76;12.599999;-40.14;5.284302;1.3096284;9.098266;
-0.14240795;0.5220607;-0.20189096;-23.22;12.66;-40.559998;4.994604;0.92655605;9.275436;
