gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.8178722;0.19601138;1.0981066;10.8;0.53999996;-39.719997;-5.5835776;0.29688102;6.7016697;
-0.7940485;0.43241623;1.6686548;10.5;1.14;-40.5;-5.5572414;0.1436521;7.814974;
-0.63278;0.7867181;2.2917373;10.44;1.5;-41.28;-6.0336876;0.4357447;9.273043;
-1.0127382;5.239926;-1.1627057;11.88;2.34;-39.239998;-2.6551697;1.1994951;9.428665;
-1.1666763;-5.1527247;6.3839235;18.72;6.48;-35.94;-18.783112;-5.7870846;10.553941;
-0.9565386;2.8343384;4.250782;9.42;4.14;-39.0;-0.7469909;-1.067814;12.1963625;
-3.6101372;7.4170494;0.47868928;13.5;4.8599997;-38.16;-9.502886;-4.1012673;14.533104;
-1.3737596;-6.271219;8.068079;25.32;9.66;-30.96;-7.4438725;-6.1988873;9.256283;
-0.015195273;1.1526264;3.4071772;21.06;4.2599998;-36.54;2.7988217;3.7181952;21.797411;
1.0299952;3.293709;1.5189928;22.26;-1.38;-36.54;-6.1869164;0.19393034;13.37431;
1.4368314;-5.9688406;5.374774;23.16;-8.94;-36.12;-9.330503;-1.0055647;10.336068;
1.5938238;3.9516108;0.29848403;5.64;-18.9;-38.46;1.6160861;4.9539027;25.798422;
2.6475663;2.7653105;0.7548004;8.34;-23.939999;-34.14;-4.7429137;-0.24420857;10.960955;
2.2401192;-8.531421;5.9398246;6.7799997;-27.42;-28.14;-9.423877;-2.183512;7.987356;
1.3464234;0.1202641;2.6313784;-14.82;-29.88;-23.58;4.5537715;3.8546648;16.652271;
0.7783187;1.3548228;-0.013057245;-18.3;-30.119999;-23.58;3.8977604;2.7485435;8.619426;
1.6988926;-8.945587;3.9777255;-18.72;-30.84;-20.82;-2.4253263;-0.1340753;4.7740383;
0.2523637;-1.3494776;0.285045;-33.899998;-27.539999;-9.24;10.7550535;5.3441577;11.703157;
0.44173193;1.752496;-3.0661616;-34.44;-28.5;-6.66;3.145981;2.2577322;7.2810664;
1.7495944;-7.7580647;1.3931545;-29.16;-31.56;-6.66;-0.34476504;0.7278373;1.292869;
-0.99624485;-6.5626016;1.876349;-31.199999;-30.599998;5.94;2.0015526;3.7565024;3.289633;
-0.89056516;4.2790346;-5.0624695;-31.32;-30.599998;11.5199995;5.2651486;3.7588966;8.700829;
1.1289554;-7.28159;0.08712465;-22.26;-34.92;6.7799997;-3.1747115;-0.33758244;-0.6488287;
-0.4507422;-11.732354;5.4065394;-20.58;-35.04;14.099999;-1.721431;3.442862;-1.3000516;
-1.308397;5.6650877;-4.352644;-19.199999;-33.36;21.539999;8.913912;6.902783;2.468422;
-1.8471801;0.95776033;-4.663574;-15.719999;-36.12;16.619999;0.79726917;1.5945383;-5.767931;
-0.8465829;-12.414691;6.9025483;-7.14;-40.739998;11.82;-2.2026656;3.5649664;2.8562827;
-2.409787;2.8489993;-1.0313696;-14.4;-39.239998;12.66;11.569082;10.101437;4.5561657;
-2.735989;6.4152303;-6.851083;-8.5199995;-40.32;4.08;6.359299;5.834969;-3.074155;
-1.970575;-10.668838;3.1121294;2.1;-41.46;-2.76;-3.5482068;1.4317327;3.9983168;
-3.6199112;2.0170007;-1.5536594;-7.7999997;-39.96;-7.02;7.295432;10.218752;9.081507;
-1.6999617;9.583789;-6.9983015;-1.68;-38.34;-14.759999;1.8698715;7.1757216;6.083966;
-1.4055246;-10.703657;2.1151972;17.1;-34.2;-15.78;-9.5795;-2.3223755;-3.3446999;
-4.2265;-0.16012305;1.0944414;3.54;-32.28;-23.519999;1.3000516;10.609007;12.349591;
-1.5863407;11.476249;-7.100316;3.72;-28.859999;-29.4;-0.79726917;5.8876414;13.711892;
-1.9889009;-7.136815;0.08651379;29.16;-20.46;-24.96;-13.599365;-3.7301662;-1.910573;
-3.452534;-2.3812292;1.5440383;21.539999;-16.26;-33.54;-4.8482585;8.272266;13.776536;
-1.8441259;9.233151;-4.4406085;20.1;-9.3;-39.48;-5.0688243;3.6224272;15.007455;
-2.4470499;-3.2052863;-0.9006444;37.02;1.86;-29.039999;-13.0894;-3.5649664;0.5530606;
-3.135495;-3.397709;2.9667435;33.78;8.46;-31.08;-8.997709;1.8866309;15.673043;
-2.3859632;4.2558217;-0.43516514;27.24;11.94;-35.88;-4.3598413;0.80205756;16.44637;
-2.2973878;-1.6506343;2.03945;30.96;17.4;-30.0;-9.057565;-1.4149733;14.150031;
-1.0280099;-0.28168523;1.7749454;28.32;17.88;-28.5;-3.1148565;1.376666;15.536573;
-1.244867;1.3664292;1.5660294;27.84;16.14;-30.0;-5.9738326;-1.7238252;13.903428;
-0.8093201;0.075670935;2.0638845;29.22;16.5;-28.38;-4.2664676;-2.1308396;11.466131;
-0.62606055;0.53809595;1.917277;30.24;14.219999;-26.82;-2.0949266;-1.982399;12.471696;
0.21937698;2.0677025;0.20502165;31.439999;13.5;-27.3;-2.719813;-2.4396915;10.352827;
0.041615196;1.7402787;-0.100410976;34.86;12.54;-23.88;-5.51654;-3.8402996;7.867646;
-0.18440494;-1.4863116;2.1286364;36.42;12.599999;-21.84;-7.046435;-4.9395375;5.8253922;
-0.6126215;-1.0049497;2.2227097;34.92;9.78;-25.32;-2.7102363;-2.7102363;7.8341274;
