gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.0110719325;-0.15157095;0.13599387;9.42;-21.72;-33.0;-3.1842883;3.095703;7.364864;
-0.04085161;-0.022678372;0.3186426;9.48;-21.84;-33.059998;-3.964798;2.492364;6.8596873;
-0.37377316;-0.045280386;0.99609214;9.599999;-21.359999;-34.62;-5.315427;1.4413095;5.698499;
-0.6150649;0.4702899;1.4438564;9.179999;-20.4;-34.32;-6.060024;2.3798366;7.5755534;
-1.249754;1.3981942;1.6100117;7.7999997;-18.3;-35.34;-7.570765;3.040636;7.252336;
-1.353601;1.8306868;2.2911265;7.56;-16.32;-36.239998;-9.153333;4.0294414;11.300931;
-0.728075;2.3065507;3.489644;11.28;-11.82;-38.1;-9.976937;6.268319;14.255376;
0.155847;2.5124123;4.2232933;12.9;-12.0;-36.719997;-5.2627544;8.116643;19.008165;
1.6011542;2.419561;4.4651957;15.839999;-17.16;-34.739998;-4.8937483;7.570765;18.323423;
2.3708444;1.5521322;4.578206;12.24;-26.039999;-30.119999;1.553837;8.65055;19.472641;
3.1466432;0.37438405;3.8317287;3.06;-33.059998;-23.699999;4.757279;8.358458;19.549255;
3.4960582;-0.87422454;3.194596;-6.12;-36.719997;-16.859999;5.8373632;6.6489973;17.085623;
3.3732743;-1.7899115;2.4035256;-16.38;-38.579998;-7.98;4.630386;3.3279405;12.936172;
2.540054;-2.8161652;2.3497696;-23.4;-37.26;0.9;6.1294556;2.384625;10.812514;
1.6194801;-3.5931857;1.7053066;-27.48;-34.8;8.5199995;6.6657567;1.2689269;6.869264;
0.6995171;-3.9603157;1.0492374;-29.039999;-32.16;16.92;5.0855837;1.0223241;7.668927;
0.011682798;-4.3011785;0.4023311;-27.72;-30.119999;24.06;4.2521024;0.4429273;4.6255975;
-0.6682102;-4.0128503;-0.33498323;-23.1;-30.0;29.22;1.0462662;0.7350199;6.9674263;
-0.9699777;-3.9352703;0.07490735;-16.26;-30.3;31.619999;-1.6041151;1.1324574;3.3327289;
-1.3762031;-3.5021667;0.16409367;-10.2;-32.52;32.7;-3.086126;1.8986019;3.9432502;
-1.9559141;-3.1826842;0.7578547;-5.8799996;-34.44;31.56;-3.2010477;1.6089035;1.9800048;
-2.753704;-2.3549619;-0.12667818;-3.0;-37.68;27.72;-2.932897;3.3662477;3.3087866;
-2.9241357;-1.601765;-0.3899611;1.3199999;-39.84;21.18;-7.156568;3.6296098;3.064578;
-3.4140494;-0.87544626;-0.22380576;3.3;-41.34;14.4;-6.8884177;5.126285;3.940856;
-3.8538725;-0.1643991;-0.78213656;3.3;-41.7;6.06;-6.7256117;7.3576813;8.5499935;
-4.0493493;0.61995184;-0.42478043;4.62;-41.579998;-3.4199998;-7.740753;9.335292;10.558729;
-3.6364045;1.3077861;-0.40523273;3.6599998;-39.36;-11.94;-7.0081277;11.813291;11.741465;
-2.867325;1.516702;0.12072224;5.04;-35.04;-20.699999;-4.209007;12.524368;15.131953;
-2.007227;1.8532888;0.48968485;5.7599998;-30.66;-26.519999;-2.6288335;13.175591;13.611336;
-1.7946458;2.1275673;0.44264823;7.7999997;-26.4;-30.72;-0.50996494;11.581053;13.544298;
-1.2717451;2.1709387;0.579482;10.0199995;-21.84;-33.48;-0.3184288;9.885958;14.43973;
-0.48617238;1.5093716;0.5049565;12.54;-17.76;-34.2;0.60094464;7.463026;11.267412;
-0.546648;1.5014304;0.9869292;16.619999;-15.12;-33.6;-2.4612393;5.1574097;11.250653;
-0.29130638;0.7763334;1.4145348;17.94;-14.219999;-35.28;0.91937345;4.642357;10.424653;
-0.43547055;1.1501828;0.74441564;19.619999;-14.28;-34.02;-1.043872;3.0358477;8.942642;
-0.39637518;0.056123246;1.6894242;20.16;-15.0;-33.18;0.14844051;2.552219;10.374375;
-0.27542385;0.21128301;0.3534619;20.279999;-15.719999;-34.44;0.21787235;3.7565024;8.988132;
-0.070173144;-0.0397826;0.03520111;20.34;-15.839999;-33.899998;-2.5809495;3.667917;8.348881;
-0.043295074;-0.17050776;0.1512655;19.92;-15.0;-34.079998;-3.0358477;3.6032736;8.257901;
-0.16241379;0.065897085;-0.022831088;19.26;-15.9;-33.96;-3.442862;3.596091;8.437466;
-0.17585284;-0.082543164;0.3271947;19.32;-15.42;-35.04;-2.980781;3.7134068;8.724771;
-0.16363552;0.045738537;0.17142406;18.42;-15.42;-35.579998;-2.3104045;4.0198646;8.966584;
-0.075670935;0.050014593;0.06574437;18.96;-14.88;-35.219997;-2.777274;3.8666358;8.753501;
-0.08116872;0.002977968;0.02603813;18.6;-14.46;-34.86;-2.5929205;4.0940847;8.758289;
0.08498663;0.20945042;-0.29588786;19.439999;-14.16;-34.92;-3.6966474;3.9959226;8.949825;
0.1399645;-0.15034921;0.46341765;19.619999;-14.82;-35.1;-3.1364043;3.5936968;8.166922;
0.08743009;0.100716405;0.20990857;18.66;-16.32;-34.739998;-2.5019407;3.7852328;8.578724;
0.1417971;-0.028176159;0.2832124;18.779999;-16.32;-34.5;-2.5905263;3.5098996;8.073547;
-0.06345363;0.0011453723;0.08590292;18.42;-16.02;-35.46;-2.1859062;3.8115692;8.432677;
-0.020082194;-0.05261077;0.06207918;19.02;-17.1;-35.34;-3.0502129;3.679888;8.315362;
