gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.17722727;-0.6701955;0.5098434;-9.059999;-1.4399999;-42.6;-1.685518;-0.7733272;8.030452;
0.23281601;-0.12224941;0.14149167;-11.5199995;-1.5;-41.94;-1.1683705;-0.62249243;9.368811;
0.07887798;0.29802588;0.06269005;-10.38;-1.8;-41.219997;-0.92655605;-0.22744916;8.389582;
-0.04390594;0.15813774;0.35407278;-10.5;-2.28;-41.04;-2.0207062;-0.59136784;7.216423;
-0.40920335;0.24732406;0.5831472;-10.32;-2.04;-41.04;-2.066196;-0.79008657;7.8700404;
-0.5289329;0.41958806;0.5953645;-10.139999;-1.02;-41.34;-3.145981;-1.0414777;7.5180926;
-0.7909941;0.45929432;1.105437;-9.9;2.28;-40.8;-4.307169;-1.8028339;6.9841857;
-1.154459;0.8691849;1.0382419;-8.76;3.48;-40.14;-5.80145;-2.4061728;8.102278;
-1.8380171;1.6016123;1.3980415;-7.14;7.08;-40.2;-10.173263;-3.122039;8.164527;
-1.8117499;0.85024804;3.4016795;-4.38;12.12;-39.18;-13.994409;-3.7612908;11.241076;
-1.8771125;1.1617893;5.412037;-1.62;18.84;-37.86;-16.484676;-4.8003745;15.52939;
-1.0255663;0.5942955;6.857344;5.16;23.58;-35.82;-14.276924;-4.3287168;20.358496;
0.39225185;-0.35987598;8.065636;13.32;26.22;-34.559998;-14.590565;-5.897218;23.650522;
1.9707277;-1.0501537;7.9654536;20.64;20.22;-34.98;-9.577106;-5.135862;26.215012;
3.5021667;-1.4716507;5.751067;22.98;8.88;-38.82;-3.3135753;-5.2244473;23.921068;
3.5913532;-2.3891704;4.6582294;19.5;-5.1;-39.78;-3.9983168;-6.878841;17.88768;
3.2107842;-2.8106673;2.9355893;10.32;-17.34;-38.46;-0.31364042;-4.7381253;12.644078;
1.964619;-3.5705838;2.26547;0.9;-24.48;-35.34;0.1364695;-3.0478187;5.0329113;
0.8259662;-4.144186;1.8574121;-8.88;-28.859999;-31.8;2.0278888;-1.0366893;7.118261;
0.4722752;-4.0201807;1.3314571;-18.42;-29.099998;-28.08;3.0933087;0.20829555;2.384625;
-0.36216673;-3.918777;0.5611561;-25.74;-29.82;-21.779999;4.618415;1.9249382;3.7445314;
-0.7396815;-3.364722;-0.4217261;-32.219997;-29.34;-15.66;3.7948096;2.1308396;2.5929205;
-0.6810384;-3.0403526;-0.8126798;-33.48;-29.16;-12.12;1.3311762;3.071761;2.2840683;
-0.8978956;-2.9505556;-0.3282637;-33.899998;-30.539999;-6.66;0.9840169;4.27365;-0.8810662;
-1.153848;-2.852817;-0.118126065;-32.94;-31.019999;-3.3;2.6839;5.3680997;-1.2593501;
-1.0530553;-2.835713;0.07429648;-33.18;-31.08;0.06;2.6408045;6.830957;-0.2896984;
-1.0469466;-2.1258874;-0.41683918;-33.18;-31.199999;2.22;3.608062;7.5276694;-0.641646;
-1.2228758;-2.1332178;-0.50052774;-32.219997;-32.34;5.16;2.885013;7.2116346;-2.2984335;
-1.1019245;-2.1808653;-0.29649872;-29.699999;-33.18;6.18;2.9903579;8.286632;-0.2705448;
-0.96325815;-2.0874028;-0.58971405;-28.439999;-33.78;7.9199996;3.9480386;8.688857;-0.8523358;
-1.0707704;-1.7813594;-0.8132907;-26.279999;-34.5;8.46;0.6368576;7.8365216;-1.2593501;
-1.0713813;-2.3451881;-0.286114;-23.88;-36.18;9.12;1.1324574;7.4558434;-1.685518;
-1.3322208;-1.7758616;-0.49319732;-22.26;-36.96;8.76;0.878672;7.692869;-0.1340753;
-1.109255;-1.3128258;-0.7589237;-20.22;-38.34;9.179999;-0.09816227;7.688081;-0.33039984;
-1.086042;-1.2230285;-0.7094436;-18.539999;-39.059998;8.099999;-0.7733272;6.1533976;-0.50517654;
-1.3138947;-0.9701304;-0.4724279;-15.9;-40.44;6.42;-1.5777789;6.0815716;-0.93134445;
-1.5863407;-1.3122149;-0.20242546;-15.24;-41.16;4.5;-0.82121116;5.873276;-0.7422025;
-2.0768654;-1.3403147;-0.05337435;-14.219999;-41.34;2.6399999;-0.04070143;5.7846904;2.0566192;
-1.86123;-0.51625746;-0.55611646;-14.28;-39.96;-2.1599998;-1.8531121;6.220435;3.064578;
-1.7824284;-0.3910301;-0.98005694;-12.78;-40.02;-4.74;-1.1563994;6.13185;4.187459;
-2.202093;-0.15767959;-0.7595346;-11.7;-40.32;-9.36;-4.922778;5.4758387;4.771644;
-2.3218224;-0.5938374;-0.209145;-9.66;-39.54;-13.32;-3.301604;5.7990556;6.6968813;
-1.9479729;0.4715116;-0.58971405;-9.96;-37.559998;-18.18;-5.89243;4.7429137;6.9578495;
-2.523408;-0.46799913;0.511676;-8.88;-35.82;-22.32;-3.0382419;4.261679;11.221923;
-2.7097218;0.85513496;0.123165704;-9.54;-32.16;-27.18;-2.755726;3.9312792;8.308179;
-2.6962829;0.54848063;-0.02405282;-8.46;-28.439999;-31.56;-1.3958195;4.06296;14.458883;
-2.9155834;0.7934376;0.015042556;-7.2;-23.519999;-36.42;-3.7134068;2.681506;13.084612;
-2.3932936;0.81909394;0.13049608;-3.84;-19.26;-40.86;-3.1172507;2.8802247;15.340249;
-2.5203536;0.2955824;0.7560221;-0.12;-14.34;-43.559998;-2.0685902;1.9129672;13.582605;
-2.0664809;0.62483877;0.6026949;2.82;-6.96;-44.64;-1.2569559;1.376666;14.523527;
