gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.11171198;-0.21510093;0.22762366;2.46;0.9;-42.3;-3.0621839;-0.9744401;9.962572;
0.28351784;-0.20166188;0.09445504;1.86;1.3199999;-43.379997;-2.6623523;-0.50517654;9.589077;
-0.12942708;-0.46555567;0.35834882;2.7;0.42;-43.26;-2.6072857;-0.62967503;7.6234374;
0.028787024;-0.2590832;0.24778222;0.29999998;0.17999999;-43.02;-2.336741;-0.24420857;9.378387;
-0.27420214;0.081779584;0.1549307;0.06;0.0;-43.14;-4.027047;-0.8882488;7.522881;
-0.20700696;-0.07154759;0.50190216;0.42;1.4399999;-43.559998;-3.4811692;-0.39743748;8.657733;
-0.4275293;0.25404358;0.47380236;0.59999996;1.8;-42.54;-3.9695864;-0.5602432;8.339304;
-0.46601382;0.32490396;0.75357866;-0.29999998;2.8799999;-42.899998;-5.2986674;-0.6607997;8.135797;
-0.6297257;0.12759447;1.4438564;-0.24;4.3199997;-41.52;-4.9132013;-0.6847417;8.8684225;
-0.7195229;0.29680416;1.3644439;-0.53999996;4.2599998;-40.2;-3.4715924;-0.80205756;9.040805;
-0.6523277;0.60773456;1.2532665;-0.17999999;6.96;-39.78;-5.928343;-0.6536171;10.077495;
-0.7757225;0.78366375;1.7541759;0.35999998;8.58;-39.42;-8.224382;-0.58897364;9.445425;
-0.8215374;1.1715631;2.2049944;1.1999999;10.86;-38.879997;-11.650485;0.91697925;9.900323;
-0.97547543;-0.018402316;4.002771;4.02;12.96;-39.12;-15.280394;0.3878607;14.813524;
-0.20150918;0.34445164;4.77185;4.56;14.82;-38.64;-10.417471;0.047884032;18.471865;
1.234635;-0.19921842;4.4651957;8.16;16.08;-38.879997;-6.1893106;-0.59855044;21.24435;
2.0678551;-0.8962157;4.014988;9.78;14.16;-40.379997;-1.541866;-2.3319526;20.329765;
2.9994247;-1.1277336;2.3797019;8.16;5.3399997;-42.0;2.6910827;-4.510676;15.945982;
2.766685;-1.0373255;1.3717743;6.24;-0.71999997;-42.36;1.9153614;-4.9275665;10.472537;
1.7758616;-1.8436676;0.87086475;2.28;-9.179999;-41.579998;1.6879122;-3.1435869;5.834969;
1.4649312;-2.2847123;0.5581018;-3.8999999;-13.86;-40.5;2.0278888;-1.5705963;3.5314474;
0.8418487;-1.9707277;0.07368562;-9.719999;-17.76;-38.52;1.0151415;1.5035586;5.23163;
0.4618905;-2.0788507;-0.18898644;-15.299999;-19.14;-35.82;-0.94810385;3.1986535;3.7253778;
0.26335928;-1.7532597;-0.4712062;-19.26;-20.88;-33.0;-0.24660277;4.733337;5.945102;
0.24564418;-1.5009723;-0.5591708;-22.92;-20.88;-29.82;-0.33997664;5.2268414;4.292804;
0.059941154;-1.3720797;-0.5597816;-23.699999;-22.38;-27.0;0.2705448;6.5173163;3.8594532;
-0.15630515;-1.3067172;-0.55367297;-24.24;-22.26;-23.46;1.496376;7.340922;5.6194906;
-0.12087496;-1.1869875;-0.67890036;-24.779999;-23.16;-21.48;1.1875241;6.9482727;4.9874215;
-0.12759447;-1.080697;-0.69661546;-23.699999;-24.119999;-19.98;1.4101849;6.98658;5.272331;
-0.22655465;-1.3250431;-0.55367297;-22.92;-24.779999;-18.539999;2.2840683;6.787861;5.2124763;
-0.14530957;-1.2566261;-0.85666215;-22.38;-25.439999;-18.9;3.7924154;6.2371945;6.7567363;
-0.2570979;-1.0861948;-1.1602622;-21.3;-26.039999;-19.98;4.036624;4.8937483;4.441244;
-0.18440494;-1.0025063;-1.7851774;-20.76;-27.359999;-21.3;3.2106245;3.2130187;5.7727194;
-0.38782308;-0.96524346;-2.0570123;-19.74;-28.38;-21.06;2.4349031;1.472434;3.13401;
-0.6089563;-0.66103256;-2.6012933;-17.16;-29.88;-21.779999;0.59615624;-0.15562311;3.0430303;
-1.1764501;-1.1906527;-2.402151;-15.059999;-31.38;-22.619999;-1.2593501;-1.8507179;1.7860745;
-1.7457765;-1.0959686;-2.4522421;-11.04;-30.3;-23.58;-4.5202527;-2.6527755;3.3782187;
-2.2772293;-0.8998809;-3.0930398;-8.46;-28.619999;-26.22;-5.8876414;-2.7988217;6.4837976;
-3.4006104;0.09094256;-3.5756233;-4.62;-27.18;-30.599998;-19.199701;-5.0017867;3.3494883;
-4.241161;-0.4246277;-1.3227524;1.4399999;-23.1;-34.8;-20.85649;-1.5514427;10.745477;
-4.577748;0.26137397;0.13232869;4.08;-14.219999;-40.559998;-16.563686;0.8379706;17.784729;
-3.3187544;0.6853145;0.8055022;9.36;-2.1;-43.14;-9.31135;2.1523874;19.40321;
-2.1910973;1.5509105;0.371177;10.44;4.7999997;-40.559998;-6.479009;1.9608512;19.59714;
-2.056096;0.30535626;1.205619;13.0199995;9.42;-36.54;-4.1299977;-1.0821792;14.5762;
-1.4171311;0.2662609;1.2062298;13.0199995;12.599999;-36.719997;-2.6192567;-1.8219875;14.909292;
-0.71707946;0.47395507;0.7279223;12.54;15.24;-35.88;-2.516306;-3.0358477;12.232276;
-0.93821263;-0.25541803;1.1628584;12.78;15.54;-34.92;-1.697489;-3.5458126;10.683228;
-0.2906955;-0.8711702;0.9172905;12.12;16.56;-35.28;-1.5873557;-2.3343468;10.209175;
-0.09644035;-0.12713633;0.09506591;11.82;16.5;-36.0;-3.8067808;-2.8107927;8.48535;
0.1961641;-0.3244458;-0.021609358;11.4;17.039999;-35.88;-5.222053;-3.169923;7.427113;
