gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.062384613;-0.2755766;0.29298624;11.219999;-3.4199998;-38.76;-2.4157495;0.009576807;8.523658;
-0.39759693;-0.12347114;0.44386995;11.28;-4.68;-38.94;-2.5761611;-0.2777274;7.6832924;
-0.3627776;-0.023289237;0.54954964;10.08;-4.38;-39.66;-1.9416976;0.19632454;8.765471;
-0.71707946;0.32673654;0.51595205;10.44;-2.34;-39.54;-2.8491;-0.10055647;8.207623;
-0.7543422;0.6480517;0.6136905;9.54;-0.24;-38.219997;-4.4005427;-0.45489833;6.965032;
-1.1911108;0.6755406;1.1573606;10.74;0.65999997;-37.8;-7.214029;-0.7374141;9.316138;
-0.99441224;0.8667414;1.9337703;11.28;3.24;-38.219997;-8.257901;-0.9983821;9.251494;
-1.25403;0.9290497;2.596559;13.139999;5.8799996;-37.32;-10.008062;-1.1061212;11.473314;
-0.97730803;0.5826891;3.812181;14.94;8.7;-36.719997;-11.406276;-1.4413095;12.859556;
-0.53809595;0.26992607;5.0326896;18.0;11.16;-36.54;-9.780613;-1.3718776;17.320253;
0.650037;-0.046502117;5.4816756;21.72;7.98;-37.02;-8.719982;-0.7661445;19.975424;
1.6823993;-0.55596375;5.313077;23.64;-1.0799999;-39.54;-4.5178585;-0.4405331;24.033596;
2.848541;-1.5693892;4.7034335;16.56;-15.179999;-40.559998;-0.6584055;-1.6591818;23.135769;
3.727576;-2.1118376;3.5550067;1.26;-25.26;-36.12;3.9360676;-5.171775;19.83656;
3.4471889;-2.2981515;1.6521614;-11.099999;-29.939999;-28.68;2.8060043;-5.39683;12.342409;
2.1442134;-3.450854;1.808543;-18.119999;-32.64;-18.96;2.408567;-3.2872388;8.557177;
1.3733014;-4.2016077;1.5800793;-24.48;-33.36;-11.82;5.8206034;-0.641646;8.842086;
0.36109772;-4.2022185;0.11339186;-31.199999;-31.74;-3.06;6.8165917;0.45489833;9.088689;
0.12530373;-4.031787;-0.7870235;-30.96;-31.32;2.34;3.2465374;0.49081135;8.083124;
-0.36888626;-4.1826706;-0.8945358;-29.16;-33.18;9.84;3.2273839;0.85473;5.734412;
-1.0713813;-3.2541556;-1.8841375;-25.26;-35.7;14.04;2.3343468;0.5363012;5.18614;
-0.76655954;-2.6231318;-2.2640958;-18.06;-37.5;15.12;-1.0103531;1.2210429;4.596867;
-1.0481684;-2.839378;-1.6831628;-10.98;-40.739998;15.179999;-1.8339585;2.597709;1.2641385;
-1.3548228;-3.2553773;-0.85544044;-4.5;-41.52;13.5;-1.6807296;3.9552212;3.052607;
-1.6156622;-2.621299;-1.079628;-1.14;-42.84;10.44;-0.91458505;4.357447;1.7262194;
-1.9797379;-2.1533763;-1.0698541;2.7;-42.54;6.72;-1.6519991;5.1574097;4.197036;
-1.7653242;-2.4832435;-0.8658251;5.8799996;-42.36;1.9799999;-1.0271125;4.39336;2.078167;
-2.360307;-1.9133064;-0.97517;8.099999;-41.28;-3.36;-2.0709844;4.197036;3.952827;
-2.291279;-1.1448379;-1.061302;9.54;-38.7;-9.66;-5.0448823;2.528277;2.231396;
-3.1342733;-1.7135534;0.04008803;10.26;-35.94;-15.36;-2.861071;2.8083985;6.1174846;
-2.8887055;0.12209669;-0.9336312;8.099999;-31.8;-21.539999;-6.076783;1.1133038;5.183746;
-3.5319464;-0.27985263;0.2990949;9.3;-27.24;-26.76;-5.969044;0.9696517;10.09186;
-3.4733033;1.0732139;-0.4779257;7.7999997;-21.66;-31.32;-5.952285;1.2258313;10.206781;
-3.6474;1.6462054;-0.43211082;9.54;-15.9;-36.12;-7.7790604;1.2689269;16.32666;
-3.4696383;1.6003906;0.3449098;13.259999;-9.36;-37.86;-8.638579;0.5386954;16.221315;
-3.0353131;1.6126078;0.8702539;17.039999;-2.04;-38.579998;-8.353669;-0.7398083;20.248362;
-2.596101;1.1098658;1.8934532;19.5;5.7599998;-37.32;-2.2744915;0.25378537;19.999365;
-1.9553033;0.8484155;1.9588158;20.46;10.38;-36.0;0.7302315;-1.055843;18.627487;
-0.87651527;0.92660624;1.1439215;22.56;12.96;-34.079998;2.5881321;-1.0342951;16.87972;
-0.94493216;1.217378;0.9038515;24.6;11.82;-33.059998;-2.3582888;-3.2465374;11.559505;
-0.5387068;-0.49793154;1.6301702;26.88;13.86;-31.8;-0.8283938;-2.9161377;10.711958;
-0.63949955;-0.35376734;1.1451433;25.38;13.259999;-30.72;-0.4261679;-3.0597897;10.350433;
0.095371336;0.037797287;0.2795472;24.779999;14.04;-31.74;-0.4357447;-2.681506;10.458172;
0.25114197;-0.095371336;-0.016722437;24.779999;13.5;-31.8;-3.3877954;-3.1723173;8.135797;
-0.03901902;-0.26702446;0.34002286;24.539999;14.16;-32.16;-4.5657425;-2.813187;8.087913;
-0.09216429;-0.39347357;0.7059311;24.06;14.16;-32.46;-3.0885203;-2.5881321;8.20044;
-0.25221097;-0.36415204;0.5031239;23.88;12.9;-32.94;-2.918532;-2.3630772;9.462184;
0.026343564;-0.328111;0.39255726;23.4;13.98;-32.46;-3.2441432;-2.3008277;8.78702;
-0.045738537;-0.17050776;0.2569452;22.98;12.84;-32.52;-3.0238767;-2.3223755;8.801385;
0.07765625;-0.045280386;0.065133505;22.32;12.719999;-34.02;-3.454833;-2.2266076;9.296985;
