gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.16630806;-0.45982882;0.40630174;-27.119999;-15.719999;-29.82;4.9874215;0.78050977;8.686463;
0.095753126;-0.072540246;0.13080151;-27.72;-15.12;-30.599998;5.834969;1.388637;7.913136;
-0.019089539;0.0777326;0.21082486;-27.84;-15.0;-29.099998;4.7620673;0.62009823;8.980949;
1.3663528;-2.1885774;1.1753811;-28.8;-15.059999;-30.0;0.866701;1.0342951;11.238682;
3.9576433;-3.3174565;2.0757964;-32.34;-16.199999;-25.74;3.3255463;0.37110126;11.581053;
4.4090724;-1.1061243;2.9328403;-37.559998;-19.619999;-16.68;9.158121;4.7620673;7.678504;
4.098142;-1.1061243;1.2486849;-41.64;-17.1;-10.559999;11.226711;6.5101337;8.717587;
4.012621;-0.2191479;0.16195565;-43.68;-16.32;-3.6599998;13.118131;7.214029;4.5322237;
4.669301;-0.7866417;-0.60101503;-45.719997;-15.42;0.06;13.759776;5.162198;5.1454387;
4.7169485;-1.1702651;-0.76778126;-44.34;-16.44;6.66;15.596429;5.7631426;0.8379706;
3.8849502;-1.7078265;-1.8031979;-43.62;-16.68;11.219999;17.248428;6.5340757;-1.2186487;
3.949702;-2.4243715;-2.1397846;-38.64;-16.44;18.84;16.242863;4.429273;0.35673606;
3.5892916;-3.4750597;-2.0322723;-36.66;-15.599999;25.8;14.659996;5.243601;-3.857059;
3.3034065;-3.3498323;-1.4928783;-28.199999;-12.96;35.04;9.7447;3.1196449;-1.5825673;
3.9020545;-3.890448;-0.65354943;-22.14;-8.82;40.62;8.3512745;3.157952;-7.228394;
1.5624406;-3.559359;-0.3804927;-11.7;-1.02;45.84;6.988974;1.7190368;-5.7751136;
1.7188221;-4.115857;0.10636691;-3.78;3.6;47.46;5.746383;1.4293385;-8.67928;
1.365742;-3.8030944;0.60605466;5.4;6.2999997;47.039997;4.675876;-0.7206547;-3.8714242;
1.596649;-3.455512;1.5919912;14.759999;9.179999;44.34;2.705448;-0.5626374;-7.2236056;
1.6333009;-3.4585662;2.0367012;23.46;10.44;39.96;2.0805612;-0.7733272;-5.466262;
1.4683673;-2.9955304;2.250504;29.46;12.12;34.2;-0.46926352;-0.32800564;-4.685453;
1.8892535;-2.984535;2.3806183;36.0;10.679999;26.58;-0.37828386;0.8451532;-6.988974;
1.8177823;-2.888629;2.8796952;40.26;9.12;20.34;-2.7844565;0.17477672;-3.7493198;
0.6986771;-2.57159;2.9694922;42.239998;5.3399997;15.36;-1.13964;1.9847932;-4.2999864;
0.76342887;-2.0780108;3.0831132;44.7;-1.9799999;12.54;-3.7110126;0.14604631;-0.3184288;
0.9747882;-2.3235786;3.4404695;44.34;-10.26;10.08;-1.4341269;1.6567876;-0.8834604;
1.016327;-1.3229814;3.524158;43.2;-18.48;4.8599997;-2.4253263;1.2641385;1.2186487;
0.81596327;-1.1018482;4.023235;37.5;-27.779999;2.58;-0.6392518;1.2378023;0.4429273;
0.7286095;-0.22220223;4.3757043;30.179998;-34.02;2.8799999;2.4588451;1.7884687;1.448492;
1.5612189;0.3538437;4.812473;19.14;-39.84;3.84;5.4973865;2.408567;2.255338;
1.3003794;0.7997753;5.206481;8.04;-41.52;5.8199997;8.624214;3.0142999;2.8874073;
1.51968;1.5260941;4.748332;-3.4199998;-40.92;7.9199996;14.580988;6.5053453;0.23942018;
1.9753854;2.2860105;4.4331255;-13.74;-38.64;10.86;17.61953;6.359299;8.727164;
1.7970128;3.3867896;3.4404695;-23.82;-34.62;10.679999;17.241245;7.805397;-5.540482;
1.1837041;3.367853;2.9591076;-31.32;-29.699999;9.719999;21.555597;8.430284;0.021547815;
3.3272302;2.9188669;2.1784217;-37.32;-24.6;5.3399997;21.854872;5.480627;-0.7565677;
2.3736696;3.049592;1.3091606;-41.579998;-20.58;1.56;21.639393;4.1180267;-2.4612393;
4.2649083;2.138181;0.47166434;-42.6;-18.9;-1.0799999;18.63946;0.92655605;-9.55077;
1.5343407;1.8186985;0.5779549;-43.2;-17.88;-2.7;12.648867;-3.3183637;-5.245995;
2.9100094;0.9127854;0.5388595;-43.2;-16.38;-4.08;15.093646;-1.721431;2.0470424;
4.343099;0.75762564;0.27496573;-44.34;-16.02;-3.84;13.177985;-2.6647465;2.087744;
4.643034;0.31047225;-0.5442046;-44.219997;-15.9;-1.9799999;14.324808;-2.0973208;0.2777274;
3.3431127;0.77350813;-0.6883688;-43.68;-16.92;1.4399999;10.278607;-3.5242648;-0.80445176;
2.1781929;0.44608435;-0.64194304;-44.219997;-17.52;4.14;11.006445;-2.2026656;-2.2529438;
1.40667;0.24510968;-0.20273091;-44.04;-17.52;4.98;9.10066;-2.099715;-2.231396;
0.28512135;0.31597003;0.17417295;-43.26;-17.699999;5.7;8.461408;-1.2018893;-1.6663644;
-0.4662429;0.02275473;0.43256894;-43.62;-17.16;5.46;8.789413;0.06943185;0.19393034;
-0.83459467;-0.03772093;0.5284748;-44.399998;-16.92;5.58;9.416695;1.364695;3.3063924;
0.20693061;-0.16233744;0.44784057;-44.04;-15.42;2.8799999;8.988132;1.6256629;3.1531637;
-0.10277808;0.11071932;0.48571423;-44.34;-14.639999;4.08;9.797373;2.231396;1.6687586;
