gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.37194058;-0.1399645;1.2263883;16.98;3.48;-44.94;-4.5322237;-0.82360536;9.253889;
-1.2350931;0.113544576;1.7218001;16.02;2.6399999;-45.12;-7.6856866;-0.2657564;7.4773912;
-0.6859253;-0.056886826;2.9392545;14.58;2.22;-44.76;-8.308179;0.60812724;11.700763;
-0.40920335;0.70791644;3.3876295;12.12;1.38;-44.76;-9.419088;2.099715;12.885893;
0.4563927;0.09216429;4.2538366;10.5;-0.71999997;-44.219997;-7.4295073;1.8531121;15.510237;
1.248074;0.69447744;3.6338084;7.56;-3.1799998;-43.44;-5.954679;2.4277205;15.713744;
1.792355;-0.210214;3.4878116;5.52;-6.72;-44.399998;-3.6008794;3.064578;16.16146;
2.3286946;-0.51564664;3.2685108;0.9;-8.94;-43.92;-2.6384103;1.970428;16.934788;
2.5321128;-1.0697014;2.8402944;-3.8999999;-11.639999;-43.2;-0.35673606;2.0566192;16.386515;
2.9187906;-1.4734833;2.2001076;-9.179999;-14.759999;-41.94;0.91697925;0.6967127;16.11597;
2.8790843;-1.9835558;1.6686548;-14.5199995;-19.02;-40.26;3.0310593;0.12449849;12.876316;
2.2156847;-2.6121361;1.4988343;-20.279999;-24.24;-36.54;4.1252093;0.32321724;9.952995;
1.710499;-3.157028;1.0443505;-25.859999;-27.539999;-29.22;5.0089693;1.3072342;8.739136;
1.0226648;-3.7123044;0.6485098;-29.4;-29.34;-20.039999;6.064812;1.9081788;8.90673;
0.5828418;-3.628005;-0.03932445;-33.66;-29.22;-12.599999;4.331111;1.6759412;7.096713;
0.0800997;-3.8576903;-0.5109124;-34.14;-29.76;-3.72;3.4883518;1.5011644;5.71047;
-0.30596712;-3.8033233;-0.7155523;-34.62;-30.179998;1.1999999;2.2290018;1.661576;6.2012815;
-0.6669885;-3.5137732;-1.0924561;-31.199999;-32.04;8.22;0.1412579;1.484405;4.8147397;
-1.013349;-3.5400405;-0.76686496;-26.82;-33.96;11.58;-1.4413095;1.7525556;3.016694;
-1.5832864;-3.383659;-0.5023603;-21.66;-36.059998;14.88;-1.2856863;1.910573;1.7908629;
-2.0035617;-3.1222086;-0.4553237;-19.14;-37.2;15.78;-2.0757728;1.7238252;2.3798366;
-2.4653757;-2.3641248;-0.9727265;-13.92;-39.719997;13.679999;-2.767697;3.0430303;3.074155;
-2.7946322;-1.942017;-1.0240393;-10.38;-41.94;9.599999;-4.7620673;3.2441432;3.3614593;
-2.9974394;-1.2431872;-1.2347877;-6.24;-44.1;4.2599998;-5.514146;5.4710503;7.096713;
-2.9931633;-0.47105345;-1.4211017;-3.54;-45.059998;-2.34;-6.526893;5.550059;6.392818;
-3.2686636;0.02985604;-1.152321;-0.42;-45.36;-10.74;-8.315362;5.767931;7.3145857;
-3.2949307;0.4770094;-0.889038;2.04;-43.739998;-18.24;-7.537246;6.7711015;11.437401;
-3.4128277;0.65538204;-0.2054798;3.9599998;-41.1;-27.359999;-6.526893;7.0895305;12.921805;
-2.7573693;1.3364968;-0.27450758;5.3399997;-37.44;-39.12;-8.054394;6.9698205;13.355156;
-2.7097218;1.2693017;0.7938957;9.179999;-31.56;-51.42;-5.782296;6.5675945;14.914081;
-2.3004422;1.4085789;1.2202797;13.679999;-18.72;-59.879997;-4.237737;5.897218;16.379332;
-1.5741234;1.5417476;0.6509533;20.64;-6.42;-60.3;-1.8746599;4.5394063;16.051327;
-1.5008196;2.0951915;0.20257819;26.88;-1.14;-51.96;-5.650615;0.80205756;12.1005945;
-1.4049137;0.65538204;1.7712802;28.5;0.65999997;-47.7;-4.6471453;-0.49559975;11.947366;
-1.3517684;0.16974418;2.370539;28.92;0.24;-45.059998;-1.3000516;-0.34715924;12.505215;
-0.6126215;0.57108265;1.3858242;26.82;-1.1999999;-44.04;0.35434186;-0.047884032;12.095806;
-0.6810384;0.86613053;0.72731143;25.859999;-2.9399998;-42.66;-3.466804;-1.0247183;10.288184;
-0.9149998;-0.844903;2.4316254;27.24;-2.8799999;-41.16;-1.4269443;-1.1109096;10.711958;
-0.48372892;-0.58956134;1.5403731;23.58;-4.74;-41.7;1.0869676;-0.05746084;10.43423;
-0.025579982;-0.012293663;0.16836974;20.34;-5.16;-42.719997;-0.92895025;0.44771573;10.053553;
0.111253835;0.1727985;-0.3728569;19.8;-5.7;-42.6;-3.110068;-0.641646;7.877223;
-0.07994699;-0.054443367;-0.049098294;20.279999;-5.52;-42.0;-3.7852328;-0.770933;8.854057;
-0.13981178;-0.30245465;0.12988523;20.22;-5.64;-42.84;-3.394978;-0.22266077;9.428665;
0.025121834;-0.23159428;-0.07414377;19.74;-5.2799997;-43.079998;-3.4979286;-0.007182605;9.524434;
-0.04268421;-0.23464862;-0.05826127;19.439999;-5.16;-43.26;-4.185065;-0.05746084;8.53084;
-0.14103352;-0.12713633;-0.010613783;18.779999;-4.7999997;-44.219997;-4.4196963;0.076614454;8.806173;
-0.008475755;-0.124692865;0.13599387;18.779999;-5.04;-43.02;-3.809175;0.04070143;9.167698;
-0.11904237;0.036575556;-0.055206947;18.6;-4.2599998;-44.16;-3.311181;0.320823;9.29459;
0.030619621;-0.0819323;0.014431692;18.539999;-5.04;-43.86;-3.8283286;0.2873042;9.455002;
-0.024969118;0.012140946;-0.008781188;18.48;-4.44;-44.16;-3.5649664;0.110133275;8.877999;
