gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.27748555;-0.44150287;0.5278639;-14.7;-8.639999;-38.52;2.7365725;-0.38307226;8.633791;
0.35537085;-0.66630125;0.92798066;-16.56;-7.9199996;-38.76;2.753332;-0.81881696;10.070312;
0.875828;-1.1158981;1.298165;-17.46;-7.14;-38.46;2.1212628;-0.641646;9.653721;
1.148274;-1.678505;1.4692073;-20.76;-7.74;-36.78;0.33518824;-0.6847417;14.973936;
2.5477662;-1.2551754;2.0385337;-24.6;-9.66;-34.62;0.11252748;0.7398083;15.689802;
4.3272166;-0.6974554;2.7227027;-28.98;-16.08;-32.1;5.296273;0.7278373;19.343353;
4.680297;0.97081757;1.8638263;-33.239998;-19.199999;-28.32;9.045593;5.0855837;16.192585;
4.4420595;1.281748;0.1735621;-34.68;-23.1;-25.38;14.391846;8.3512745;14.705786;
3.7175732;2.3855815;-0.23755023;-32.46;-27.24;-22.38;14.188338;6.2874727;18.18456;
5.549558;0.47357327;-0.8985064;-29.64;-30.779999;-19.68;15.833454;2.2146366;16.551716;
6.3913302;0.47601673;-1.0854312;-28.199999;-35.7;-9.96;12.854768;-0.50517654;7.3504987;
5.902638;-1.4225525;-0.9907471;-26.64;-37.26;1.86;9.751883;2.1428106;0.5554548;
4.5581236;-2.0865629;-1.2002739;-24.119999;-36.899998;13.62;9.062353;4.1922474;-4.1826706;
2.390163;-3.0431778;-1.308397;-19.14;-32.219997;25.32;10.721535;5.3106384;-3.727772;
1.3370314;-3.4274123;-1.598558;-12.3;-30.0;31.199999;7.522881;3.5051112;-1.2378023;
1.9625573;-4.298506;-0.87407184;-2.46;-28.56;33.96;4.687847;2.4779987;-1.4867992;
2.2026274;-4.4359508;-0.22288945;7.8599997;-22.859999;35.579998;3.2321723;2.873042;-1.8219875;
2.5593727;-4.772537;0.57123536;16.38;-17.94;35.7;1.2258313;2.707842;-3.4931402;
1.7047722;-4.5373545;1.1735485;24.96;-11.16;32.7;0.3878607;3.2585084;-3.122039;
2.031585;-4.5752277;1.5846608;29.279999;-7.9199996;29.039999;-1.1252748;3.1004913;-1.5227122;
1.1421653;-3.9942951;1.8247309;34.739998;-8.88;22.92;-1.4580688;4.1156325;-2.873042;
1.2197452;-3.8715112;1.919415;36.3;-13.2;20.1;-1.1180922;4.6902413;-0.90740246;
-0.99036527;-2.7597365;1.1845441;39.239998;-20.699999;12.96;-2.552219;4.8386817;-1.6136919;
-0.21029036;-3.247207;1.348256;40.559998;-25.859999;4.7999997;-3.1004913;3.845088;2.3989902;
0.0664316;-2.4604125;1.8839848;36.48;-28.199999;-3.1799998;-2.6527755;3.9025488;2.633622;
-0.43936482;-2.1122193;1.9805015;34.26;-30.24;-7.2599998;-1.4891934;4.745308;1.8435353;
-0.5035057;-1.9118555;2.1118376;27.96;-33.48;-11.759999;-0.41180268;4.2066126;2.7150247;
-1.0569496;-1.5679383;2.6915486;21.779999;-35.399998;-16.14;-0.9816227;3.6391866;4.908413;
0.5636759;-1.9222403;3.3989305;15.54;-36.42;-18.84;2.3630772;5.4471083;5.942708;
0.049938235;-1.1452196;3.0776155;6.72;-39.0;-18.72;4.6519337;7.3600755;2.9999347;
-0.9763154;-0.65225136;2.9933162;0.12;-37.86;-19.859999;5.2148705;5.770325;5.897218;
-0.66905016;-0.4531093;2.898021;-7.02;-36.719997;-21.84;6.658574;4.8626237;6.5412583;
0.322995;0.09605856;3.3720524;-11.759999;-35.399998;-22.74;9.445425;5.71047;5.456685;
-0.54382277;0.41981715;3.2712598;-18.6;-32.1;-22.68;10.316915;5.183746;6.9937625;
-0.77106464;0.86208355;2.9102385;-22.68;-29.64;-24.24;11.66485;5.5931544;5.078401;
-0.0062613687;0.64461553;3.2132275;-25.68;-24.42;-26.34;13.934553;5.1310735;8.581119;
-0.23289238;0.69898254;3.2645402;-28.32;-21.06;-29.46;14.073417;3.976769;10.144532;
0.5477934;0.6794349;2.635349;-30.96;-16.98;-31.14;15.246875;4.5418005;4.369418;
1.8831449;0.9812023;2.9627728;-30.539999;-14.16;-31.8;14.521132;2.6408045;11.47092;
1.0902418;1.0044152;1.9688951;-32.1;-12.42;-32.04;12.335226;3.5290532;1.8267759;
2.9087875;1.2133311;2.0629683;-32.88;-10.86;-32.46;16.288353;2.4061728;6.4359136;
0.8373435;1.4301883;0.672639;-32.88;-10.32;-32.1;10.4605665;2.054225;0.58897364;
1.6485726;1.0648909;0.9518044;-31.199999;-11.46;-32.82;11.209951;0.007182605;6.6657567;
-0.11866058;1.549307;0.059941154;-29.58;-11.219999;-34.32;9.486126;1.3215994;0.91937345;
-0.22739458;1.0813842;0.19372064;-27.359999;-10.26;-35.64;7.723994;-1.3910311;6.5771713;
0.72066826;1.0349585;0.5419138;-24.84;-9.54;-37.2;7.7790604;-0.8499416;5.657798;
0.76342887;0.19685133;0.7966446;-23.1;-9.42;-36.719997;6.9698205;-0.272939;5.2052937;
0.5740606;0.57558775;0.69585186;-22.859999;-10.32;-37.32;5.076007;-0.009576807;7.1230493;
0.17760907;0.38683042;0.73677987;-22.14;-9.719999;-37.32;5.940314;0.21308395;7.367258;
0.409127;0.16081028;0.2260965;-22.8;-9.9;-38.1;7.0057335;0.59136784;7.5396404;
