gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.16447547;0.0154243475;0.5632941;-15.839999;-4.62;-35.76;2.3918076;-0.7278373;8.748713;
0.5374087;-0.70112056;0.7111235;-14.34;-4.38;-37.68;3.1627405;-0.35913026;9.330503;
-0.0050396384;-0.18921551;0.686078;-17.22;-5.4;-36.42;2.6360161;0.007182605;9.182063;
0.8410087;-2.9368873;0.7074583;-19.32;-5.22;-35.34;1.553837;-0.7517793;10.656891;
2.326633;-1.0774136;1.5400677;-24.18;-8.16;-33.48;-1.2114661;-2.1092918;14.590565;
3.5648568;-0.27656925;3.3818264;-28.68;-13.32;-30.779999;4.486734;-1.6663644;15.783176;
4.8721085;-0.84894997;2.712318;-32.94;-13.559999;-26.88;7.6258316;1.6903064;14.499585;
4.7090073;1.2249376;0.9744064;-37.079998;-16.08;-21.66;10.817303;5.8900356;9.883564;
3.9637518;1.2432635;0.23525947;-36.239998;-19.98;-19.14;8.356063;5.624279;11.741465;
4.439005;1.1455251;0.16195565;-35.64;-24.96;-16.5;12.802095;7.7862434;15.385738;
5.2929945;0.8810204;-0.6700428;-34.2;-28.08;-11.94;10.111013;6.5053453;9.979332;
6.524499;-0.6253733;-0.6517169;-33.42;-31.619999;-4.02;13.242629;5.4638677;6.6657567;
4.136016;-0.4830417;-1.6669749;-32.579998;-33.3;6.7799997;9.756671;4.7405195;2.645593;
5.51596;-1.8648189;-0.79588103;-29.039999;-32.82;16.56;7.460632;3.572149;2.1380222;
3.8238637;-2.2459989;-1.0219012;-25.199999;-28.5;27.24;9.5052805;7.7215996;-3.8881836;
2.884353;-2.2166772;-1.1220831;-21.0;-23.88;34.739998;7.692869;5.5452704;-1.4269443;
2.6338983;-2.739578;-0.7702247;-13.5;-18.06;41.94;4.699818;3.8235402;-5.597943;
2.4060454;-3.0908253;-0.053068917;-8.28;-14.7;44.399998;3.1316159;2.4396915;-4.1395745;
2.1757493;-3.2203288;0.6427066;1.56;-8.099999;46.62;2.1667526;2.2337902;-6.6873045;
2.5789204;-3.6601517;1.4453835;10.32;-3.3;46.26;1.1779473;1.769315;-5.7846904;
2.4390323;-3.6876407;1.9725603;16.859999;1.38;42.66;0.038307227;1.1372458;-6.3138094;
2.176971;-3.7084103;2.485687;22.98;4.2;36.66;-0.33279404;1.3120226;-5.346552;
0.7780896;-3.1818442;1.9982166;27.84;7.02;30.24;-1.091756;2.6599581;-8.248324;
0.6113234;-3.419471;1.7911333;27.84;6.72;26.4;-2.846706;0.80445176;-3.9983168;
0.3840815;-3.2704198;2.1833088;31.98;3.48;24.66;-3.928885;1.0486604;-2.906561;
1.3242031;-3.464675;2.4172702;40.02;-2.58;21.66;-1.9752164;2.566584;-2.6240451;
-0.37216964;-2.770121;2.1998022;45.12;-10.74;12.9;-2.0925324;2.743755;-2.0518308;
0.40485093;-3.0450106;2.6158013;44.64;-15.96;2.46;-3.3327289;2.0015526;0.39025488;
-0.074067414;-2.5972464;3.138702;39.719997;-19.74;-3.12;-1.2234371;3.5051112;1.9536686;
-0.033750303;-2.4017694;3.183906;34.62;-28.199999;-9.66;0.63206923;5.4375315;4.5801077;
0.069485925;-1.7823521;3.0403526;27.48;-31.679998;-11.5199995;1.1204864;6.6298437;2.9161377;
0.12935072;-1.2673926;3.1344259;19.32;-35.88;-14.16;0.60094464;6.1270614;5.420772;
0.52274793;-0.5740606;3.0250812;12.48;-37.5;-15.599999;3.1483753;8.2555065;4.6232033;
-0.1339322;-0.50869805;3.0928872;5.04;-38.82;-14.219999;6.608296;7.5755534;6.08636;
0.04810564;0.31108314;3.2437708;-1.26;-39.059998;-15.179999;6.2826843;7.25473;3.0573955;
1.1647673;0.7283041;3.759341;-7.08;-38.28;-15.839999;9.488521;7.355287;6.890812;
-0.8205447;1.267698;2.8296041;-14.94;-37.739998;-14.16;9.270648;9.749489;0.2777274;
-0.2133447;1.2243266;3.0586786;-17.4;-34.98;-16.02;12.964902;8.540417;6.3640876;
-0.5725334;1.5993979;2.7789023;-22.68;-30.9;-19.74;11.777377;8.241141;8.037635;
0.24969117;1.5291485;2.440483;-24.6;-28.38;-21.84;13.302484;8.17171;3.6511576;
0.20204368;1.6549866;2.3690119;-25.92;-25.56;-24.96;13.0894;6.694487;7.352893;
0.3724751;1.4564555;1.9401844;-27.119999;-23.76;-26.22;12.4669075;7.0751653;2.6791117;
1.3651311;1.4564555;1.9823341;-26.699999;-21.84;-29.279999;13.67598;6.277896;4.3143516;
-0.10399981;1.5193746;1.1552225;-26.519999;-20.64;-29.099998;11.921029;6.0672064;0.074220255;
1.0022771;1.2426527;1.4331663;-26.64;-19.619999;-30.599998;11.279384;2.336741;7.154174;
1.7340937;1.2444853;1.4398857;-25.859999;-18.119999;-31.619999;11.116578;2.1068976;4.1012673;
0.60154957;1.0074695;0.7770969;-26.58;-18.48;-30.96;9.196428;3.086126;0.40462008;
-0.21090123;0.5047274;0.40752348;-24.9;-19.38;-32.399998;8.686463;2.3415294;3.86903;
-0.5572618;0.28420505;0.12408201;-24.6;-18.66;-32.88;7.9322896;2.0470424;4.745308;
0.39080104;0.124769226;0.7899251;-23.58;-17.58;-32.76;7.75033;1.283292;7.752724;
